patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
astropy_boxleastsquares	astropy 6.1.0	medium	1	Windows	kepler10_q3_months1_2_sc	baseline	ok	3	141.311, 140.155, 184.494	155.32	141.311	119.6, 119.6, 114.3	117.812	119.57						0.3.0	2026-05-26T21:47:09	2026-06-06T15:22:51	flat
astropy_boxleastsquares	astropy 6.1.0	medium	1	Windows	kepler10_q3_months1_2_sc	patched	ok	3	139.517, 139.369, 142.673	140.52	139.517	119.7, 119.6, 114.2	117.823	119.562	0.990, 0.991, 0.968	0.983	0.99	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-26T21:47:09	2026-06-06T15:22:51	scale
astropy_boxleastsquares	astropy 6.1.0	ood_xlarge	1	Windows	kepler11_q3_q4_months1_5_sc	baseline	ok	3	924.289, 863.634, 1112.364	966.762	924.289	224.2, 218.9, 219.0	220.703	219.02						0.3.0	2026-05-27T16:06:42	2026-06-06T16:02:12	flat
astropy_boxleastsquares	astropy 6.1.0	ood_xlarge	1	Windows	kepler11_q3_q4_months1_5_sc	patched	ok	3	940.740, 866.421, 939.613	915.591	939.613	224.2, 218.9, 219.1	220.711	219.051	1.166, 1.267, 1.168	1.2	1.168	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-27T16:06:42	2026-06-06T16:02:12	scale
astropy_boxleastsquares	astropy 6.1.0	ood_large	1	Windows	kepler8_q2_full_sc	baseline	ok	3	348.122, 246.437, 280.420	291.66	280.42	140.5, 135.4, 136.9	137.592	136.879						0.3.0	2026-05-27T11:21:06	2026-06-04T01:25:49	flat
astropy_boxleastsquares	astropy 6.1.0	ood_large	1	Windows	kepler8_q2_full_sc	patched	ok	3	350.765, 247.674, 281.128	293.189	281.128	141.0, 135.5, 136.8	137.784	136.801	0.938, 1.328, 1.170	1.145	1.17	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-27T11:21:06	2026-06-04T01:25:49	scale
astropy_boxleastsquares	astropy 6.1.0	large	1	Windows	kepler9_q2_full_sc	baseline	ok	3	335.406, 253.755, 270.845	286.669	270.845	140.8, 135.8, 136.0	137.547	136.023						0.3.0	2026-05-27T05:32:10	2026-06-04T01:25:29	flat
astropy_boxleastsquares	astropy 6.1.0	large	1	Windows	kepler9_q2_full_sc	patched	ok	3	335.578, 246.435, 271.052	284.355	271.052	140.7, 135.3, 136.4	137.488	136.422	0.885, 1.205, 1.095	1.061	1.095	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-27T05:32:10	2026-06-04T01:25:29	scale
astropy_boxleastsquares	astropy 6.1.0	small	1	Windows	kepler_tres2_q2_month1_sc	baseline	ok	3	29.297, 28.909, 36.358	31.522	29.297	86.8, 86.8, 81.6	85.082	86.797						0.3.0	2026-05-26T21:35:33	2026-06-06T15:16:56	flat
astropy_boxleastsquares	astropy 6.1.0	small	1	Windows	kepler_tres2_q2_month1_sc	patched	ok	3	29.305, 27.155, 34.974	30.478	29.305	87.0, 86.8, 81.5	85.121	86.809	0.989, 1.068, 0.829	0.962	0.989	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-26T21:35:33	2026-06-06T15:16:56	scale
astropy_boxleastsquares	astropy 6.1.0	medium	4	Windows	kepler10_q3_months1_2_sc	baseline	ok	3	137.206, 136.972, 191.779	155.319	137.206	119.8, 119.4, 114.5	117.922	119.406						0.3.0	2026-05-25T20:03:21	2026-06-06T15:27:26	flat
astropy_boxleastsquares	astropy 6.1.0	medium	4	Windows	kepler10_q3_months1_2_sc	patched	ok	3	48.708, 49.505, 54.426	50.88	49.505	163.5, 162.8, 158.3	161.529	162.824	2.836, 2.790, 2.538	2.721	2.79	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-25T20:03:21	2026-06-06T15:27:26	scale
astropy_boxleastsquares	astropy 6.1.0	ood_xlarge	4	Windows	kepler11_q3_q4_months1_5_sc	baseline	ok	3	1270.360, 1264.830, 1236.514	1257.235	1264.83	221.1, 223.6, 219.4	221.391	221.125						0.3.0	2026-05-25T20:03:21	2026-06-06T16:29:18	flat
astropy_boxleastsquares	astropy 6.1.0	ood_xlarge	4	Windows	kepler11_q3_q4_months1_5_sc	patched	ok	3	346.095, 329.192, 361.428	345.572	346.095	345.9, 344.3, 339.7	343.299	344.27	3.171, 3.333, 3.036	3.18	3.171	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-25T20:03:21	2026-06-06T16:29:18	scale
astropy_boxleastsquares	astropy 6.1.0	ood_large	4	Windows	kepler8_q2_full_sc	baseline	ok	3	341.449, 385.785, 328.911	352.048	341.449	141.2, 140.3, 136.7	139.414	140.336						0.3.0	2026-05-25T20:03:21	2026-06-04T01:32:58	flat
astropy_boxleastsquares	astropy 6.1.0	ood_large	4	Windows	kepler8_q2_full_sc	patched	ok	3	98.349, 98.006, 84.148	93.501	98.006	199.5, 199.8, 195.7	198.348	199.523	3.344, 3.356, 3.909	3.536	3.356	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-25T20:03:21	2026-06-04T01:32:58	scale
astropy_boxleastsquares	astropy 6.1.0	large	4	Windows	kepler9_q2_full_sc	baseline	ok	3	257.965, 347.410, 368.592	324.656	347.41	140.7, 140.9, 140.8	140.811	140.801						0.3.0	2026-05-25T20:03:21	2026-05-25T20:03:21	flat
astropy_boxleastsquares	astropy 6.1.0	large	4	Windows	kepler9_q2_full_sc	patched	ok	3	69.886, 87.884, 93.890	83.887	87.884	199.7, 199.5, 199.6	199.613	199.602	4.248, 3.378, 3.162	3.596	3.378	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-25T20:03:21	2026-05-25T20:03:21	scale
astropy_boxleastsquares	astropy 6.1.0	small	4	Windows	kepler_tres2_q2_month1_sc	baseline	ok	3	28.996, 29.205, 29.249	29.15	29.205	87.1, 86.9, 87.1	87.022	87.051						0.3.0	2026-05-25T20:03:21	2026-05-25T20:03:21	flat
astropy_boxleastsquares	astropy 6.1.0	small	4	Windows	kepler_tres2_q2_month1_sc	patched	ok	3	9.646, 13.406, 10.478	11.177	10.478	106.5, 106.5, 106.9	106.615	106.504	3.006, 2.163, 2.767	2.645	2.767	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-25T20:03:21	2026-05-25T20:03:21	scale
astropy_boxleastsquares	astropy 6.1.0	medium	8	Windows	kepler10_q3_months1_2_sc	baseline	ok	3	138.128, 130.114, 137.817	135.353	137.817	120.0, 119.9, 115.3	118.427	119.914						0.3.0	2026-05-26T21:52:29	2026-06-03T20:02:03	flat
astropy_boxleastsquares	astropy 6.1.0	medium	8	Windows	kepler10_q3_months1_2_sc	patched	ok	3	24.776, 22.221, 22.380	23.126	22.38	163.9, 163.5, 158.6	161.999	163.492	5.575, 6.216, 6.172	5.988	6.172	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-26T21:52:29	2026-06-03T20:02:03	scale
astropy_boxleastsquares	astropy 6.1.0	ood_xlarge	8	Windows	kepler11_q3_q4_months1_5_sc	baseline	ok	3	1000.883, 862.529, 1097.361	986.924	1000.883	224.6, 219.3, 220.2	221.376	220.25						0.3.0	2026-05-27T16:26:32	2026-06-04T01:53:20	flat
astropy_boxleastsquares	astropy 6.1.0	ood_xlarge	8	Windows	kepler11_q3_q4_months1_5_sc	patched	ok	3	179.089, 130.732, 164.109	157.977	164.109	345.4, 340.1, 341.1	342.215	341.109	6.127, 8.394, 6.687	7.069	6.687	1.0	"{""pearson_power"":1.0,""q99_rel_diff_power"":0.0,""rel_peak_period_err"":0.0,""top10_peak_jaccard"":1.0}"	0.3.0	2026-05-27T16:26:32	2026-06-04T01:53:20	scale
astropy_boxleastsquares	astropy 6.1.0	ood_large	8	Windows	kepler8_q2_full_sc	baseline	ok	3	347.520, 264.350, 317.761	309.877	317.761	141.3, 136.1, 137.1	138.169	137.133						0.3.0	2026-05-27T11:27:55	2026-06-04T01:31:58	flat
