patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
cell2location	cell2location 0.1.5	ood_xlarge	1	Windows	lymph_node_10000_boot101_10lineage	baseline	ok	3	2239.167, 2542.740, 2459.804	2413.904	2459.804	10453.8, 7861.6, 7861.1	8725.492	7861.617						0.3.0	2026-05-27T17:23:15	2026-06-03T22:44:46	scale
cell2location	cell2location 0.1.5	ood_xlarge	1	Windows	lymph_node_10000_boot101_10lineage	patched	ok	3	1088.863, 1282.859, 1165.736	1179.153	1165.736	7068.0, 6308.5, 6308.1	6561.542	6308.523	2.217, 1.882, 2.071	2.056	2.071	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":672.0,""max_abs_w_sf_diff"":3e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-27T17:23:15	2026-06-03T22:44:46	scale
cell2location	cell2location 0.1.5	medium	1	Windows	lymph_node_1500	baseline	ok	3	291.118, 288.266, 385.697	321.694	291.118	1935.6, 1935.9, 1939.0	1936.805	1935.875						0.3.0	2026-05-19T14:47:33	2026-06-06T20:49:56	scale
cell2location	cell2location 0.1.5	medium	1	Windows	lymph_node_1500	patched	ok	3	142.478, 142.137, 153.925	146.18	142.478	1649.1, 1650.8, 1653.2	1651.004	1650.805	2.258, 2.263, 2.090	2.204	2.258	1.0	"{""final_loss_rel_diff"":2e-06,""max_abs_loss_diff"":96.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-19T14:47:33	2026-06-06T20:49:56	scale
cell2location	cell2location 0.1.5	ood_large	1	Windows	lymph_node_3000_seed42_10lineage	baseline	ok	3	799.446, 687.755, 706.832	731.344	706.832	3423.4, 3052.9, 3054.1	3176.807	3054.082						0.3.0	2026-05-27T11:48:19	2026-06-03T20:57:29	scale
cell2location	cell2location 0.1.5	ood_large	1	Windows	lymph_node_3000_seed42_10lineage	patched	ok	3	368.948, 342.986, 341.240	351.058	342.986	2848.7, 2471.1, 2470.8	2596.892	2471.125	1.982, 2.132, 2.143	2.086	2.132	1.0	"{""final_loss_rel_diff"":3e-06,""max_abs_loss_diff"":156.0,""max_abs_w_sf_diff"":2e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-27T11:48:19	2026-06-03T20:57:29	scale
cell2location	cell2location 0.1.5	large	1	Windows	lymph_node_4035	baseline	ok	3	1041.202, 945.318, 951.391	979.304	951.391	4169.9, 3691.5, 3692.0	3851.117	3692.004						0.3.0	2026-05-27T06:06:08	2026-06-03T21:43:28	scale
cell2location	cell2location 0.1.5	large	1	Windows	lymph_node_4035	patched	ok	3	530.869, 428.402, 429.310	462.86	429.31	3740.4, 3220.5, 3219.8	3393.54	3220.457	1.845, 2.286, 2.281	2.137	2.281	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":240.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-27T06:06:08	2026-06-03T21:43:28	scale
cell2location	cell2location 0.1.5	small	1	Windows	lymph_node_500	baseline	ok	3	96.222, 95.303, 124.188	105.238	96.222	1182.4, 1195.3, 1205.8	1194.522	1195.305						0.3.0	2026-05-19T14:28:41	2026-06-06T20:29:31	scale
cell2location	cell2location 0.1.5	small	1	Windows	lymph_node_500	patched	ok	3	49.214, 50.074, 53.611	50.966	50.074	1104.6, 1105.4, 1105.4	1105.13	1105.359	2.138, 2.102, 1.963	2.068	2.102	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":30.0,""max_abs_w_sf_diff"":1e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-19T14:28:41	2026-06-06T20:29:31	scale
cell2location	cell2location 0.1.5	ood_xlarge	4	Windows	lymph_node_10000_boot101_10lineage	baseline	ok	3	1286.709, 1262.168, 1257.752	1268.876	1262.168	7862.5, 7862.9, 7864.2	7863.18	7862.918						0.3.0	2026-05-26T09:02:43	2026-06-06T22:42:34	scale
cell2location	cell2location 0.1.5	ood_xlarge	4	Windows	lymph_node_10000_boot101_10lineage	patched	ok	3	782.933, 785.081, 666.237	744.75	782.933	6309.4, 6313.4, 6308.4	6310.4	6309.387	1.621, 1.616, 1.905	1.714	1.621	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":544.0,""max_abs_w_sf_diff"":3e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-26T09:02:43	2026-06-06T22:42:34	scale
cell2location	cell2location 0.1.5	medium	4	Windows	lymph_node_1500	baseline	ok	3	123.511, 122.832, 141.843	129.395	123.511	1939.1, 1937.8, 1946.7	1941.195	1939.074						0.3.0	2026-05-19T14:55:02	2026-06-06T20:54:58	scale
cell2location	cell2location 0.1.5	medium	4	Windows	lymph_node_1500	patched	ok	3	67.313, 68.467, 73.250	69.677	68.467	1694.7, 1694.4, 1695.8	1694.962	1694.684	1.922, 1.890, 1.766	1.86	1.89	1.0	"{""final_loss_rel_diff"":0.0,""max_abs_loss_diff"":98.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-19T14:55:02	2026-06-06T20:54:58	scale
cell2location	cell2location 0.1.5	ood_large	4	Windows	lymph_node_3000_seed42_10lineage	baseline	ok	3	361.310, 364.812, 321.791	349.305	361.31	3053.8, 3061.8, 3064.9	3060.165	3061.805						0.3.0	2026-05-26T09:02:43	2026-06-06T21:25:45	scale
cell2location	cell2location 0.1.5	ood_large	4	Windows	lymph_node_3000_seed42_10lineage	patched	ok	3	227.317, 226.751, 180.424	211.497	226.751	2473.1, 2472.9, 2473.6	2473.185	2473.066	1.537, 1.540, 1.936	1.671	1.54	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":176.0,""max_abs_w_sf_diff"":2e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-26T09:02:43	2026-06-06T21:25:45	scale
cell2location	cell2location 0.1.5	large	4	Windows	lymph_node_4035	baseline	ok	3	365.393, 367.342, 445.625	392.787	367.342	3688.7, 3688.7, 3694.0	3690.457	3688.727						0.3.0	2026-05-19T15:55:17	2026-06-06T22:08:50	scale
cell2location	cell2location 0.1.5	large	4	Windows	lymph_node_4035	patched	ok	3	206.510, 206.998, 246.010	219.839	206.998	3059.4, 3060.1, 3224.0	3114.517	3060.145	1.902, 1.898, 1.597	1.799	1.898	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":196.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-19T15:55:17	2026-06-06T22:08:50	scale
cell2location	cell2location 0.1.5	small	4	Windows	lymph_node_500	baseline	ok	3	42.862, 43.054, 55.642	47.186	43.054	1230.5, 1209.5, 1215.7	1218.56	1215.719						0.3.0	2026-05-19T14:32:02	2026-06-06T20:32:23	scale
cell2location	cell2location 0.1.5	small	4	Windows	lymph_node_500	patched	ok	3	23.971, 23.750, 29.179	25.633	23.971	1106.0, 1107.4, 1111.3	1108.247	1107.449	1.968, 1.987, 1.617	1.857	1.968	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":29.0,""max_abs_w_sf_diff"":1e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-19T14:32:02	2026-06-06T20:32:23	scale
cell2location	cell2location 0.1.5	ood_xlarge	8	Windows	lymph_node_10000_boot101_10lineage	baseline	ok	3	771.137, 865.733, 863.440	833.437	863.44	10467.3, 7867.4, 7867.0	8733.909	7867.371						0.3.0	2026-05-27T17:43:27	2026-06-03T21:19:35	scale
cell2location	cell2location 0.1.5	ood_xlarge	8	Windows	lymph_node_10000_boot101_10lineage	patched	ok	3	388.710, 414.261, 407.911	403.627	407.911	7080.5, 6320.6, 6317.4	6572.852	6320.641	2.144, 2.012, 2.043	2.066	2.043	1.0	"{""final_loss_rel_diff"":0.0,""max_abs_loss_diff"":656.0,""max_abs_w_sf_diff"":2e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-27T17:43:27	2026-06-03T21:19:35	scale
cell2location	cell2location 0.1.5	medium	8	Windows	lymph_node_1500	baseline	ok	3	123.537, 123.095, 161.988	136.207	123.537	1949.3, 1948.7, 1950.9	1949.638	1949.312						0.3.0	2026-05-26T22:03:32	2026-06-06T21:00:57	scale
cell2location	cell2location 0.1.5	medium	8	Windows	lymph_node_1500	patched	ok	3	60.701, 61.847, 81.198	67.915	61.847	1703.2, 1702.4, 1701.3	1702.328	1702.422	2.244, 2.202, 1.677	2.041	2.202	1.0	"{""final_loss_rel_diff"":3e-06,""max_abs_loss_diff"":88.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-26T22:03:32	2026-06-06T21:00:57	scale
cell2location	cell2location 0.1.5	ood_large	8	Windows	lymph_node_3000_seed42_10lineage	baseline	ok	3	238.253, 258.878, 254.349	250.493	254.349	3432.3, 3047.9, 3066.0	3182.051	3066.0						0.3.0	2026-05-27T11:55:10	2026-06-06T21:55:51	scale
cell2location	cell2location 0.1.5	ood_large	8	Windows	lymph_node_3000_seed42_10lineage	patched	ok	3	114.499, 117.939, 130.976	121.138	117.939	2867.0, 2476.6, 2475.1	2606.219	2476.559	2.188, 2.124, 1.913	2.075	2.124	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":168.0,""max_abs_w_sf_diff"":2e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-27T11:55:10	2026-06-06T21:55:51	scale
cell2location	cell2location 0.1.5	large	8	Windows	lymph_node_4035	baseline	ok	3	320.117, 356.301, 358.410	344.943	356.301	4185.5, 3698.1, 3702.1	3861.911	3702.094						0.3.0	2026-05-27T06:14:55	2026-06-03T20:39:05	scale
cell2location	cell2location 0.1.5	large	8	Windows	lymph_node_4035	patched	ok	3	151.950, 176.962, 168.521	165.811	168.521	3756.9, 3229.9, 3226.9	3404.564	3229.895	2.270, 1.949, 2.047	2.089	2.047	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":260.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-27T06:14:55	2026-06-03T20:39:05	scale
cell2location	cell2location 0.1.5	small	8	Windows	lymph_node_500	baseline	ok	3	47.430, 42.320, 43.581	44.444	43.581	1220.1, 1219.4, 1221.5	1220.332	1220.117						0.3.0	2026-05-26T21:56:04	2026-06-03T19:31:46	scale
cell2location	cell2location 0.1.5	small	8	Windows	lymph_node_500	patched	ok	3	26.086, 22.654, 23.562	24.101	23.562	1113.2, 1114.1, 1115.2	1114.159	1114.062	1.704, 1.962, 1.886	1.851	1.886	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":30.0,""max_abs_w_sf_diff"":1e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-05-26T21:56:04	2026-06-03T19:31:46	scale
cell2location	cell2location 0.1.5	ood_xlarge	1	macOS	lymph_node_10000_boot101_10lineage	baseline	ok	2	2439.338, 2498.391	2468.864	2468.864	8603.0, 8416.0	8509.508	8509.508						0.3.0	2026-06-04T15:35:53	2026-06-04T15:35:53	scale
cell2location	cell2location 0.1.5	ood_xlarge	1	macOS	lymph_node_10000_boot101_10lineage	patched	ok	2	986.901, 1005.991	996.446	996.446	7024.1, 7051.3	7037.695	7037.695	2.502, 2.454	2.478	2.478	1.0	"{""final_loss_rel_diff"":4e-06,""max_abs_loss_diff"":832.0,""max_abs_w_sf_diff"":3e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-06-04T15:35:53	2026-06-04T15:35:53	scale
cell2location	cell2location 0.1.5	medium	1	macOS	lymph_node_1500	baseline	ok	2	380.242, 379.051	379.647	379.647	1964.7, 1966.4	1965.539	1965.539						0.3.0	2026-06-04T05:35:25	2026-06-04T05:35:25	scale
cell2location	cell2location 0.1.5	medium	1	macOS	lymph_node_1500	patched	ok	2	151.361, 151.281	151.321	151.321	1738.9, 1744.2	1741.594	1741.594	2.508, 2.510	2.509	2.509	1.0	"{""final_loss_rel_diff"":2e-06,""max_abs_loss_diff"":92.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-06-04T05:35:25	2026-06-04T05:35:25	scale
cell2location	cell2location 0.1.5	ood_large	1	macOS	lymph_node_3000_seed42_10lineage	baseline	ok	2	748.882, 754.240	751.561	751.561	3129.7, 3130.3	3129.984	3129.984						0.3.0	2026-06-04T06:56:48	2026-06-04T06:56:48	scale
cell2location	cell2location 0.1.5	ood_large	1	macOS	lymph_node_3000_seed42_10lineage	patched	ok	2	297.373, 297.434	297.404	297.404	2651.0, 2652.2	2651.555	2651.555	2.527, 2.527	2.527	2.527	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":184.0,""max_abs_w_sf_diff"":2e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-06-04T06:56:48	2026-06-04T06:56:48	scale
cell2location	cell2location 0.1.5	large	1	macOS	lymph_node_4035	baseline	ok	2	1019.571, 1020.919	1020.245	1020.245	3989.8, 3972.4	3981.125	3981.125						0.3.0	2026-06-04T08:23:18	2026-06-04T08:23:18	scale
cell2location	cell2location 0.1.5	large	1	macOS	lymph_node_4035	patched	ok	2	404.281, 404.547	404.414	404.414	3328.7, 3330.0	3329.359	3329.359	2.524, 2.522	2.523	2.523	1.0	"{""final_loss_rel_diff"":2e-06,""max_abs_loss_diff"":296.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-06-04T08:23:18	2026-06-04T08:23:18	scale
cell2location	cell2location 0.1.5	small	1	macOS	lymph_node_500	baseline	ok	2	133.554, 129.336	131.445	131.445	1327.9, 1310.3	1319.094	1319.094						0.3.0	2026-06-03T01:45:38	2026-06-06T18:40:45	scale
cell2location	cell2location 0.1.5	small	1	macOS	lymph_node_500	patched	ok	2	54.293, 53.330	53.811	53.811	1117.5, 1131.4	1124.422	1124.422	2.421, 2.465	2.443	2.443	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":31.0,""max_abs_w_sf_diff"":1e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-06-03T01:45:38	2026-06-06T18:40:45	scale
cell2location	cell2location 0.1.5	ood_xlarge	4	macOS	lymph_node_10000_boot101_10lineage	baseline	ok	2	772.197, 790.725	781.461	781.461	8564.8, 8539.3	8552.047	8552.047						0.3.0	2026-06-02T23:55:49	2026-06-02T23:55:49	scale
cell2location	cell2location 0.1.5	ood_xlarge	4	macOS	lymph_node_10000_boot101_10lineage	patched	ok	2	311.252, 306.611	308.931	308.931	7021.5, 6987.5	7004.469	7004.469	2.511, 2.549	2.53	2.53	1.0	"{""final_loss_rel_diff"":2e-06,""max_abs_loss_diff"":384.0,""max_abs_w_sf_diff"":2e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-06-02T23:55:49	2026-06-02T23:55:49	scale
cell2location	cell2location 0.1.5	medium	4	macOS	lymph_node_1500	baseline	ok	2	126.162, 126.162	126.162	126.162	1976.9, 1976.9	1976.945	1976.945						0.3.0	2026-06-02T22:55:10	2026-06-02T22:55:10	scale
cell2location	cell2location 0.1.5	medium	4	macOS	lymph_node_1500	patched	ok	2	51.726, 51.772	51.749	51.749	1745.8, 1744.8	1745.312	1745.312	2.439, 2.437	2.438	2.438	1.0	"{""final_loss_rel_diff"":2e-06,""max_abs_loss_diff"":86.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-06-02T22:55:10	2026-06-02T22:55:10	scale
cell2location	cell2location 0.1.5	ood_large	4	macOS	lymph_node_3000_seed42_10lineage	baseline	ok	2	265.320, 265.320	265.32	265.32	3163.1, 3163.1	3163.109	3163.109						0.3.0	2026-06-02T23:02:47	2026-06-02T23:02:47	scale
cell2location	cell2location 0.1.5	ood_large	4	macOS	lymph_node_3000_seed42_10lineage	patched	ok	2	94.055, 94.334	94.194	94.194	2679.3, 2660.0	2669.68	2669.68	2.821, 2.813	2.817	2.817	1.0	"{""final_loss_rel_diff"":1e-06,""max_abs_loss_diff"":168.0,""max_abs_w_sf_diff"":2e-06,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-06-02T23:02:47	2026-06-02T23:02:47	scale
cell2location	cell2location 0.1.5	large	4	macOS	lymph_node_4035	baseline	ok	2	328.103, 333.480	330.791	330.791	3962.6, 3965.6	3964.102	3964.102						0.3.0	2026-06-02T23:18:48	2026-06-02T23:18:48	scale
cell2location	cell2location 0.1.5	large	4	macOS	lymph_node_4035	patched	ok	2	127.976, 137.876	132.926	132.926	3332.9, 3335.6	3334.266	3334.266	2.585, 2.399	2.492	2.492	1.0	"{""final_loss_rel_diff"":2e-06,""max_abs_loss_diff"":184.0,""max_abs_w_sf_diff"":0.0,""pearson_loss"":1.0,""pearson_w_sf"":1.0}"	0.3.0	2026-06-02T23:18:48	2026-06-02T23:18:48	scale
