patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
cellphonedb	cellphonedb 5.0.1	small	1	Windows	cpdb_glaucoma_t12_c1200	baseline	ok	11	59.769, 60.712, 68.050, 68.021, 68.365, 51.731, 52.090, 60.240, 57.014, 51.910, 56.683	59.508	59.769	766.9, 766.2, 761.4, 760.3, 761.8, 764.9, 763.8, 766.5, 760.4, 764.3, 762.2	763.518	763.836						0.3.0	2026-05-23T00:18:47	2026-06-02T05:58:17	flat
cellphonedb	cellphonedb 5.0.1	small	1	Windows	cpdb_glaucoma_t12_c1200	patched	ok	11	4.878, 4.275, 3.578, 3.486, 4.485, 3.136, 3.089, 3.379, 3.618, 3.256, 3.452	3.694	3.486	648.5, 664.5, 644.1, 641.5, 656.9, 647.6, 648.2, 644.6, 640.8, 646.0, 644.9	647.977	645.969	12.252, 13.981, 16.705, 17.144, 13.326, 19.059, 19.349, 17.688, 16.518, 18.358, 17.316	16.518	17.144	1.0	"{""means_pearson"":1.0,""means_q99_abs_diff"":0.0,""pvalues_spearman"":0.99381,""significant_set_jaccard"":0.995885}"	0.3.0	2026-05-23T00:18:47	2026-06-02T05:58:17	flat
cellphonedb	cellphonedb 5.0.1	medium	1	Windows	cpdb_glaucoma_t18_c1500	baseline	ok	12	93.992, 93.016, 125.900, 119.404, 92.644, 115.952, 123.047, 103.398, 93.504, 112.649, 114.132, 103.206	107.57	108.024	1103.0, 1104.3, 1094.1, 1095.8, 1092.9, 1093.8, 1099.6, 1101.2, 1103.6, 1094.3, 1098.2, 1098.7	1098.285	1098.448						0.3.0	2026-05-23T01:53:16	2026-06-02T05:30:36	flat
cellphonedb	cellphonedb 5.0.1	medium	1	Windows	cpdb_glaucoma_t18_c1500	patched	ok	12	6.456, 6.475, 8.672, 7.785, 10.592, 9.137, 9.557, 6.792, 7.302, 8.179, 7.237, 8.218	8.034	7.982	918.6, 919.9, 910.7, 912.3, 906.2, 922.5, 917.6, 915.8, 913.4, 908.2, 915.0, 934.8	916.253	915.393	16.732, 16.682, 12.457, 13.876, 10.198, 11.823, 11.304, 15.903, 14.793, 13.208, 14.926, 13.144	13.754	13.542	1.0	"{""means_pearson"":1.0,""means_q99_abs_diff"":0.0,""pvalues_spearman"":0.992161,""significant_set_jaccard"":0.995156}"	0.3.0	2026-05-23T01:53:16	2026-06-02T05:30:36	flat
cellphonedb	cellphonedb 5.0.1	large	1	Windows	cpdb_glaucoma_t22_c2000	baseline	ok	8	129.016, 134.346, 131.681, 144.577, 146.989, 141.705, 136.636, 150.848	139.475	139.171	1400.3, 1401.0, 1400.7, 1395.4, 1396.8, 1394.1, 1396.3, 1390.5	1396.909	1396.592						0.3.0	2026-05-23T06:23:05	2026-06-06T20:39:23	flat
cellphonedb	cellphonedb 5.0.1	large	1	Windows	cpdb_glaucoma_t22_c2000	patched	ok	9	12.545, 12.539, 14.026, 15.436, 14.164, 15.924, 13.581, 16.322, 14.799	14.371	14.164	1285.7, 1284.9, 1281.5, 1280.0, 1281.9, 1280.6, 1283.5, 1280.5, 1283.4	1282.436	1281.902	11.094, 11.099, 9.922, 9.016, 9.826, 8.740, 10.248, 8.527, 9.404	9.764	9.826	1.0	"{""means_pearson"":1.0,""means_q99_abs_diff"":0.0,""pvalues_spearman"":0.993349,""significant_set_jaccard"":0.994952}"	0.3.0	2026-05-23T06:23:05	2026-06-06T20:43:18	flat
cellphonedb	cellphonedb 5.0.1	ood_large	1	Windows	cpdb_heart_t20_c1800	baseline	ok	7	159.939, 240.889, 269.826, 231.930, 168.292, 275.219, 245.749	227.406	240.889	1725.6, 1721.5, 0.0, 1723.2, 1721.9, 1730.1, 1721.6	1477.689	1721.898						0.3.0	2026-05-23T06:23:05	2026-06-04T04:01:43	flat
cellphonedb	cellphonedb 5.0.1	ood_large	1	Windows	cpdb_heart_t20_c1800	patched	ok	7	16.818, 27.689, 30.453, 27.181, 21.393, 20.259, 25.868	24.237	25.868	1581.4, 1577.6, 1576.4, 1578.2, 1576.5, 1579.3, 1576.1	1577.941	1577.637	14.324, 8.700, 7.910, 8.862, 11.260, 11.891, 9.312	10.323	9.312	1.0	"{""means_pearson"":1.0,""means_q99_abs_diff"":0.0,""pvalues_spearman"":0.997761,""significant_set_jaccard"":0.998291}"	0.3.0	2026-05-23T06:23:05	2026-06-04T04:01:43	flat
cellphonedb	cellphonedb 5.0.1	ood_xlarge	1	Windows	cpdb_heart_t22_c2200	baseline	ok	9	207.658, 270.954, 276.952, 273.177, 252.349, 251.778, 271.122, 280.937, 345.868	270.088	271.122	2096.1, 2095.0, 2093.9, 2104.1, 2099.3, 2097.4, 2097.0, 2098.8, 2096.5	2097.573	2097.035						0.3.0	2026-05-23T06:23:05	2026-06-06T21:02:02	flat
cellphonedb	cellphonedb 5.0.1	ood_xlarge	1	Windows	cpdb_heart_t22_c2200	patched	ok	9	21.548, 37.246, 29.657, 29.985, 25.453, 29.144, 28.756, 26.854, 29.620	28.696	29.144	2008.8, 2004.8, 2002.9, 2005.9, 2004.6, 2002.4, 2003.4, 2006.3, 2003.2	2004.702	2004.648	12.582, 7.279, 9.142, 9.042, 10.652, 9.303, 9.428, 10.096, 9.153	9.631	9.303	1.0	"{""means_pearson"":1.0,""means_q99_abs_diff"":0.0,""pvalues_spearman"":0.99785,""significant_set_jaccard"":0.998171}"	0.3.0	2026-05-23T06:23:05	2026-06-06T21:02:02	flat
