patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
dipy	dipy 1.12.1	ood_large	1	Windows	cfin_multib_60x	baseline	ok	3	274.996, 296.507, 275.061	282.188	275.061	25727.2, 25729.0, 25727.5	25727.911	25727.535						0.3.0	2026-05-25T15:43:05	2026-05-25T15:43:05	flat
dipy	dipy 1.12.1	ood_large	1	Windows	cfin_multib_60x	patched	ok	3	57.000, 42.371, 45.178	48.183	45.178	19363.7, 20058.6, 20058.8	19827.04	20058.613	4.826, 6.492, 6.088	5.802	6.088	1.0	"{""max_abs_diff_FA"":0.0,""max_abs_diff_evals"":0.0,""pearson_FA"":1.0,""pearson_evals"":1.0}"	0.3.0	2026-05-25T15:43:05	2026-05-25T15:43:05	flat
dipy	dipy 1.12.1	ood_xlarge	1	Windows	sherbrooke_3shell_180x	baseline	ok	2	993.641, 931.839	962.74	962.74	79293.0, 83266.2	81279.582	81279.582						0.3.0	2026-05-29T13:21:53	2026-06-04T23:47:41	flat
dipy	dipy 1.12.1	ood_xlarge	1	Windows	sherbrooke_3shell_180x	patched	ok	2	203.257, 181.645	192.451	192.451	78373.7, 82255.0	80314.371	80314.371	4.737, 5.300	5.018	5.018	1.0	"{""max_abs_diff_FA"":0.0,""max_abs_diff_evals"":0.0,""pearson_FA"":1.0,""pearson_evals"":1.0}"	0.3.0	2026-05-29T13:21:53	2026-06-04T23:47:41	flat
dipy	dipy 1.12.1	medium	1	Windows	stanford_hardi_30x	baseline	ok	3	152.861, 192.916, 182.507	176.095	182.507	14287.3, 14286.1, 14286.1	14286.484	14286.086						0.3.0	2026-05-25T14:58:23	2026-05-25T14:58:23	flat
dipy	dipy 1.12.1	medium	1	Windows	stanford_hardi_30x	patched	ok	3	23.850, 30.173, 27.768	27.264	27.768	12206.9, 12206.0, 12205.1	12206.008	12206.016	7.652, 6.049, 6.573	6.758	6.573	1.0	"{""max_abs_diff_FA"":0.0,""max_abs_diff_evals"":0.0,""pearson_FA"":1.0,""pearson_evals"":1.0}"	0.3.0	2026-05-25T14:58:23	2026-05-25T14:58:23	flat
dipy	dipy 1.12.1	large	1	Windows	stanford_hardi_60x	baseline	ok	3	392.110, 362.977, 315.561	356.882	362.977	28475.3, 28474.8, 28475.0	28475.048	28475.039						0.3.0	2026-05-25T15:21:52	2026-06-06T17:40:50	flat
dipy	dipy 1.12.1	large	1	Windows	stanford_hardi_60x	patched	ok	3	61.552, 58.006, 48.804	56.121	58.006	24321.5, 24322.5, 24321.8	24321.918	24321.754	5.897, 6.258, 7.437	6.531	6.258	1.0	"{""max_abs_diff_FA"":0.0,""max_abs_diff_evals"":0.0,""pearson_FA"":1.0,""pearson_evals"":1.0}"	0.3.0	2026-05-25T15:21:52	2026-06-06T17:40:50	flat
dipy	dipy 1.12.1	small	1	Windows	stanford_hardi_8x	baseline	ok	2	38.413, 38.811	38.612	38.612	3950.1, 3950.0	3950.068	3950.068						0.3.0	2026-05-25T14:40:41	2026-05-25T14:40:41	flat
dipy	dipy 1.12.1	small	1	Windows	stanford_hardi_8x	patched	ok	3	6.472, 6.868, 5.513	6.284	6.472	3320.0, 3320.0, 3320.9	3320.31	3320.008	5.966, 5.622, 7.004	6.197	5.966	0.667	"{""max_abs_diff_FA"":0.0,""max_abs_diff_evals"":0.0,""pearson_FA"":1.0,""pearson_evals"":1.0}"	0.3.0	2026-05-25T14:40:41	2026-06-08T03:18:04	flat
