patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
fipy	fipy 4.0.2+4.gb847e2c	ood_large	1	Windows	heat2d_aniso_180x360	baseline	ok	5	329.042, 335.971, 471.389, 371.081, 374.421	376.381	371.081	229.7, 229.1, 230.4, 229.1, 229.2	229.505	229.234						0.3.0	2026-05-19T22:48:13	2026-06-07T00:52:31	flat
fipy	fipy 4.0.2+4.gb847e2c	ood_large	1	Windows	heat2d_aniso_180x360	patched	ok	5	10.206, 10.196, 17.132, 12.818, 13.234	12.717	12.818	199.9, 200.1, 199.5, 199.5, 199.6	199.715	199.613	36.359, 36.395, 21.660, 28.950, 28.040	30.281	28.95	1.0	"{""max_abs_diff_solution"":0.0,""pearson_solution"":1.0,""rel_l2_err"":0.0}"	0.3.0	2026-05-19T22:48:13	2026-06-07T00:52:31	flat
fipy	fipy 4.0.2+4.gb847e2c	medium	1	Windows	heat2d_n160	baseline	ok	3	153.379, 118.591, 116.900	129.623	118.591	137.4, 137.3, 136.7	137.132	137.32						0.3.0	2026-06-06T15:20:15	2026-06-07T00:26:23	flat
fipy	fipy 4.0.2+4.gb847e2c	medium	1	Windows	heat2d_n160	patched	ok	3	5.265, 3.935, 3.597	4.266	3.935	116.7, 116.9, 117.0	116.862	116.914	22.524, 30.140, 32.968	28.544	30.14	1.0	"{""max_abs_diff_solution"":0.0,""pearson_solution"":1.0,""rel_l2_err"":0.0}"	0.3.0	2026-06-06T15:20:15	2026-06-07T00:26:23	flat
fipy	fipy 4.0.2+4.gb847e2c	large	1	Windows	heat2d_n240	baseline	ok	3	403.634, 322.221, 317.518	347.791	322.221	213.1, 211.2, 210.6	211.612	211.188						0.3.0	2026-06-06T15:30:28	2026-06-07T00:38:31	flat
fipy	fipy 4.0.2+4.gb847e2c	large	1	Windows	heat2d_n240	patched	ok	3	15.412, 11.881, 10.437	12.577	11.881	183.2, 182.9, 183.0	183.017	183.0	20.907, 27.121, 30.874	26.301	27.121	1.0	"{""max_abs_diff_solution"":0.0,""pearson_solution"":1.0,""rel_l2_err"":0.0}"	0.3.0	2026-06-06T15:30:28	2026-06-07T00:38:31	flat
fipy	fipy 4.0.2+4.gb847e2c	small	1	Windows	heat2d_n80	baseline	ok	3	41.973, 31.453, 32.708	35.378	32.708	85.8, 84.7, 84.5	84.982	84.672						0.3.0	2026-06-06T15:16:38	2026-06-07T00:21:00	flat
fipy	fipy 4.0.2+4.gb847e2c	small	1	Windows	heat2d_n80	patched	ok	3	1.406, 0.935, 0.949	1.097	0.949	80.8, 80.5, 80.9	80.724	80.809	23.270, 34.966, 34.480	30.905	34.48	1.0	"{""max_abs_diff_solution"":0.0,""pearson_solution"":1.0,""rel_l2_err"":0.0}"	0.3.0	2026-06-06T15:16:38	2026-06-07T00:21:00	flat
fipy	fipy 4.0.2+4.gb847e2c	ood_large	1	macOS	heat2d_aniso_180x360	baseline	ok	2	378.574, 370.129	374.352	374.352	895.3, 901.3	898.32	898.32						0.3.0	2026-05-23T19:53:41	2026-05-23T19:53:41	flat
fipy	fipy 4.0.2+4.gb847e2c	ood_large	1	macOS	heat2d_aniso_180x360	patched	ok	2	6.351, 6.171	6.261	6.261	288.3, 312.3	300.297	300.297	58.942, 60.664	59.803	59.803	1.0	"{""max_abs_diff_solution"":0.0,""pearson_solution"":1.0,""rel_l2_err"":0.0}"	0.3.0	2026-05-23T19:53:41	2026-05-23T19:53:41	flat
fipy	fipy 4.0.2+4.gb847e2c	medium	1	macOS	heat2d_n160	baseline	ok	5	125.064, 126.987, 99.714, 106.088, 104.857	112.542	106.088	431.4, 436.5, 371.2, 383.4, 379.7	400.437	383.422						0.3.0	2026-05-23T19:29:59	2026-06-02T04:06:35	flat
fipy	fipy 4.0.2+4.gb847e2c	medium	1	macOS	heat2d_n160	patched	ok	5	2.107, 2.393, 2.608, 2.689, 2.741	2.508	2.608	148.2, 164.4, 164.3, 149.4, 150.2	155.309	150.203	50.354, 44.331, 40.680, 39.452, 38.707	42.705	40.68	1.0	"{""max_abs_diff_solution"":0.0,""pearson_solution"":1.0,""rel_l2_err"":0.0}"	0.3.0	2026-05-23T19:29:59	2026-06-02T04:06:35	flat
fipy	fipy 4.0.2+4.gb847e2c	large	1	macOS	heat2d_n240	baseline	ok	2	318.864, 326.967	322.915	322.915	833.9, 821.2	827.562	827.562						0.3.0	2026-05-23T19:40:57	2026-05-23T19:40:57	flat
fipy	fipy 4.0.2+4.gb847e2c	large	1	macOS	heat2d_n240	patched	ok	2	5.228, 5.285	5.256	5.256	276.2, 261.9	269.039	269.039	61.770, 61.100	61.435	61.435	1.0	"{""max_abs_diff_solution"":0.0,""pearson_solution"":1.0,""rel_l2_err"":0.0}"	0.3.0	2026-05-23T19:40:57	2026-05-23T19:40:57	flat
fipy	fipy 4.0.2+4.gb847e2c	ood_xlarge	1	macOS	heat2d_n320_prod	baseline	ok	2	1272.420, 1276.863	1274.641	1274.641	1411.0, 1382.2	1396.602	1396.602						0.3.0	2026-05-23T20:36:53	2026-05-23T20:36:53	flat
fipy	fipy 4.0.2+4.gb847e2c	ood_xlarge	1	macOS	heat2d_n320_prod	patched	ok	2	20.435, 20.221	20.328	20.328	454.1, 450.3	452.203	452.203	62.375, 63.035	62.705	62.705	1.0	"{""max_abs_diff_solution"":0.0,""pearson_solution"":1.0,""rel_l2_err"":0.0}"	0.3.0	2026-05-23T20:36:53	2026-05-23T20:36:53	flat
fipy	fipy 4.0.2+4.gb847e2c	small	1	macOS	heat2d_n80	baseline	ok	5	25.660, 41.978, 24.030, 24.090, 24.140	27.98	24.14	367.8, 458.2, 318.9, 311.6, 318.0	354.911	318.9						0.3.0	2026-05-25T04:02:59	2026-06-07T22:00:00	flat
fipy	fipy 4.0.2+4.gb847e2c	small	1	macOS	heat2d_n80	patched	ok	7	0.825, 0.728, 0.607, 0.580, 0.724, 0.712, 0.709	0.698	0.712	104.3, 105.0, 96.8, 95.7, 99.7, 96.7, 97.3	99.377	97.328	29.249, 33.140, 39.781, 41.632, 33.361, 33.881, 34.031	35.011	33.881	1.0	"{""max_abs_diff_solution"":0.0,""pearson_solution"":1.0,""rel_l2_err"":0.0}"	0.3.0	2026-05-23T16:08:46	2026-06-02T03:26:32	flat
