patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
lifelines	lifelines 0.30.3	ood_large	1	Windows	cox_synth_1M_d150_lo	baseline	ok	3	20.830, 21.721, 21.366	21.306	21.366	10127.8, 8301.6, 8306.3	8911.907	8306.293						0.3.0	2026-05-28T15:10:45	2026-06-03T19:25:20	flat
lifelines	lifelines 0.30.3	ood_large	1	Windows	cox_synth_1M_d150_lo	patched	ok	3	20.345, 23.156, 16.202	19.901	20.345	10594.0, 10637.9, 10594.4	10608.749	10594.367	1.050, 0.923, 1.319	1.097	1.05	1.0	"{""c_index_abs_diff"":0.0,""loglik_rel_diff"":0.0,""max_abs_diff_coef"":0.0,""pearson_coef"":1.0}"	0.3.0	2026-05-28T15:10:45	2026-06-03T19:25:20	flat
lifelines	lifelines 0.30.3	small	1	Windows	cox_synth_1M_d30	baseline	ok	3	3.637, 3.780, 3.569	3.662	3.637	1867.4, 1865.7, 1869.8	1867.603	1867.402						0.3.0	2026-05-19T23:41:07	2026-05-28T06:31:12	flat
lifelines	lifelines 0.30.3	small	1	Windows	cox_synth_1M_d30	patched	ok	3	2.070, 2.125, 2.634	2.276	2.125	2324.7, 2326.6, 2326.8	2326.039	2326.625	1.757, 1.711, 1.381	1.617	1.711	1.0	"{""c_index_abs_diff"":0.0,""loglik_rel_diff"":0.0,""max_abs_diff_coef"":0.0,""pearson_coef"":1.0}"	0.3.0	2026-05-19T23:41:07	2026-05-28T06:31:12	flat
lifelines	lifelines 0.30.3	medium	1	Windows	cox_synth_4M_d50	baseline	ok	3	27.473, 27.054, 30.589	28.372	27.473	11238.8, 11243.2, 11240.6	11240.861	11240.598						0.3.0	2026-05-19T23:46:11	2026-06-03T19:29:33	flat
lifelines	lifelines 0.30.3	medium	1	Windows	cox_synth_4M_d50	patched	ok	3	15.656, 20.533, 19.605	18.598	19.605	14201.1, 14203.6, 14200.9	14201.876	14201.129	1.755, 1.338, 1.401	1.498	1.401	1.0	"{""c_index_abs_diff"":0.0,""loglik_rel_diff"":0.0,""max_abs_diff_coef"":0.0,""pearson_coef"":1.0}"	0.3.0	2026-05-19T23:46:11	2026-06-03T19:29:33	flat
lifelines	lifelines 0.30.3	large	1	Windows	cox_synth_4M_d90	baseline	ok	3	47.687, 50.617, 54.130	50.811	50.617	19819.2, 19821.6, 19820.4	19820.426	19820.387						0.3.0	2026-05-19T23:55:16	2026-06-03T19:30:19	flat
lifelines	lifelines 0.30.3	large	1	Windows	cox_synth_4M_d90	patched	ok	3	30.396, 40.054, 39.576	36.675	39.576	25224.0, 25223.5, 25225.2	25224.247	25224.02	1.665, 1.264, 1.279	1.403	1.279	1.0	"{""c_index_abs_diff"":0.0,""loglik_rel_diff"":0.0,""max_abs_diff_coef"":0.0,""pearson_coef"":1.0}"	0.3.0	2026-05-19T23:55:16	2026-06-03T19:30:19	flat
lifelines	lifelines 0.30.3	ood_xlarge	1	Windows	cox_synth_8M_d100	baseline	ok	3	234.633, 365.205, 125.939	241.926	234.633	37284.3, 37195.2, 43763.1	39414.203	37284.309						0.3.0	2026-06-06T19:01:07	2026-06-07T22:29:24	flat
lifelines	lifelines 0.30.3	ood_xlarge	1	Windows	cox_synth_8M_d100	patched	ok	3	110.602, 134.792, 94.162	113.185	110.602	49655.2, 49592.8, 49658.1	49635.368	49655.211	2.121, 1.741, 2.492	2.118	2.121	1.0	"{""c_index_abs_diff"":0.0,""loglik_rel_diff"":0.0,""max_abs_diff_coef"":0.0,""pearson_coef"":1.0}"	0.3.0	2026-06-06T19:01:07	2026-06-07T22:29:24	flat
lifelines	lifelines 0.30.3	ood_large	1	macOS	cox_synth_1M_d150_lo	baseline	ok	4	14.136, 20.830, 19.340, 18.340	18.162	18.84	9998.3, 10127.8, 8943.9, 9932.8	9750.701	9965.552						0.3.0	2026-05-25T13:17:48	2026-06-08T00:30:00	flat
lifelines	lifelines 0.30.3	ood_large	1	macOS	cox_synth_1M_d150_lo	patched	ok	5	9.745, 10.189, 13.055, 12.578, 12.290	11.571	12.29	10990.2, 10970.8, 10952.5, 10945.6, 10919.4	10955.709	10952.484	1.933, 1.849, 1.443, 1.498, 1.533	1.651	1.533	1.0	"{""c_index_abs_diff"":0.0,""loglik_rel_diff"":0.0,""max_abs_diff_baseline_cumhazard"":0.0,""max_abs_diff_coef"":0.0,""max_abs_diff_variance"":0.0,""max_rel_diff_variance"":0.0,""pearson_coef"":1.0}"	0.3.0	2026-05-17T23:16:20	2026-06-02T05:52:39	flat
lifelines	lifelines 0.30.3	small	1	macOS	cox_synth_1M_d30	baseline	ok	4	3.326, 3.251, 3.396, 3.200	3.293	3.288	2419.5, 2529.8, 2500.5, 2498.9	2487.184	2499.711						0.3.0	2026-05-25T13:17:48	2026-06-02T04:02:56	flat
lifelines	lifelines 0.30.3	small	1	macOS	cox_synth_1M_d30	patched	ok	11	2.197, 2.099, 2.193, 2.128, 2.028, 2.024, 2.110, 2.385, 3.389, 2.224, 2.447	2.293	2.193	2708.2, 2720.1, 2719.0, 2654.2, 2718.1, 2775.8, 2716.4, 2724.6, 2778.5, 2728.3, 2737.6	2725.524	2720.078	1.497, 1.567, 1.500, 1.545, 1.622, 1.624, 1.558, 1.379, 0.970, 1.479, 1.344	1.462	1.5	1.0	"{""c_index_abs_diff"":0.0,""loglik_rel_diff"":0.0,""max_abs_diff_baseline_cumhazard"":0.0,""max_abs_diff_coef"":0.0,""max_abs_diff_variance"":0.0,""max_rel_diff_variance"":0.0,""pearson_coef"":1.0}"	0.3.0	2026-05-17T21:53:49	2026-06-02T04:02:56	flat
lifelines	lifelines 0.30.3	medium	1	macOS	cox_synth_4M_d50	baseline	ok	3	22.153, 26.210, 26.360	24.908	26.21	12773.2, 12775.5, 12769.2	12772.627	12773.18						0.3.0	2026-05-25T13:17:48	2026-06-07T01:30:00	flat
