patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
mdanalysis_rmsd	MDAnalysis 2.10.0	large	1	Windows	adk_dims_concat_large	baseline	ok	8	521.463, 581.729, 585.367, 495.785, 517.388, 491.352, 501.116, 481.418	521.952	509.252	4309.7, 4308.8, 4309.4, 4309.5, 4308.4, 4309.1, 4308.3, 4308.1	4308.906	4308.951						0.3.0	2026-06-04T10:17:50	2026-06-07T01:51:25	flat
mdanalysis_rmsd	MDAnalysis 2.10.0	large	1	Windows	adk_dims_concat_large	patched	ok	8	143.084, 159.536, 159.472, 134.644, 248.598, 134.809, 133.627, 138.809	156.572	140.946	4308.2, 4307.4, 4308.1, 4308.3, 4105.1, 4307.7, 4307.5, 4308.3	4282.572	4307.891	3.559, 3.192, 3.193, 3.782, 2.048, 3.778, 3.811, 3.669	3.379	3.614	1.0	"{""max_abs_diff"":0.0,""pearson_r"":1.0}"	0.3.0	2026-06-04T10:17:50	2026-06-07T01:51:25	flat
mdanalysis_rmsd	MDAnalysis 2.10.0	medium	1	Windows	adk_dims_concat_medium	baseline	ok	5	322.460, 317.260, 273.450, 319.188, 257.543	297.98	317.26	2196.3, 2195.3, 2193.6, 2111.5, 2195.7	2178.498	2195.281						0.3.0	2026-06-06T16:25:57	2026-06-07T01:23:02	flat
mdanalysis_rmsd	MDAnalysis 2.10.0	medium	1	Windows	adk_dims_concat_medium	patched	ok	5	97.490, 98.912, 72.718, 78.758, 74.907	84.557	78.758	2195.5, 2194.9, 2196.1, 2195.7, 2196.1	2195.659	2195.723	3.254, 3.207, 4.363, 4.028, 4.235	3.818	4.028	1.0	"{""max_abs_diff"":0.0,""pearson_r"":1.0}"	0.3.0	2026-06-06T16:25:57	2026-06-07T01:23:02	flat
mdanalysis_rmsd	MDAnalysis 2.10.0	small	1	Windows	adk_dims_concat_tiny	baseline	ok	5	107.462, 103.007, 76.761, 79.772, 80.759	89.552	80.759	785.6, 785.6, 786.6, 785.3, 785.7	785.753	785.645						0.3.0	2026-06-06T16:08:23	2026-06-07T00:46:11	flat
mdanalysis_rmsd	MDAnalysis 2.10.0	small	1	Windows	adk_dims_concat_tiny	patched	ok	5	31.855, 32.004, 24.236, 23.694, 23.476	27.053	24.236	786.0, 786.2, 785.9, 785.9, 786.3	786.058	785.969	2.535, 2.523, 3.332, 3.408, 3.440	3.048	3.332	1.0	"{""max_abs_diff"":0.0,""pearson_r"":1.0}"	0.3.0	2026-06-06T16:08:23	2026-06-07T00:46:11	flat
mdanalysis_rmsd	MDAnalysis 2.10.0	ood_large	1	Windows	adk_perturbed_cycle_large	baseline	ok	8	490.005, 565.697, 570.933, 497.587, 471.939, 487.604, 534.977, 506.360	515.638	501.974	4297.3, 4296.4, 4297.1, 4296.2, 4297.2, 4296.6, 4296.6, 4296.9	4296.786	4296.762						0.3.0	2026-06-04T10:05:44	2026-06-07T01:38:18	flat
mdanalysis_rmsd	MDAnalysis 2.10.0	ood_large	1	Windows	adk_perturbed_cycle_large	patched	ok	8	165.088, 184.429, 184.458, 147.635, 147.997, 150.044, 153.423, 157.430	161.313	155.427	4295.3, 4296.1, 4294.9, 4295.9, 4295.3, 4295.8, 4295.7, 4295.9	4295.624	4295.744	3.041, 2.722, 2.721, 3.400, 3.392, 3.345, 3.272, 3.189	3.135	3.23	1.0	"{""max_abs_diff"":0.0,""pearson_r"":1.0}"	0.3.0	2026-06-04T10:05:44	2026-06-07T01:38:18	flat
mdanalysis_rmsd	MDAnalysis 2.10.0	ood_xlarge	1	Windows	adk_perturbed_cycle_xlarge	baseline	ok	7	1139.253, 1112.102, 1199.904, 1250.758, 1492.013, 1134.370, 1380.405	1244.115	1199.904	8176.2, 8520.3, 8518.8, 8242.1, 8519.0, 8518.7, 8237.2	8390.328	8518.715						0.3.0	2026-06-04T15:58:35	2026-06-07T02:34:15	flat
mdanalysis_rmsd	MDAnalysis 2.10.0	ood_xlarge	1	Windows	adk_perturbed_cycle_xlarge	patched	ok	7	351.443, 369.677, 353.989, 403.237, 475.905, 344.053, 553.396	407.386	369.677	8519.1, 8518.8, 8519.5, 8043.6, 7705.1, 8519.1, 8191.5	8288.079	8518.812	3.414, 3.246, 3.390, 2.976, 2.521, 3.488, 2.168	3.029	3.246	1.0	"{""max_abs_diff"":0.0,""pearson_r"":1.0}"	0.3.0	2026-06-04T15:58:35	2026-06-07T02:34:15	flat
