patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
obspy	obspy 1.5.0	ood_large	1	Windows	synthetic_24x10d_100hz_longtrace	baseline	ok	2	102.972, 98.174	100.573	100.573	40339.0, 40338.8	40338.893	40338.893						0.3.0	2026-05-28T13:57:07	2026-06-02T12:07:46	scale
obspy	obspy 1.5.0	ood_large	1	Windows	synthetic_24x10d_100hz_longtrace	patched	ok	4	74.126, 74.086, 74.530, 74.300	74.261	74.213	25163.6, 25163.2, 25163.5, 25177.6	25166.984	25163.572	1.357, 1.358, 1.349, 1.354	1.354	1.355	0.0		0.3.0	2026-06-08T04:22:16	2026-06-08T11:57:03	scale
obspy	obspy 1.5.0	ood_xlarge	1	Windows	synthetic_60x10d_50hz_repeat15	baseline	ok	2	583.359, 531.194	557.277	557.277	49897.8, 49897.5	49897.613	49897.613						0.3.0	2026-05-28T21:03:13	2026-06-02T13:03:06	scale
obspy	obspy 1.5.0	ood_xlarge	1	Windows	synthetic_60x10d_50hz_repeat15	patched	ok	3	469.994, 489.718, 486.855	482.189	486.855	30437.5, 30437.7, 30437.2	30437.456	30437.496	1.186, 1.138, 1.145	1.156	1.145	0.0		0.3.0	2026-06-08T12:24:10	2026-06-08T12:24:10	scale
obspy	obspy 1.5.0	small	1	Windows	synthetic_60x1d_100hz	baseline	ok	3	20.502, 20.065, 20.284	20.284	20.284	10082.5, 10082.7, 10082.6	10082.598	10082.598						0.3.0	2026-05-26T23:20:42	2026-05-28T06:19:53	scale
obspy	obspy 1.5.0	small	1	Windows	synthetic_60x1d_100hz	patched	ok	3	4.077, 3.870, 3.887	3.945	3.887	8174.6, 8081.8, 8175.1	8143.824	8174.566	4.975, 5.241, 5.219	5.145	5.219	1.0	"{""max_abs_diff"":0.0,""pearson_min"":1.0}"	0.3.0	2026-05-26T23:20:42	2026-05-28T06:19:53	scale
obspy	obspy 1.5.0	medium	1	Windows	synthetic_60x3d_100hz	baseline	ok	3	73.822, 85.585, 79.704	79.704	79.704	29990.1, 29989.8, 29989.9	29989.945	29989.945						0.3.0	2026-05-26T23:26:06	2026-05-28T07:44:42	scale
obspy	obspy 1.5.0	medium	1	Windows	synthetic_60x3d_100hz	patched	ok	3	12.316, 12.051, 11.736	12.034	12.051	23862.0, 24258.6, 24258.3	24126.286	24258.266	6.472, 6.614, 6.791	6.626	6.614	1.0	"{""max_abs_diff"":0.0,""pearson_min"":1.0}"	0.3.0	2026-05-26T23:26:06	2026-05-28T07:44:42	scale
obspy	obspy 1.5.0	large	1	Windows	synthetic_60x4d_100hz	baseline	ok	2	79.981, 92.230	86.106	86.106	39943.8, 39943.9	39943.852	39943.852						0.3.0	2026-05-28T10:11:08	2026-06-02T07:22:02	scale
obspy	obspy 1.5.0	large	1	Windows	synthetic_60x4d_100hz	patched	ok	7	74.252, 75.242, 74.568, 74.839, 74.803, 74.825, 83.771	76.043	74.825	24372.6, 24372.7, 24372.5, 24387.1, 24387.0, 24387.0, 24372.3	24378.758	24372.719	1.160, 1.144, 1.155, 1.151, 1.151, 1.151, 1.028	1.134	1.151	0.0		0.3.0	2026-06-08T03:27:03	2026-06-08T11:51:48	scale
obspy	obspy 1.5.0	ood_large	4	Windows	synthetic_24x10d_100hz_longtrace	baseline	ok	3	74.960, 75.271, 97.435	82.555	75.271	40338.6, 40338.8, 40339.1	40338.857	40338.781						0.3.0	2026-05-23T06:03:35	2026-05-28T12:02:20	scale
obspy	obspy 1.5.0	ood_large	4	Windows	synthetic_24x10d_100hz_longtrace	patched	ok	3	16.221, 16.419, 19.007	17.216	16.419	44957.1, 43637.9, 44372.6	44322.525	44372.645	5.089, 5.028, 4.343	4.82	5.028	1.0	"{""max_abs_diff"":0.0,""pearson_min"":1.0}"	0.3.0	2026-05-23T06:03:35	2026-05-28T12:02:20	scale
obspy	obspy 1.5.0	ood_xlarge	4	Windows	synthetic_60x10d_50hz_repeat15	baseline	ok	3	659.816, 677.932, 602.133	646.627	659.816	42523.3, 39895.0, 49897.9	44105.408	42523.324						0.3.0	2026-06-06T18:21:15	2026-06-07T20:59:54	scale
obspy	obspy 1.5.0	ood_xlarge	4	Windows	synthetic_60x10d_50hz_repeat15	patched	ok	3	213.195, 157.337, 174.368	181.633	174.368	32430.1, 32430.5, 32430.1	32430.254	32430.129	3.033, 4.110, 3.708	3.617	3.708	1.0	"{""max_abs_diff"":0.0,""pearson_min"":1.0}"	0.3.0	2026-06-06T18:21:15	2026-06-07T20:59:54	scale
obspy	obspy 1.5.0	small	4	Windows	synthetic_60x1d_100hz	baseline	ok	3	20.398, 21.439, 20.918	20.918	20.918	10083.1, 10082.8, 10083.0	10082.996	10082.996						0.3.0	2026-05-23T00:15:46	2026-05-28T06:00:10	scale
obspy	obspy 1.5.0	small	4	Windows	synthetic_60x1d_100hz	patched	ok	3	3.816, 4.077, 3.936	3.943	3.936	9177.4, 9012.1, 8071.2	8753.561	9012.09	5.482, 5.131, 5.314	5.309	5.314	1.0	"{""max_abs_diff"":0.0,""pearson_min"":1.0}"	0.3.0	2026-05-23T00:15:46	2026-05-28T06:00:10	scale
obspy	obspy 1.5.0	medium	4	Windows	synthetic_60x3d_100hz	baseline	ok	3	57.972, 58.502, 58.237	58.237	58.237	29990.5, 29990.0, 29990.2	29990.236	29990.236						0.3.0	2026-05-23T01:49:31	2026-05-28T06:59:54	scale
obspy	obspy 1.5.0	medium	4	Windows	synthetic_60x3d_100hz	patched	ok	3	11.423, 11.664, 12.086	11.724	11.664	27277.9, 27391.2, 23864.1	26177.764	27277.945	5.098, 4.993, 4.819	4.97	4.993	1.0	"{""max_abs_diff"":0.0,""pearson_min"":1.0}"	0.3.0	2026-05-23T01:49:31	2026-05-28T06:59:54	scale
obspy	obspy 1.5.0	large	4	Windows	synthetic_60x4d_100hz	baseline	ok	3	75.349, 76.147, 75.748	75.748	75.748	39943.8, 39944.0, 39943.9	39943.91	39943.91						0.3.0	2026-05-23T06:03:35	2026-05-28T09:05:14	scale
