patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
prody	prody 2.6.1	large	1	Windows	1aon	baseline	ok	3	795.548, 828.903, 798.280	807.577	798.28	9021.9, 9022.1, 9021.9	9021.97	9021.898						0.3.0	2026-05-29T10:01:17	2026-06-06T17:08:31	flat
prody	prody 2.6.1	large	1	Windows	1aon	patched	ok	3	9.788, 9.914, 9.621	9.775	9.788	404.8, 405.7, 405.7	405.428	405.707	81.553, 80.520, 82.972	81.682	81.553	1.0	"{""eigval_max_rel_diff"":0.0,""eigvec_subspace_overlap"":1.0}"	0.3.0	2026-05-29T10:01:17	2026-06-06T17:08:31	flat
prody	prody 2.6.1	small	1	Windows	1oel	baseline	ok	3	76.353, 73.104, 80.176	76.544	76.353	1993.2, 1993.0, 1993.3	1993.168	1993.188						0.3.0	2026-05-29T09:41:48	2026-06-06T16:04:06	flat
prody	prody 2.6.1	small	1	Windows	1oel	patched	ok	3	2.203, 2.125, 2.523	2.284	2.203	241.6, 242.8, 242.7	242.365	242.668	34.664, 35.938, 30.259	33.621	34.664	1.0	"{""eigval_max_rel_diff"":1e-06,""eigvec_subspace_overlap"":1.0}"	0.3.0	2026-05-29T09:41:48	2026-06-06T16:04:06	flat
prody	prody 2.6.1	medium	1	Windows	5gar	baseline	ok	3	312.571, 341.139, 304.676	319.462	312.571	4916.9, 4917.0, 4917.1	4917.017	4917.012						0.3.0	2026-05-29T09:47:31	2026-06-06T16:46:43	flat
prody	prody 2.6.1	medium	1	Windows	5gar	patched	ok	3	6.895, 7.267, 6.827	6.996	6.895	320.6, 320.1, 320.7	320.453	320.609	45.331, 43.012, 45.785	44.709	45.331	1.0	"{""eigval_max_rel_diff"":0.0,""eigvec_subspace_overlap"":1.0}"	0.3.0	2026-05-29T09:47:31	2026-06-06T16:46:43	flat
prody	prody 2.6.1	ood_large	1	Windows	6tlj	baseline	ok	3	1193.219, 1038.519, 1192.076	1141.271	1192.076	11846.3, 11846.5, 11846.5	11846.431	11846.457						0.3.0	2026-05-29T10:21:54	2026-06-06T17:29:30	flat
prody	prody 2.6.1	ood_large	1	Windows	6tlj	patched	ok	3	10.961, 10.458, 11.832	11.084	10.961	447.6, 447.6, 447.9	447.69	447.598	108.752, 113.983, 100.748	107.828	108.752	1.0	"{""eigval_max_rel_diff"":1e-06,""eigvec_subspace_overlap"":1.0}"	0.3.0	2026-05-29T10:21:54	2026-06-06T17:29:30	flat
prody	prody 2.6.1	ood_xlarge	1	Windows	7b0u	baseline	ok	3	3601.329, 3400.899, 4083.852	3695.36	3601.329	24607.8, 24609.1, 24607.7	24608.201	24607.781						0.3.0	2026-05-29T12:21:42	2026-06-06T23:17:53	flat
prody	prody 2.6.1	ood_xlarge	1	Windows	7b0u	patched	ok	3	20.153, 19.303, 19.936	19.797	19.936	1395.0, 1396.9, 1395.1	1395.677	1395.102	178.704, 186.565, 180.648	181.972	180.648	1.0	"{""eigval_max_rel_diff"":0.0,""eigvec_subspace_overlap"":1.0}"	0.3.0	2026-05-29T12:21:42	2026-06-06T23:17:53	flat
prody	prody 2.6.1	large	1	macOS	1aon	baseline	ok	2	567.230, 568.350	567.79	567.79	9150.0, 9149.4	9149.7	9149.7						0.3.0	2026-06-08T04:00:00	2026-06-08T04:00:00	flat
prody	prody 2.6.1	large	1	macOS	1aon	patched	ok	5	4.363, 6.578, 6.620, 6.370, 6.340	6.054	6.37	983.5, 1122.8, 1148.5, 810.6, 764.4	965.953	983.516	130.137, 86.316, 85.766, 89.135, 89.557	96.182	89.135	1.0	"{""eigval_max_rel_diff"":0.000466,""eigvec_subspace_overlap"":0.999945}"	0.3.0	2026-05-25T12:35:19	2026-06-08T04:00:00	flat
prody	prody 2.6.1	small	1	macOS	1oel	baseline	ok	2	59.366, 59.366	59.366	59.366	2164.4, 2164.4	2164.359	2164.359						0.3.0	2026-05-25T12:35:19	2026-06-02T03:46:31	flat
prody	prody 2.6.1	small	1	macOS	1oel	patched	ok	3	1.521, 1.622, 1.636	1.593	1.622	537.9, 511.9, 526.5	525.422	526.484	39.038, 36.601, 36.281	37.307	36.601	1.0	"{""eigval_max_rel_diff"":1e-06,""eigvec_subspace_overlap"":1.0}"	0.3.0	2026-05-25T12:35:19	2026-06-02T03:46:31	flat
prody	prody 2.6.1	medium	1	macOS	5gar	baseline	ok	2	111.321, 111.321	111.321	111.321	5315.3, 5315.3	5315.328	5315.328						0.3.0	2026-05-25T13:04:42	2026-06-02T05:10:42	flat
prody	prody 2.6.1	medium	1	macOS	5gar	patched	ok	3	4.834, 4.517, 4.482	4.611	4.517	849.3, 874.6, 790.1	837.969	849.266	23.029, 24.644, 24.836	24.169	24.644	1.0	"{""eigval_max_rel_diff"":0.0,""eigvec_subspace_overlap"":1.0}"	0.3.0	2026-05-25T13:04:42	2026-06-02T05:10:42	flat
prody	prody 2.6.1	ood_large	1	macOS	6tlj	baseline	ok	2	382.421, 382.421	382.421	382.421	8740.0, 8740.0	8739.969	8739.969						0.3.0	2026-05-25T13:04:42	2026-06-02T05:10:42	flat
