patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	medium	1	macOS	rome_10k	baseline	ok	2	106.628, 104.508	105.568	105.568	25283.5, 25992.2	25637.852	25637.852						0.3.0	2026-06-07T03:26:53	2026-06-07T03:26:53	flat
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	medium	1	macOS	rome_10k	patched	ok	2	18.815, 18.947	18.881	18.881	17147.5, 17152.8	17150.125	17150.125	5.543, 5.504	5.523	5.523	1.0	"{""max_abs_diff_geocoded"":0.0,""nan_agreement"":1.0,""pearson_geocoded"":1.0,""rmse_rel_geocoded"":0.0}"	0.3.0	2026-06-07T03:26:53	2026-06-07T03:26:53	scale
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	large	1	macOS	rome_13k	baseline	ok	2	463.448, 463.448	463.448	463.448	26911.8, 26911.8	26911.812	26911.812						0.3.0	2026-06-02T05:51:58	2026-06-02T05:51:58	flat
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	large	1	macOS	rome_13k	patched	ok	2	32.006, 31.560	31.783	31.783	21513.5, 21670.0	21591.727	21591.727	14.480, 14.685	14.582	14.582	1.0	"{""max_abs_diff_geocoded"":0.0,""nan_agreement"":1.0,""pearson_geocoded"":1.0,""rmse_rel_geocoded"":0.0}"	0.3.0	2026-06-02T05:51:58	2026-06-02T05:51:58	scale
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	small	1	macOS	rome_8k	baseline	ok	2	58.021, 57.530	57.775	57.775	20333.7, 20845.0	20589.383	20589.383						0.3.0	2026-06-07T02:56:34	2026-06-07T02:56:34	flat
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	small	1	macOS	rome_8k	patched	ok	2	12.078, 12.116	12.097	12.097	12329.0, 12843.6	12586.312	12586.312	4.804, 4.789	4.796	4.796	1.0	"{""max_abs_diff_geocoded"":0.0,""nan_agreement"":1.0,""pearson_geocoded"":1.0,""rmse_rel_geocoded"":0.0}"	0.3.0	2026-06-07T02:56:34	2026-06-07T02:56:34	scale
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	ood_large	1	macOS	rome_grd_gamma_12k	baseline	ok	2	371.468, 371.468	371.468	371.468	26238.6, 26238.6	26238.648	26238.648						0.3.0	2026-06-02T05:51:58	2026-06-02T05:51:58	flat
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	ood_large	1	macOS	rome_grd_gamma_12k	patched	ok	2	79.575, 78.661	79.118	79.118	21506.2, 23044.9	22275.555	22275.555	4.668, 4.722	4.695	4.695	1.0	"{""max_abs_diff_geocoded"":0.0,""nan_agreement"":1.0,""pearson_geocoded"":1.0,""rmse_rel_geocoded"":0.0}"	0.3.0	2026-06-02T05:51:58	2026-06-02T05:51:58	scale
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	ood_xlarge	1	macOS	—	baseline	OOM	0												0.3.0	2026-05-08T15:45:02	2026-05-08T15:45:02	flat
sarsen	sarsen 0.9.6.dev5+g6c5e37d1d	medium	4	macOS	rome_10k	baseline	ok	2	102.790, 104.069	103.429	103.429	25674.7, 25829.6	25752.117	25752.117						0.3.0	2026-06-07T03:31:05	2026-06-07T03:31:05	flat
