patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	5.137, 4.971, 5.215	5.108	5.137	18763.0, 18763.0, 18763.0	18763.0	18763.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	2.832, 2.634, 2.647	2.704	2.647	15563.0, 15563.0, 15563.0	15563.0	15563.0	1.803, 1.939, 1.930	1.891	1.93	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	baseline	ok	3	6.056, 6.488, 6.606	6.383	6.488	23861.0, 23861.0, 23861.0	23861.0	23861.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	patched	ok	3	3.666, 3.408, 2.844	3.306	3.408	19880.0, 19880.0, 19880.0	19880.0	19880.0	1.741, 1.873, 2.245	1.953	1.873	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	2.581, 2.574, 2.194	2.45	2.574	9097.0, 9097.0, 9097.0	9097.0	9097.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	1.215, 1.210, 1.163	1.196	1.21	7892.0, 7892.0, 7892.0	7892.0	7892.0	2.017, 2.024, 2.106	2.049	2.024	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	baseline	ok	3	0.348, 0.313, 0.302	0.321	0.313	605.0, 605.0, 605.0	605.0	605.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	patched	ok	3	0.032, 0.042, 0.031	0.035	0.032	1001.0, 1001.0, 1001.0	1001.0	1001.0	10.061, 7.730, 10.379	9.39	10.061	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	1.345, 1.389, 1.439	1.391	1.389	4994.0, 4994.0, 4994.0	4994.0	4994.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	0.785, 0.714, 0.680	0.727	0.714	4568.0, 4568.0, 4568.0	4568.0	4568.0	1.771, 1.948, 2.046	1.922	1.948	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
