patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
scanpy	scanpy 1.11.5	ood_large2	1	Windows	gastrulation_pijuansala	baseline	ok	3	9.280, 11.981, 9.213	10.158	9.28	19120.5, 11663.8, 11659.7	14147.971	11663.762						0.3.0	2026-05-25T01:44:32	2026-06-07T22:00:09	flat
scanpy	scanpy 1.11.5	ood_large2	1	Windows	gastrulation_pijuansala	patched	ok	4	2.472, 2.495, 3.686, 2.246	2.725	2.483	19119.9, 19121.0, 11665.1, 11647.5	15388.387	15392.525	4.554, 4.512, 3.053, 5.012	4.283	4.533	1.0	"{""hvg_jaccard"":1.0,""nbatches_agreement"":1.0,""variances_norm_cor"":1.0}"	0.3.0	2026-05-25T01:44:32	2026-06-07T22:00:09	scale
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	baseline	ok	3	10.747, 15.717, 10.733	12.399	10.747	24388.1, 14799.6, 14798.4	17995.337	14799.551						0.3.0	2026-05-25T01:44:32	2026-06-07T22:01:19	flat
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	patched	ok	4	2.582, 2.551, 3.783, 2.549	2.866	2.567	24390.4, 24388.5, 14799.9, 14802.8	19595.411	19595.664	4.157, 4.207, 2.837, 4.211	3.853	4.182	1.0	"{""hvg_jaccard"":1.0,""nbatches_agreement"":1.0,""variances_norm_cor"":1.0}"	0.3.0	2026-05-25T01:44:32	2026-06-07T22:01:19	scale
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	4.674, 5.412, 4.519	4.868	4.674	9499.2, 5882.4, 5882.2	7087.932	5882.371						0.3.0	2026-05-25T01:44:32	2026-06-07T21:58:14	flat
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	patched	ok	4	1.101, 0.985, 1.126, 0.982	1.049	1.043	9498.6, 9499.4, 5879.1, 5882.0	7689.771	7690.316	4.589, 5.132, 4.489, 5.145	4.839	4.861	1.0	"{""hvg_jaccard"":1.0,""nbatches_agreement"":1.0,""variances_norm_cor"":1.0}"	0.3.0	2026-05-25T01:44:32	2026-06-07T21:58:14	scale
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	2.222, 2.715, 2.377	2.438	2.377	5368.8, 3402.3, 3402.5	4057.853	3402.512						0.3.0	2026-05-25T01:44:32	2026-06-07T21:57:23	flat
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	4	0.601, 0.667, 1.126, 0.590	0.746	0.634	5369.0, 5370.1, 3403.5, 3404.4	4386.755	4386.707	3.804, 3.431, 2.032, 3.874	3.286	3.618	1.0	"{""hvg_jaccard"":1.0,""nbatches_agreement"":1.0,""variances_norm_cor"":1.0}"	0.3.0	2026-05-25T01:44:32	2026-06-07T21:57:23	scale
scanpy	scanpy 1.11.5	small	1	Windows	tms_ss2	baseline	ok	3	5.185, 5.993, 5.115	5.431	5.185	11239.2, 6916.8, 6917.2	8357.743	6917.176						0.3.0	2026-05-25T01:44:32	2026-06-07T21:59:05	flat
scanpy	scanpy 1.11.5	small	1	Windows	tms_ss2	patched	ok	4	1.464, 1.577, 1.605, 1.326	1.493	1.521	11234.1, 11233.4, 6916.7, 6915.8	9075.016	9075.07	4.092, 3.800, 3.735, 4.519	4.037	3.946	1.0	"{""hvg_jaccard"":1.0,""nbatches_agreement"":1.0,""variances_norm_cor"":1.0}"	0.3.0	2026-05-25T01:44:32	2026-06-07T21:59:05	scale
scanpy	scanpy 1.11.5	ood_large2	32	Windows	gastrulation_pijuansala	baseline	ok	3	9.532, 11.753, 11.746	11.01	11.746	19136.6, 19135.8, 11677.6	16649.984	19135.801						0.3.0	2026-05-25T02:23:04	2026-06-05T04:10:47	flat
scanpy	scanpy 1.11.5	ood_large2	32	Windows	gastrulation_pijuansala	patched	ok	3	1.495, 1.483, 1.588	1.522	1.495	19133.5, 19136.1, 11679.4	16649.661	19133.469	7.531, 7.592, 7.088	7.404	7.531	1.0	"{""hvg_jaccard"":1.0,""nbatches_agreement"":1.0,""variances_norm_cor"":1.0}"	0.3.0	2026-05-25T02:23:04	2026-06-05T04:10:47	scale
scanpy	scanpy 1.11.5	large	32	Windows	heart_adult	baseline	ok	3	10.183, 10.424, 12.303	10.97	10.424	24404.3, 24402.7, 14813.0	21206.658	24402.68						0.3.0	2026-05-25T02:23:04	2026-06-05T04:38:21	flat
