patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	9	4.026, 4.079, 4.311, 4.386, 4.226, 4.333, 4.580, 4.486, 4.371	4.311	4.333	15139.0, 15139.0, 15139.0, 15139.0, 15139.0, 15139.0, 15143.0, 15143.0, 15143.0	15140.333	15139.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	9	2.610, 2.545, 2.751, 2.708, 2.755, 2.763, 2.878, 2.398, 2.261	2.63	2.708	15395.0, 15395.0, 15395.0, 15396.0, 15396.0, 15396.0, 15407.0, 15407.0, 15407.0	15399.333	15396.0	1.660, 1.702, 1.575, 1.600, 1.573, 1.569, 1.506, 1.807, 1.916	1.656	1.6	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	baseline	ok	6	18.895, 18.411, 18.407, 18.325, 17.736, 17.949	18.287	18.366	21635.0, 21635.0, 21635.0, 21636.0, 21636.0, 21636.0	21635.5	21635.5						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	patched	ok	6	11.710, 12.134, 11.564, 11.500, 11.511, 11.782	11.7	11.637	20173.0, 20173.0, 20173.0, 20170.0, 20170.0, 20170.0	20171.5	20171.5	1.568, 1.514, 1.588, 1.597, 1.596, 1.559	1.57	1.578	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	6	7.763, 7.903, 7.729, 7.854, 7.693, 7.706	7.775	7.746	8908.0, 8908.0, 8908.0, 8908.0, 8908.0, 8908.0	8908.0	8908.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	patched	ok	6	4.850, 4.713, 4.820, 4.702, 4.781, 4.750	4.77	4.766	8191.0, 8191.0, 8191.0, 8194.0, 8194.0, 8194.0	8192.5	8192.5	1.597, 1.643, 1.607, 1.647, 1.620, 1.630	1.624	1.625	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	baseline	ok	6	1.390, 1.395, 1.378, 1.396, 1.387, 1.327	1.379	1.388	1933.0, 1933.0, 1933.0, 1934.0, 1934.0, 1934.0	1933.5	1933.5						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	patched	ok	3	0.945, 0.895, 0.896	0.912	0.896	1370.0, 1370.0, 1370.0	1370.0	1370.0	1.469, 1.550, 1.550	1.523	1.55	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	9	5.082, 5.153, 5.263, 5.074, 5.081, 5.074, 5.119, 5.188, 5.078	5.123	5.082	5937.0, 5937.0, 5937.0, 5937.0, 5937.0, 5937.0, 5948.0, 5948.0, 5948.0	5940.667	5937.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	9	3.015, 3.014, 3.073, 3.110, 3.015, 3.027, 3.071, 3.123, 3.084	3.059	3.071	4924.0, 4924.0, 4924.0, 4926.0, 4926.0, 4926.0, 4936.0, 4936.0, 4936.0	4928.667	4926.0	1.685, 1.686, 1.654, 1.634, 1.686, 1.679, 1.655, 1.627, 1.648	1.661	1.655	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
