patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	4.697, 4.671, 4.750	4.706	4.697	18829.0, 18829.0, 18829.0	18829.0	18829.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	2.777, 1.897, 1.952	2.208	1.952	19086.0, 19086.0, 19086.0	19086.0	19086.0	1.874, 2.743, 2.666	2.428	2.666	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	baseline	ok	3	4.974, 5.007, 5.103	5.028	5.007	24108.0, 24108.0, 24108.0	24108.0	24108.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	patched	ok	3	6.555, 5.954, 6.425	6.311	6.425	24533.0, 24533.0, 24533.0	24533.0	24533.0	0.778, 0.857, 0.794	0.81	0.794	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	2.006, 1.980, 2.030	2.005	2.006	9212.0, 9212.0, 9212.0	9212.0	9212.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	1.438, 1.385, 1.410	1.411	1.41	9643.0, 9643.0, 9643.0	9643.0	9643.0	1.383, 1.436, 1.410	1.41	1.41	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	baseline	ok	2	0.249, 0.152	0.2	0.2	632.0, 939.4	785.713	785.713						0.3.0	2026-04-15T00:00:00	2026-05-24T21:48:47	flat
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	patched	ok	3	0.044, 0.045, 0.046	0.045	0.045	1059.0, 916.0, 916.4	963.784	916.375	5.604, 5.473, 5.334	5.47	5.473	1.0	"{""concordance"":1.0,""one_minus_rel_err"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-05-24T21:48:47	scale
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	3.752, 1.118, 1.123	1.997	1.123	5082.0, 5082.0, 5082.0	5082.0	5082.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	0.483, 0.458, 0.466	0.469	0.466	5354.0, 5354.0, 5354.0	5354.0	5354.0	2.250, 2.370, 2.330	2.317	2.33	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large2	1	Windows	tms_ss2	baseline	ok	3	3.195, 2.742, 2.757	2.898	2.757	10954.0, 10954.0, 10954.0	10954.0	10954.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	ood_large2	1	Windows	tms_ss2	patched	ok	3	1.994, 2.080, 1.965	2.013	1.994	11386.0, 11386.0, 11386.0	11386.0	11386.0	1.570, 1.505, 1.593	1.556	1.57	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large3	32	Windows	gastrulation_pijuansala	baseline	ok	3	3.886, 5.469, 5.326	4.894	5.326	18833.0, 18833.0, 18833.0	18833.0	18833.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	ood_large3	32	Windows	gastrulation_pijuansala	patched	ok	3	0.243, 0.205, 0.180	0.209	0.205	19097.0, 19097.0, 19097.0	19097.0	19097.0	21.412, 25.401, 28.829	25.214	25.401	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	32	Windows	heart_adult	baseline	ok	3	7.089, 6.784, 6.497	6.79	6.784	24114.0, 24114.0, 24114.0	24114.0	24114.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	large	32	Windows	heart_adult	patched	ok	3	0.351, 0.344, 0.331	0.342	0.344	24547.0, 24547.0, 24547.0	24547.0	24547.0	14.538, 14.851, 15.402	14.931	14.851	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	32	Windows	pbmc200k_glaucoma	baseline	ok	3	2.274, 2.297, 1.989	2.186	2.274	9217.0, 9217.0, 9217.0	9217.0	9217.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	medium	32	Windows	pbmc200k_glaucoma	patched	ok	3	0.137, 0.129, 0.122	0.129	0.129	9654.0, 9654.0, 9654.0	9654.0	9654.0	14.525, 15.470, 16.256	15.417	15.47	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	32	Windows	pbmc68k	baseline	ok	3	2.621, 0.322, 0.295	1.079	0.322	640.0, 640.0, 640.0	640.0	640.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
