patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	26.480, 26.484, 26.502	26.488	26.484	15140.0, 15140.0, 15140.0	15140.0	15140.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	4.982, 5.490, 5.407	5.293	5.407	15397.0, 15397.0, 15397.0	15397.0	15397.0	5.317, 4.825, 4.899	5.014	4.899	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	baseline	ok	3	123.231, 118.178, 116.781	119.397	118.178	32760.0, 32760.0, 32760.0	32760.0	32760.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	patched	ok	3	14.689, 14.896, 14.827	14.804	14.827	19706.0, 19706.0, 19706.0	19706.0	19706.0	8.128, 8.015, 8.052	8.065	8.052	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	90.115, 89.994, 90.734	90.281	90.115	13678.0, 13678.0, 13678.0	13678.0	13678.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	6.434, 6.408, 6.459	6.434	6.434	7842.0, 7842.0, 7842.0	7842.0	7842.0	14.031, 14.090, 13.977	14.033	14.031	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	baseline	ok	3	36.786, 35.891, 35.324	36.0	35.891	3460.0, 3460.0, 3460.0	3460.0	3460.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	patched	ok	3	2.191, 2.094, 2.096	2.127	2.096	1315.0, 1315.0, 1315.0	1315.0	1315.0	16.431, 17.196, 17.173	16.933	17.173	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	42.661, 42.011, 42.099	42.257	42.099	9547.0, 9547.0, 9547.0	9547.0	9547.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	4.755, 4.703, 4.679	4.712	4.703	4831.0, 4831.0, 4831.0	4831.0	4831.0	8.887, 8.985, 9.032	8.968	8.985	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large2	1	Windows	tms_ss2	baseline	ok	3	23.900, 23.148, 23.800	23.616	23.8	9761.0, 9761.0, 9761.0	9761.0	9761.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large2	1	Windows	tms_ss2	patched	ok	3	3.548, 3.541, 3.516	3.535	3.541	9103.0, 9103.0, 9103.0	9103.0	9103.0	6.656, 6.668, 6.717	6.68	6.668	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large3	32	Windows	gastrulation_pijuansala	baseline	ok	3	18.623, 18.523, 18.197	18.448	18.523	15143.0, 15143.0, 15143.0	15143.0	15143.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large3	32	Windows	gastrulation_pijuansala	patched	ok	3	1.340, 1.174, 1.133	1.215	1.174	15407.0, 15407.0, 15407.0	15407.0	15407.0	13.772, 15.716, 16.285	15.258	15.716	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	32	Windows	heart_adult	baseline	ok	3	76.741, 78.260, 77.092	77.365	77.092	33524.0, 33524.0, 33524.0	33524.0	33524.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	32	Windows	heart_adult	patched	ok	3	3.267, 3.227, 3.269	3.254	3.267	19735.0, 19735.0, 19735.0	19735.0	19735.0	23.679, 23.975, 23.664	23.772	23.679	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	32	Windows	pbmc200k_glaucoma	baseline	ok	3	58.977, 57.995, 58.940	58.638	58.94	14299.0, 14299.0, 14299.0	14299.0	14299.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
