patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	371.373, 307.208, 355.705	344.762	355.705	15140.0, 15140.0, 15140.0	15140.0	15140.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	39.947, 39.576, 39.639	39.721	39.639	17175.0, 17175.0, 17175.0	17175.0	17175.0	8.630, 8.711, 8.698	8.68	8.698	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	baseline	ok	3	1237.038, 1236.681, 1237.014	1236.911	1237.014	19454.0, 19454.0, 19454.0	19454.0	19454.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	patched	ok	3	43.312, 43.145, 43.088	43.182	43.145	21793.0, 21793.0, 21793.0	21793.0	21793.0	28.558, 28.668, 28.707	28.644	28.668	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	312.522, 312.569, 313.044	312.712	312.569	7469.0, 7469.0, 7469.0	7469.0	7469.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	15.192, 15.236, 15.188	15.205	15.192	8484.0, 8484.0, 8484.0	8484.0	8484.0	20.584, 20.524, 20.590	20.566	20.584	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	baseline	ok	3	21.941, 21.744, 21.726	21.804	21.744	766.0, 766.0, 766.0	766.0	766.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	patched	ok	3	0.411, 0.402, 0.410	0.408	0.41	865.0, 865.0, 865.0	865.0	865.0	53.045, 54.265, 53.209	53.506	53.209	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	197.513, 194.880, 194.147	195.513	194.88	4145.0, 4145.0, 4145.0	4145.0	4145.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	7.478, 7.497, 7.451	7.475	7.478	4800.0, 4800.0, 4800.0	4800.0	4800.0	26.144, 26.080, 26.239	26.154	26.144	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large2	1	Windows	tms_ss2	baseline	ok	3	166.584, 164.466, 162.982	164.677	164.466	8836.0, 8836.0, 8836.0	8836.0	8836.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large2	1	Windows	tms_ss2	patched	ok	3	19.075, 18.863, 18.870	18.936	18.87	10107.0, 10107.0, 10107.0	10107.0	10107.0	8.633, 8.730, 8.727	8.697	8.727	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large3	32	Windows	gastrulation_pijuansala	baseline	ok	3	211.620, 207.621, 206.376	208.539	207.621	15149.0, 15149.0, 15149.0	15149.0	15149.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large3	32	Windows	gastrulation_pijuansala	patched	ok	3	6.269, 6.302, 6.436	6.336	6.302	17186.0, 17186.0, 17186.0	17186.0	17186.0	33.266, 33.093, 32.401	32.92	33.093	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	32	Windows	heart_adult	baseline	ok	3	832.961, 831.212, 831.416	831.863	831.416	19459.0, 19459.0, 19459.0	19459.0	19459.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	32	Windows	heart_adult	patched	ok	3	8.671, 8.601, 8.488	8.587	8.601	21819.0, 21819.0, 21819.0	21819.0	21819.0	95.942, 96.714, 98.001	96.886	96.714	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	32	Windows	pbmc200k_glaucoma	baseline	ok	3	170.482, 172.644, 169.935	171.02	170.482	7473.0, 7473.0, 7473.0	7473.0	7473.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	32	Windows	pbmc200k_glaucoma	patched	ok	3	3.306, 3.274, 3.244	3.275	3.274	8511.0, 8511.0, 8511.0	8511.0	8511.0	51.729, 52.236, 52.726	52.23	52.236	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	32	Windows	pbmc68k	baseline	ok	3	18.879, 12.543, 12.228	14.55	12.543	834.0, 834.0, 834.0	834.0	834.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
