patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	1.198, 1.180, 1.208	1.196	1.198	15139.0, 15139.0, 15139.0	15139.0	15139.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	0.286, 0.312, 0.357	0.318	0.312	15397.0, 15397.0, 15397.0	15397.0	15397.0	4.975, 4.556, 3.987	4.506	4.556	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	baseline	ok	3	3.213, 3.248, 3.224	3.228	3.224	21390.0, 21390.0, 21390.0	21390.0	21390.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	large	1	Windows	heart_adult	patched	ok	3	0.616, 0.586, 0.615	0.606	0.615	19706.0, 19706.0, 19706.0	19706.0	19706.0	5.235, 5.498, 5.246	5.326	5.246	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	1.547, 1.512, 1.505	1.521	1.512	8794.0, 8794.0, 8794.0	8794.0	8794.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	0.291, 0.307, 0.316	0.305	0.307	7735.0, 7735.0, 7735.0	7735.0	7735.0	5.186, 4.923, 4.791	4.967	4.923	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	baseline	ok	3	0.596, 0.568, 0.566	0.577	0.568	1902.0, 1902.0, 1902.0	1902.0	1902.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	small	1	Windows	pbmc68k	patched	ok	3	0.059, 0.061, 0.061	0.06	0.061	1284.0, 1284.0, 1284.0	1284.0	1284.0	9.283, 8.996, 8.972	9.084	8.996	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	1.078, 1.050, 1.043	1.057	1.05	5849.0, 5849.0, 5849.0	5849.0	5849.0						0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	flat
scanpy	scanpy 1.11.5	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	0.157, 0.163, 0.158	0.159	0.158	4744.0, 4744.0, 4744.0	4744.0	4744.0	6.678, 6.457, 6.652	6.596	6.652	1.0	"{""concordance"":1.0}"	0.3.0	2026-04-15T00:00:00	2026-04-15T00:00:00	scale
