patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
sccoda	sccoda 0.1.9	ood_xlarge	1	Windows	gastrulation_pijuansala	baseline	ok	6	1444.087, 1401.876, 693.095, 706.785, 1125.347, 1139.388	1085.097	1132.368	5737.5, 6377.9, 6516.2, 6519.3, 6499.9, 6493.9	6357.458	6496.945						0.3.0	2026-05-28T02:56:53	2026-06-04T14:16:23	flat
sccoda	sccoda 0.1.9	ood_xlarge	1	Windows	gastrulation_pijuansala	patched	ok	6	734.134, 834.195, 1140.971, 508.521, 755.687, 838.353	801.977	794.941	3680.3, 3658.1, 3585.3, 3653.2, 3664.3, 3683.7	3654.157	3661.18	1.542, 1.357, 0.992, 2.227, 1.498, 1.351	1.495	1.428	1.0	"{""acc_rate_diff"":0.026565,""jaccard_significant"":1.0,""max_abs_diff_beta_mean"":0.000672,""max_abs_diff_ind_mean"":0.00026,""pearson_beta_mean"":1.0,""pearson_ind_mean"":1.0}"	0.3.0	2026-05-26T05:12:46	2026-06-04T14:09:49	flat
sccoda	sccoda 0.1.9	large	1	Windows	heart_adult	baseline	ok	6	318.769, 319.995, 319.663, 317.614, 394.803, 600.972	378.636	319.829	3203.9, 3199.3, 3220.3, 3216.5, 3221.6, 3224.4	3214.318	3218.371						0.3.0	2026-05-20T04:49:53	2026-06-06T22:05:43	flat
sccoda	sccoda 0.1.9	large	1	Windows	heart_adult	patched	ok	6	213.304, 217.149, 217.276, 213.159, 266.576, 380.571	251.339	217.213	1928.6, 1924.8, 1928.2, 1922.1, 1959.6, 1942.6	1934.327	1928.408	1.499, 1.473, 1.472, 1.500, 1.200, 0.840	1.331	1.472	1.0	"{""acc_rate_diff"":0.008572,""jaccard_significant"":1.0,""max_abs_diff_beta_mean"":0.001001,""max_abs_diff_ind_mean"":0.000753,""pearson_beta_mean"":0.999999,""pearson_ind_mean"":0.999995}"	0.3.0	2026-05-20T04:49:53	2026-06-06T22:05:43	flat
sccoda	sccoda 0.1.9	small	1	Windows	ifnb_pseudo	baseline	ok	6	34.586, 32.610, 34.003, 32.508, 42.430, 44.584	36.787	34.295	981.8, 950.6, 950.4, 949.2, 972.2, 971.3	962.588	960.969						0.3.0	2026-05-20T04:12:49	2026-06-06T23:23:14	flat
sccoda	sccoda 0.1.9	small	1	Windows	ifnb_pseudo	patched	ok	6	19.664, 19.456, 20.954, 19.369, 23.996, 27.689	21.855	20.309	831.7, 828.6, 829.7, 826.3, 843.6, 845.2	834.176	830.723	1.744, 1.763, 1.637, 1.771, 1.429, 1.239	1.597	1.69	1.0	"{""acc_rate_diff"":0.0276,""jaccard_significant"":1.0,""max_abs_diff_beta_mean"":0.000933,""max_abs_diff_ind_mean"":0.00061,""pearson_beta_mean"":1.0,""pearson_ind_mean"":1.0}"	0.3.0	2026-05-20T04:12:49	2026-06-06T23:23:14	flat
sccoda	sccoda 0.1.9	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	6	122.807, 122.651, 124.617, 121.936, 193.243, 198.925	147.363	123.712	1249.5, 1246.1, 1262.6, 1257.2, 1278.3, 1279.9	1262.27	1259.902						0.3.0	2026-05-20T04:23:06	2026-06-06T20:42:55	flat
sccoda	sccoda 0.1.9	medium	1	Windows	pbmc200k_glaucoma	patched	ok	6	85.344, 86.117, 87.281, 86.600, 109.838, 162.125	102.884	86.94	989.7, 986.8, 986.8, 990.3, 1002.9, 1007.9	994.044	989.996	1.450, 1.437, 1.417, 1.429, 1.126, 0.763	1.27	1.423	1.0	"{""acc_rate_diff"":0.003744,""jaccard_significant"":1.0,""max_abs_diff_beta_mean"":0.000871,""max_abs_diff_ind_mean"":0.001917,""pearson_beta_mean"":0.999976,""pearson_ind_mean"":0.999209}"	0.3.0	2026-05-20T04:23:06	2026-06-06T20:42:55	flat
sccoda	sccoda 0.1.9	ood_large	1	Windows	tms_ss2_aging	baseline	ok	6	432.583, 428.414, 433.332, 431.103, 755.253, 691.415	528.683	432.958	2573.7, 2545.3, 2535.3, 2571.8, 2560.8, 2580.3	2561.197	2566.322						0.3.0	2026-05-20T05:34:33	2026-06-06T21:35:38	flat
sccoda	sccoda 0.1.9	ood_large	1	Windows	tms_ss2_aging	patched	ok	6	306.713, 308.962, 307.642, 308.645, 427.891, 419.979	346.639	308.803	1696.0, 1665.9, 1675.4, 1693.7, 1691.7, 1685.6	1684.737	1688.666	1.412, 1.401, 1.407, 1.403, 1.012, 1.031	1.278	1.402	1.0	"{""acc_rate_diff"":0.003737,""jaccard_significant"":1.0,""max_abs_diff_beta_mean"":0.000588,""max_abs_diff_ind_mean"":0.000455,""pearson_beta_mean"":1.0,""pearson_ind_mean"":0.999999}"	0.3.0	2026-05-20T05:34:33	2026-06-06T21:35:38	flat
