patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
scvelo	scvelo 0.3.5.dev1+gf63c0e705	ood_large	1	Linux	bonemarrow	baseline	ok	2	700.150, 804.943	752.546	752.546	1259.1, 1283.9	1271.502	1271.502						0.3.0	2026-07-04T23:11:32	2026-07-04T23:11:32	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	ood_large	1	Linux	bonemarrow	patched	ok	2	223.508, 218.830	221.169	221.169	1317.4, 1314.3	1315.816	1315.816	3.367, 3.439	3.403	3.403	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-04T23:11:32	2026-07-04T23:11:32	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	large	1	Linux	gastrulation_erythroid	baseline	ok	2	1210.989, 1260.997	1235.993	1235.993	2272.8, 2282.3	2277.52	2277.52						0.3.0	2026-07-04T23:32:11	2026-07-04T23:32:11	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	large	1	Linux	gastrulation_erythroid	patched	ok	2	408.344, 401.312	404.828	404.828	2308.7, 2288.1	2298.4	2298.4	3.027, 3.080	3.053	3.053	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-04T23:32:11	2026-07-04T23:32:11	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	medium	1	Linux	pancreas	baseline	ok	2	510.703, 793.936	652.32	652.32	1042.3, 1064.3	1053.305	1053.305						0.3.0	2026-07-04T23:10:13	2026-07-04T23:10:13	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	medium	1	Linux	pancreas	patched	ok	2	356.860, 319.796	338.328	338.328	1045.7, 1034.0	1039.885	1039.885	1.828, 2.040	1.934	1.934	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-04T23:10:13	2026-07-04T23:10:13	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	small	1	Linux	pancreas_subset_1500	baseline	ok	2	223.264, 223.559	223.412	223.412	467.6, 489.5	478.553	478.553						0.3.0	2026-07-05T00:40:35	2026-07-05T00:40:35	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	small	1	Linux	pancreas_subset_1500	patched	ok	2	170.891, 167.440	169.166	169.166	553.5, 519.4	536.465	536.465	1.307, 1.334	1.321	1.321	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-05T00:40:35	2026-07-05T00:40:35	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	ood_xlarge	1	Linux	pbmc68k_50k	baseline	ok	3	1245.045, 1326.781, 2023.583	1531.803	1326.781	6397.9, 6366.4, 6358.4	6374.237	6366.395						0.3.0	2026-07-05T00:51:27	2026-07-05T00:51:27	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	ood_xlarge	1	Linux	pbmc68k_50k	patched	ok	3	804.391, 574.324, 1771.265	1049.993	804.391	6419.0, 6419.6, 6398.7	6412.428	6419.008	1.904, 2.667, 0.865	1.812	1.904	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-05T00:51:27	2026-07-05T00:51:27	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	ood_large	4	Linux	bonemarrow	baseline	ok	2	238.518, 272.578	255.548	255.548	1449.6, 1464.9	1457.219	1457.219						0.3.0	2026-07-04T22:55:16	2026-07-04T22:55:16	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	ood_large	4	Linux	bonemarrow	patched	ok	2	255.615, 220.934	238.275	238.275	1507.6, 1507.3	1507.471	1507.471	1.000, 1.157	1.078	1.078	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-04T22:55:16	2026-07-04T22:55:16	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	large	4	Linux	gastrulation_erythroid	baseline	ok	2	489.074, 480.642	484.858	484.858	2318.8, 2444.8	2381.822	2381.822						0.3.0	2026-07-04T23:09:53	2026-07-04T23:09:53	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	large	4	Linux	gastrulation_erythroid	patched	ok	2	424.049, 439.628	431.839	431.839	2468.0, 2460.1	2464.012	2464.012	1.143, 1.103	1.123	1.123	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-04T23:09:53	2026-07-04T23:09:53	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	medium	4	Linux	pancreas	baseline	ok	2	223.873, 230.271	227.072	227.072	1148.3, 1135.4	1141.842	1141.842						0.3.0	2026-07-04T22:52:46	2026-07-04T22:52:46	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	medium	4	Linux	pancreas	patched	ok	2	215.667, 237.307	226.487	226.487	1192.4, 1177.5	1184.918	1184.918	1.053, 0.957	1.005	1.005	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-04T22:52:46	2026-07-04T22:52:46	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	small	4	Linux	pancreas_subset_1500	baseline	ok	2	92.387, 80.580	86.483	86.483	546.9, 550.1	548.494	548.494						0.3.0	2026-07-05T00:32:25	2026-07-05T00:32:25	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	small	4	Linux	pancreas_subset_1500	patched	ok	2	75.026, 70.663	72.844	72.844	581.4, 584.8	583.08	583.08	1.153, 1.224	1.188	1.188	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-05T00:32:25	2026-07-05T00:32:25	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	ood_xlarge	4	Linux	pbmc68k_50k	baseline	ok	2	549.087, 318.037	433.562	433.562	6603.3, 6637.5	6620.379	6620.379						0.3.0	2026-07-04T23:10:47	2026-07-04T23:10:47	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	ood_xlarge	4	Linux	pbmc68k_50k	patched	ok	2	285.572, 309.515	297.544	297.544	6634.6, 6651.7	6643.15	6643.15	1.518, 1.401	1.46	1.46	1.0	"{""max_rel_diff_fit_likelihood"":0.0,""n_genes_fit_diff"":0.0,""pearson_fit_alpha"":1.0,""pearson_fit_beta"":1.0,""pearson_fit_gamma"":1.0,""pearson_fit_likelihood"":1.0,""pearson_fit_t_"":1.0,""spearman_fit_likelihood"":1.0}"	0.3.0	2026-07-04T23:10:47	2026-07-04T23:10:47	scale
scvelo	scvelo 0.3.5.dev1+gf63c0e705	ood_large	8	Linux	bonemarrow	baseline	ok	2	145.506, 111.826	128.666	128.666	1366.9, 1427.4	1397.15	1397.15						0.3.0	2026-07-04T22:47:02	2026-07-04T22:47:02	scale
