patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
squidpy_cooccurrence	squidpy 1.6.5	ood_large	1	Windows	four_i_mouse_cortex_80k	baseline	ok	2	593.446, 548.979	571.213	571.213	647.5, 640.2	643.85	643.85						0.3.0	2026-06-04T01:25:02	2026-06-04T11:27:26	flat
squidpy_cooccurrence	squidpy 1.6.5	ood_large	1	Windows	four_i_mouse_cortex_80k	patched	ok	4	74.350, 69.606, 70.082, 69.508	70.886	69.844	643.5, 643.9, 643.5, 643.5	643.607	643.527	9.053, 9.670, 9.605, 9.684	9.503	9.637	0.25	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":0.0}"	0.3.0	2026-06-04T11:27:26	2026-06-08T12:38:16	scale
squidpy_cooccurrence	squidpy 1.6.5	ood_xlarge	1	Windows	four_i_mouse_cortex_full	baseline	ok	2	6104.452, 7062.878	6583.665	6583.665	947.6, 947.9	947.76	947.76						0.3.0	2026-06-03T19:23:47	2026-06-04T06:09:24	flat
squidpy_cooccurrence	squidpy 1.6.5	ood_xlarge	1	Windows	four_i_mouse_cortex_full	patched	ok	4	886.158, 760.540, 755.055, 753.498	788.813	757.798	885.1, 883.4, 884.4, 883.2	884.013	883.906	7.970, 9.287, 9.354, 9.373	8.996	9.32	0.25	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":0.0}"	0.3.0	2026-06-04T06:09:24	2026-06-08T13:17:23	scale
squidpy_cooccurrence	squidpy 1.6.5	large	1	Windows	merfish_mouse_preoptic	baseline	ok	2	522.238, 386.491	454.364	454.364	691.8, 690.9	691.342	691.342						0.3.0	2026-06-04T03:45:08	2026-06-08T13:25:39	flat
squidpy_cooccurrence	squidpy 1.6.5	large	1	Windows	merfish_mouse_preoptic	patched	ok	4	42.534, 36.965, 36.547, 36.401	38.112	36.756	674.2, 673.7, 673.9, 674.3	674.04	674.082	10.437, 12.010, 12.147, 12.196	11.698	12.079	0.5	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":1e-06}"	0.3.0	2026-06-04T03:45:08	2026-06-08T13:25:39	scale
squidpy_cooccurrence	squidpy 1.6.5	small	1	Windows	seqfish_mouse_gastrulation	baseline	ok	2	51.106, 41.365	46.235	46.235	6315.9, 6315.6	6315.777	6315.777						0.3.0	2026-05-27T00:00:16	2026-05-28T06:19:02	flat
squidpy_cooccurrence	squidpy 1.6.5	small	1	Windows	seqfish_mouse_gastrulation	patched	ok	3	10.841, 8.525, 9.981	9.782	9.981	624.9, 624.9, 623.1	624.262	624.859	4.428, 5.631, 4.809	4.956	4.809	0.667	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":2e-06}"	0.3.0	2026-05-27T00:00:16	2026-06-08T20:33:03	scale
squidpy_cooccurrence	squidpy 1.6.5	medium	1	Windows	slideseqv2_mouse_hippocampus	baseline	ok	2	129.094, 132.593	130.843	130.843	835.3, 835.3	835.329	835.329						0.3.0	2026-05-27T00:07:58	2026-05-28T07:42:39	flat
squidpy_cooccurrence	squidpy 1.6.5	medium	1	Windows	slideseqv2_mouse_hippocampus	patched	ok	2	9.748, 21.284	15.516	15.516	850.1, 850.3	850.191	850.191	13.555, 6.208	9.882	9.882	0.5	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":1e-06}"	0.3.0	2026-05-27T00:07:58	2026-06-08T20:33:03	scale
squidpy_cooccurrence	squidpy 1.6.5	ood_large	4	Windows	four_i_mouse_cortex_80k	baseline	ok	2	752.764, 762.524	757.644	757.644	641.5, 641.8	641.68	641.68						0.3.0	2026-05-25T18:24:45	2026-05-28T11:59:21	flat
squidpy_cooccurrence	squidpy 1.6.5	ood_large	4	Windows	four_i_mouse_cortex_80k	patched	ok	2	16.848, 23.936	20.392	20.392	646.1, 645.3	645.693	645.693	39.951, 28.121	34.036	34.036	0.5	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":0.0}"	0.3.0	2026-05-25T18:24:45	2026-06-08T20:34:26	scale
squidpy_cooccurrence	squidpy 1.6.5	ood_xlarge	4	Windows	four_i_mouse_cortex_full	baseline	ok	2	7764.820, 7614.297	7689.558	7689.558	948.5, 877.0	912.764	912.764						0.3.0	2026-05-25T18:24:45	2026-05-28T19:04:47	flat
squidpy_cooccurrence	squidpy 1.6.5	ood_xlarge	4	Windows	four_i_mouse_cortex_full	patched	ok	2	64.908, 197.129	131.019	131.019	885.6, 885.5	885.566	885.566	108.813, 35.829	72.321	72.321	0.5	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":0.0}"	0.3.0	2026-05-25T18:24:45	2026-06-08T20:59:20	scale
squidpy_cooccurrence	squidpy 1.6.5	large	4	Windows	merfish_mouse_preoptic	baseline	ok	3	443.949, 547.154, 471.327	487.476	471.327	692.9, 692.1, 692.2	692.381	692.186						0.3.0	2026-05-25T18:24:45	2026-05-28T09:02:33	flat
squidpy_cooccurrence	squidpy 1.6.5	large	4	Windows	merfish_mouse_preoptic	patched	ok	3	14.483, 12.553, 11.950	12.995	12.553	676.7, 677.0, 678.7	677.477	677.012	30.653, 35.367, 37.151	34.39	35.367	1.0	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":1e-06}"	0.3.0	2026-05-25T18:24:45	2026-05-28T09:02:33	scale
squidpy_cooccurrence	squidpy 1.6.5	small	4	Windows	seqfish_mouse_gastrulation	baseline	ok	2	49.770, 47.724	48.747	48.747	6317.4, 6316.9	6317.134	6317.134						0.3.0	2026-05-25T18:24:45	2026-05-28T05:59:11	flat
squidpy_cooccurrence	squidpy 1.6.5	small	4	Windows	seqfish_mouse_gastrulation	patched	ok	3	10.878, 8.603, 8.361	9.281	8.603	626.7, 627.1, 625.4	626.418	626.703	4.413, 5.579, 5.741	5.244	5.579	0.667	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":2e-06}"	0.3.0	2026-05-25T18:24:45	2026-06-08T20:34:26	scale
squidpy_cooccurrence	squidpy 1.6.5	medium	4	Windows	slideseqv2_mouse_hippocampus	baseline	ok	2	146.018, 145.655	145.837	145.837	836.8, 836.9	836.885	836.885						0.3.0	2026-05-25T18:24:45	2026-05-28T06:57:48	flat
squidpy_cooccurrence	squidpy 1.6.5	medium	4	Windows	slideseqv2_mouse_hippocampus	patched	ok	2	12.014, 11.442	11.728	11.728	852.5, 852.0	852.271	852.271	10.999, 11.548	11.273	11.273	0.5	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":1e-06}"	0.3.0	2026-05-25T18:24:45	2026-06-08T20:34:26	scale
squidpy_cooccurrence	squidpy 1.6.5	ood_large	8	Windows	four_i_mouse_cortex_80k	baseline	ok	2	862.072, 555.801	708.936	708.936	651.0, 643.7	647.359	647.359						0.3.0	2026-06-04T02:07:34	2026-06-04T09:20:15	flat
squidpy_cooccurrence	squidpy 1.6.5	ood_large	8	Windows	four_i_mouse_cortex_80k	patched	ok	2	19.927, 17.116	18.522	18.522	649.2, 646.9	648.01	648.01	33.778, 39.326	36.552	36.552	0.5	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":0.0}"	0.3.0	2026-06-04T02:07:34	2026-06-08T20:35:41	scale
squidpy_cooccurrence	squidpy 1.6.5	ood_xlarge	8	Windows	four_i_mouse_cortex_full	baseline	ok	1	5814.003	5814.003	5814.003	950.7	950.68	950.68						0.3.0	2026-06-03T17:28:37	2026-06-03T17:28:37	flat
squidpy_cooccurrence	squidpy 1.6.5	ood_xlarge	8	Windows	four_i_mouse_cortex_full	patched	ok	3	110.940, 106.862, 107.043	108.282	107.043	885.9, 888.6, 886.9	887.113	886.859	63.664, 66.094, 65.982	65.246	65.982	0.333	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":0.0}"	0.3.0	2026-06-03T17:28:37	2026-06-10T22:38:26	scale
squidpy_cooccurrence	squidpy 1.6.5	large	8	Windows	merfish_mouse_preoptic	baseline	ok	2	407.475, 407.475	407.475	407.475	694.0, 694.0	693.957	693.957						0.3.0	2026-06-09T12:06:14	2026-06-09T12:06:14	flat
squidpy_cooccurrence	squidpy 1.6.5	large	8	Windows	merfish_mouse_preoptic	patched	ok	2	12.656, 13.001	12.829	12.829	679.8, 678.8	679.316	679.316	35.077, 34.146	34.611	34.611	1.0	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":1e-06}"	0.3.0	2026-06-09T12:06:14	2026-06-09T12:06:14	scale
squidpy_cooccurrence	squidpy 1.6.5	small	8	Windows	seqfish_mouse_gastrulation	baseline	ok	3	48.000, 47.589, 85.425	60.338	48.0	626.6, 3472.6, 6318.3	3472.495	3472.626						0.3.0	2026-05-27T00:02:16	2026-06-06T20:58:39	flat
squidpy_cooccurrence	squidpy 1.6.5	small	8	Windows	seqfish_mouse_gastrulation	patched	ok	4	11.911, 8.503, 25.261, 8.268	13.485	10.207	626.9, 628.6, 627.2, 627.3	627.503	627.248	4.030, 5.645, 1.900, 5.806	4.345	4.838	0.75	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":2e-06}"	0.3.0	2026-05-27T00:02:16	2026-06-08T20:35:41	scale
squidpy_cooccurrence	squidpy 1.6.5	medium	8	Windows	slideseqv2_mouse_hippocampus	baseline	ok	2	131.680, 129.593	130.637	130.637	838.1, 838.5	838.316	838.316						0.3.0	2026-05-27T00:13:38	2026-05-28T08:19:55	flat
squidpy_cooccurrence	squidpy 1.6.5	medium	8	Windows	slideseqv2_mouse_hippocampus	patched	ok	2	10.260, 9.796	10.028	10.028	854.4, 852.9	853.654	853.654	12.879, 13.488	13.184	13.184	0.5	"{""pearson_occ"":1.0,""q99_abs_diff_occ"":1e-06}"	0.3.0	2026-05-27T00:13:38	2026-06-08T20:35:41	scale
squidpy_cooccurrence	squidpy 1.6.5	ood_large	1	macOS	four_i_mouse_cortex_80k	baseline	ok	2	459.614, 439.817	449.715	449.715	2078.2, 2085.0	2081.584	2081.584						0.3.0	2026-06-04T02:43:57	2026-06-06T20:18:50	flat
