patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
statsmodels	statsmodels 0.14.6	large	1	Windows	glm_poisson_large	baseline	ok	3	271.583, 271.386, 323.881	288.95	271.583	56441.5, 56420.4, 56346.9	56402.917	56420.352						0.3.0	2026-05-29T18:23:04	2026-06-07T20:45:38	scale
statsmodels	statsmodels 0.14.6	large	1	Windows	glm_poisson_large	patched	ok	3	18.496, 17.625, 22.063	19.395	18.496	11884.9, 11863.8, 11863.9	11870.836	11863.863	15.622, 16.394, 13.097	15.038	15.622	1.0	"{""converged_match"":1.0,""max_abs_diff_params"":0.0,""max_rel_diff_params"":0.0,""rel_diff_llf"":0.0}"	0.3.0	2026-05-29T18:23:04	2026-06-07T20:45:38	scale
statsmodels	statsmodels 0.14.6	medium	1	Windows	glm_poisson_medium	baseline	ok	2	178.850, 182.026	180.438	180.438	35505.2, 35483.8	35494.5	35494.5						0.3.0	2026-05-29T18:12:04	2026-06-02T05:28:00	scale
statsmodels	statsmodels 0.14.6	medium	1	Windows	glm_poisson_medium	patched	ok	3	11.603, 10.728, 9.638	10.657	10.728	7581.2, 7561.0, 7560.5	7567.57	7560.992	15.551, 16.819, 18.721	17.03	16.819	0.667	"{""converged_match"":1.0,""max_abs_diff_params"":0.0,""max_rel_diff_params"":0.0,""rel_diff_llf"":0.0}"	0.3.0	2026-05-29T18:12:04	2026-06-08T03:23:12	scale
statsmodels	statsmodels 0.14.6	ood_large	1	Windows	glm_poisson_ood_corr_dense	baseline	ok	3	264.985, 287.800, 418.812	323.865	287.8	56441.4, 56419.4, 33520.5	48793.763	56419.355						0.3.0	2026-05-30T01:07:21	2026-06-07T20:39:08	scale
statsmodels	statsmodels 0.14.6	ood_large	1	Windows	glm_poisson_ood_corr_dense	patched	ok	3	17.954, 18.028, 17.669	17.884	17.954	11884.4, 11863.7, 11863.7	11870.615	11863.73	18.038, 17.965, 18.330	18.111	18.038	1.0	"{""converged_match"":1.0,""max_abs_diff_params"":0.0,""max_rel_diff_params"":0.0,""rel_diff_llf"":0.0}"	0.3.0	2026-05-30T01:07:21	2026-06-07T20:39:08	scale
statsmodels	statsmodels 0.14.6	ood_xlarge	1	Windows	glm_poisson_ood_xlarge	baseline	ok	3	331.187, 347.981, 408.701	362.623	347.981	78140.6, 78118.3, 78031.7	78096.852	78118.262						0.3.0	2026-05-30T01:21:37	2026-06-07T21:04:34	scale
statsmodels	statsmodels 0.14.6	ood_xlarge	1	Windows	glm_poisson_ood_xlarge	patched	ok	3	25.494, 25.188, 24.092	24.925	25.188	16340.8, 16319.4, 16319.7	16326.622	16319.684	14.224, 14.397, 15.051	14.557	14.397	1.0	"{""converged_match"":1.0,""max_abs_diff_params"":0.0,""max_rel_diff_params"":0.0,""rel_diff_llf"":0.0}"	0.3.0	2026-05-30T01:21:37	2026-06-07T21:04:34	scale
statsmodels	statsmodels 0.14.5	small	1	Windows	glm_poisson_tiny	baseline	ok	3	98.452, 124.630, 110.483	111.188	110.483	19147.8, 19126.1, 19125.8	19133.238	19126.059						0.3.0	2026-05-29T18:04:58	2026-06-01T00:17:10	scale
statsmodels	statsmodels 0.14.5	small	1	Windows	glm_poisson_tiny	patched	ok	3	5.151, 5.800, 5.157	5.369	5.157	4194.0, 4172.5, 4172.5	4179.661	4172.539	21.587, 19.172, 21.561	20.773	21.561	1.0	"{""converged_match"":1.0,""max_abs_diff_params"":0.0,""max_rel_diff_params"":0.0,""rel_diff_llf"":0.0}"	0.3.0	2026-05-29T18:04:58	2026-06-01T00:17:10	scale
statsmodels	statsmodels 0.14.6	large	4	Windows	glm_poisson_large	baseline	ok	3	207.362, 191.104, 197.141	198.536	197.141	56443.2, 56421.7, 56421.2	56428.68	56421.652						0.3.0	2026-05-29T18:27:19	2026-06-04T21:03:12	scale
statsmodels	statsmodels 0.14.6	large	4	Windows	glm_poisson_large	patched	ok	3	13.359, 10.713, 10.961	11.678	10.961	11886.9, 11866.1, 11865.7	11872.901	11866.078	14.861, 18.532, 18.112	17.169	18.112	1.0	"{""converged_match"":1.0,""max_abs_diff_params"":0.0,""max_rel_diff_params"":0.0,""rel_diff_llf"":0.0}"	0.3.0	2026-05-29T18:27:19	2026-06-04T21:03:12	scale
statsmodels	statsmodels 0.14.6	medium	4	Windows	glm_poisson_medium	baseline	ok	3	144.070, 144.070, 189.634	159.258	144.07	42416.8, 42416.8, 21476.4	35436.677	42416.8						0.3.0	2026-05-22T19:03:11	2026-06-07T02:55:18	scale
statsmodels	statsmodels 0.14.6	medium	4	Windows	glm_poisson_medium	patched	ok	4	10.462, 10.565, 8.088, 6.913	9.007	9.275	7991.7, 7991.9, 7583.5, 7562.6	7782.444	7787.633	15.222, 15.074, 19.691, 23.037	18.256	17.457	1.0	"{""converged_match"":1.0,""max_abs_diff_params"":0.0,""max_rel_diff_params"":0.0,""rel_diff_llf"":0.0}"	0.3.0	2026-05-22T19:03:11	2026-06-07T02:55:18	scale
statsmodels	statsmodels 0.14.6	ood_large	4	Windows	glm_poisson_ood_corr_dense	baseline	ok	3	193.022, 188.073, 195.136	192.077	193.022	56443.1, 56421.5, 56422.0	56428.901	56422.012						0.3.0	2026-05-30T01:11:11	2026-06-07T20:49:36	scale
statsmodels	statsmodels 0.14.6	ood_large	4	Windows	glm_poisson_ood_corr_dense	patched	ok	3	13.696, 11.348, 10.775	11.939	11.348	11887.8, 11865.5, 11866.1	11873.111	11866.074	14.025, 16.927, 17.826	16.259	16.927	1.0	"{""converged_match"":1.0,""max_abs_diff_params"":0.0,""max_rel_diff_params"":0.0,""rel_diff_llf"":0.0}"	0.3.0	2026-05-30T01:11:11	2026-06-07T20:49:36	scale
statsmodels	statsmodels 0.14.6	ood_xlarge	4	Windows	glm_poisson_ood_xlarge	baseline	ok	3	250.632, 235.442, 220.018	235.364	235.442	78141.7, 78119.9, 78120.1	78127.233	78120.109						0.3.0	2026-05-30T01:26:36	2026-06-07T21:09:01	scale
statsmodels	statsmodels 0.14.6	ood_xlarge	4	Windows	glm_poisson_ood_xlarge	patched	ok	3	19.773, 16.031, 14.988	16.93	16.031	16343.3, 16322.1, 16322.2	16329.195	16322.191	11.904, 14.682, 15.704	14.097	14.682	1.0	"{""converged_match"":1.0,""max_abs_diff_params"":0.0,""max_rel_diff_params"":0.0,""rel_diff_llf"":0.0}"	0.3.0	2026-05-30T01:26:36	2026-06-07T21:09:01	scale
statsmodels	statsmodels 0.14.6	small	4	Windows	glm_poisson_tiny	baseline	ok	3	39.233, 75.648, 102.475	72.452	75.648	13722.6, 19149.1, 19127.3	17332.972	19127.258						0.3.0	2026-05-22T19:03:11	2026-06-07T02:08:06	scale
