patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
xclim	xclim 0.60.0	ood_xlarge	1	Windows	gregorian_smooth_550x550x50y	baseline	ok	3	281.082, 305.634, 333.938	306.885	305.634	34572.2, 34592.7, 34592.5	34585.798	34592.477						0.3.0	2026-05-29T22:44:34	2026-06-04T18:38:10	flat
xclim	xclim 0.60.0	ood_xlarge	1	Windows	gregorian_smooth_550x550x50y	patched	ok	3	0.448, 0.497, 0.462	0.469	0.462	21452.1, 21455.7, 21456.0	21454.612	21455.68	681.733, 614.486, 661.027	652.415	661.027	1.0	"{""mae"":0.0,""max_abs_diff"":0.0,""pct_exact"":1.0}"	0.3.0	2026-05-29T22:44:34	2026-06-04T18:38:10	flat
xclim	xclim 0.60.0	ood_large	1	Windows	gregorian_smooth_700x700x30y	baseline	ok	3	310.811, 575.921, 365.569	417.434	365.569	38660.0, 33397.5, 38680.9	36912.812	38659.988						0.3.0	2026-05-29T22:20:09	2026-06-04T20:13:29	flat
xclim	xclim 0.60.0	ood_large	1	Windows	gregorian_smooth_700x700x30y	patched	ok	3	0.423, 0.445, 0.435	0.434	0.435	20855.7, 20859.1, 20860.0	20858.289	20859.09	864.568, 821.656, 840.898	842.374	840.898	1.0	"{""mae"":0.0,""max_abs_diff"":0.0,""pct_exact"":1.0}"	0.3.0	2026-05-29T22:20:09	2026-06-04T20:13:29	flat
xclim	xclim 0.60.0	small	1	Windows	synth_350x350x30y	baseline	ok	3	46.272, 46.119, 55.429	49.274	46.272	9915.6, 9915.1, 9895.6	9908.747	9915.074						0.3.0	2026-05-19T12:22:34	2026-05-29T21:28:23	flat
xclim	xclim 0.60.0	small	1	Windows	synth_350x350x30y	patched	ok	3	0.124, 0.126, 0.132	0.127	0.126	5612.6, 5611.0, 5631.0	5618.221	5612.648	374.627, 367.388, 350.291	364.102	367.388	1.0	"{""mae"":0.0,""max_abs_diff"":0.0,""pct_exact"":1.0}"	0.3.0	2026-05-19T12:22:34	2026-05-29T21:28:23	flat
xclim	xclim 0.60.0	medium	1	Windows	synth_500x500x30y	baseline	ok	3	133.227, 159.326, 187.980	160.178	159.326	19865.4, 19838.6, 19839.7	19847.888	19839.668						0.3.0	2026-05-29T21:36:36	2026-06-04T16:08:52	flat
xclim	xclim 0.60.0	medium	1	Windows	synth_500x500x30y	patched	ok	3	0.276, 0.274, 0.318	0.289	0.276	10957.5, 10797.9, 10798.0	10851.118	10797.996	577.303, 581.256, 501.504	553.355	577.303	1.0	"{""mae"":0.0,""max_abs_diff"":0.0,""pct_exact"":1.0}"	0.3.0	2026-05-29T21:36:36	2026-06-04T16:08:52	flat
xclim	xclim 0.60.0	large	1	Windows	synth_700x700x30y	baseline	ok	3	305.944, 551.865, 499.875	452.561	499.875	38633.2, 34614.3, 30379.2	34542.201	34614.254						0.3.0	2026-05-29T21:53:49	2026-06-04T18:51:23	flat
xclim	xclim 0.60.0	large	1	Windows	synth_700x700x30y	patched	ok	3	0.525, 0.544, 0.574	0.548	0.544	20840.6, 20847.1, 20848.9	20845.556	20847.117	952.268, 918.180, 871.381	913.943	918.18	1.0	"{""mae"":0.0,""max_abs_diff"":0.0,""pct_exact"":1.0}"	0.3.0	2026-05-29T21:53:49	2026-06-04T18:51:23	flat
