patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
bayesspace	BayesSpace 1.21.2	ood_xlarge	1	Windows	10x_visium_human_breast_cancer_block_a	baseline	ok	2	877.826, 808.030	842.928	842.928	1737.9, 1740.9	1739.391	1739.391						0.3.0	2026-05-28 21:21:13	2026-06-03 08:53:48	flat
bayesspace	BayesSpace 1.21.2	ood_xlarge	1	Windows	10x_visium_human_breast_cancer_block_a	patched	ok	3	73.954, 70.619, 69.495	71.356	70.619	1800.0, 1738.1, 1738.5	1758.885	1738.492	11.398, 11.936, 12.129	11.821	11.936	1	{"spatial_cluster_ari":0.997456,"spatial_cluster_nmi":0.997674}	0.3.0	2026-05-28 21:21:13	2026-06-08 03:46:46	flat
bayesspace	BayesSpace 1.21.2	ood_large	1	Windows	10x_visium_human_lymph_node	baseline	ok	6	553.229, 389.866, 549.141, 527.787, 429.702, 464.789	485.752	496.288	1886.2, 1868.2, 1867.1, 1866.1, 1867.3, 1867.8	1870.441	1867.551						0.3.0	2026-05-28 14:08:41	2026-06-04 15:12:08	flat
bayesspace	BayesSpace 1.21.2	ood_large	1	Windows	10x_visium_human_lymph_node	patched	ok	3	49.629, 37.865, 36.151	41.215	37.865	1851.0, 1833.0, 1833.0	1839.01	1833.043	10.000, 13.107, 13.728	12.278	13.107	1	{"spatial_cluster_ari":0.974323,"spatial_cluster_nmi":0.968781}	0.3.0	2026-05-28 14:08:41	2026-06-08 03:44:51	flat
bayesspace	BayesSpace 1.21.2	medium	1	Windows	10x_visium_mouse_brain_sagittal_anterior	baseline	ok	2	130.340, 138.482	134.411	134.411	1531.5, 1519.5	1525.516	1525.516						0.3.0	2026-05-28 07:48:12	2026-06-03 20:17:05	flat
bayesspace	BayesSpace 1.21.2	medium	1	Windows	10x_visium_mouse_brain_sagittal_anterior	patched	ok	3	14.922, 17.346, 15.067	15.778	15.067	1505.1, 1503.0, 1503.5	1503.859	1503.461	9.008, 7.749, 8.921	8.559	8.921	1	{"spatial_cluster_ari":0.991649,"spatial_cluster_nmi":0.987238}	0.3.0	2026-05-28 07:48:12	2026-06-03 20:18:03	flat
bayesspace	BayesSpace 1.21.2	large	1	Windows	10x_visium_mouse_brain_sagittal_posterior	baseline	ok	3	335.175, 334.134, 348.293	339.201	335.175	1576.5, 1536.5, 1536.2	1549.764	1536.512						0.3.0	2026-05-28 10:18:28	2026-06-07 00:54:11	flat
bayesspace	BayesSpace 1.21.2	large	1	Windows	10x_visium_mouse_brain_sagittal_posterior	patched	ok	3	33.028, 32.635, 31.858	32.507	32.635	1536.9, 1536.5, 1536.9	1536.754	1536.875	10.148, 10.270, 10.521	10.313	10.27	1	{"spatial_cluster_ari":0.986676,"spatial_cluster_nmi":0.982695}	0.3.0	2026-05-28 10:18:28	2026-06-07 00:57:17	flat
bayesspace	BayesSpace 1.21.2	small	1	Windows	thrane_melanoma_ST_mel1_rep2	baseline	ok	3	37.664, 37.458, 44.013	39.711	37.664	1015.2, 962.7, 955.2	977.707	962.695						0.3.0	2026-05-28 06:21:32	2026-06-07 00:44:04	flat
bayesspace	BayesSpace 1.21.2	small	1	Windows	thrane_melanoma_ST_mel1_rep2	patched	ok	3	4.457, 4.477, 4.698	4.544	4.477	957.4, 861.5, 862.2	893.681	862.172	8.450, 8.413, 8.018	8.294	8.413	1	{"spatial_cluster_ari":0.991802,"spatial_cluster_nmi":0.984763}	0.3.0	2026-05-28 06:21:32	2026-06-07 00:45:46	flat
bayesspace	BayesSpace 1.21.2	ood_xlarge	1	macOS	10x_visium_human_breast_cancer_block_a	baseline	ok	4	746.818, 748.105, 726.132, 726.463	736.88	736.641	1982.7, 1940.5, 1974.3, 1961.0	1964.637	1967.656						0.3.0	2026-05-20 19:36:06	2026-05-20 20:36:37	flat
bayesspace	BayesSpace 1.21.2	ood_xlarge	1	macOS	10x_visium_human_breast_cancer_block_a	patched	ok	4	79.052, 78.776, 78.540, 79.064	78.858	78.914	1841.6, 1840.0, 1823.3, 1869.8	1843.664	1840.781	9.318, 9.351, 9.379, 9.317	9.341	9.335	1	{"spatial_cluster_ari":0.996499,"spatial_cluster_nmi":0.995753}	0.3.0	2026-05-20 19:36:06	2026-05-20 20:36:37	flat
bayesspace	BayesSpace 1.21.2	ood_large	1	macOS	10x_visium_human_lymph_node	baseline	ok	4	328.452, 311.320, 333.758, 319.559	323.272	324.006	1964.0, 2033.5, 1965.3, 2021.3	1996.023	1993.32						0.3.0	2026-05-20 19:36:06	2026-05-20 20:36:37	flat
bayesspace	BayesSpace 1.21.2	ood_large	1	macOS	10x_visium_human_lymph_node	patched	ok	4	38.699, 38.188, 39.186, 38.769	38.711	38.734	1913.2, 1901.2, 1920.0, 1930.9	1916.332	1916.594	8.372, 8.484, 8.268, 8.357	8.371	8.365	1	{"spatial_cluster_ari":0.852102,"spatial_cluster_nmi":0.883787}	0.3.0	2026-05-20 19:36:06	2026-05-20 20:36:37	flat
bayesspace	BayesSpace 1.21.2	medium	1	macOS	10x_visium_mouse_brain_sagittal_anterior	baseline	ok	3	105.522, 104.935, 104.658	105.038	104.935	1672.2, 1691.6, 1672.9	1678.932	1672.922						0.3.0	2026-05-20 19:40:11	2026-05-20 20:36:37	flat
bayesspace	BayesSpace 1.21.2	medium	1	macOS	10x_visium_mouse_brain_sagittal_anterior	patched	ok	3	13.805, 13.711, 13.708	13.742	13.711	1559.9, 1526.5, 1523.3	1536.547	1526.453	7.601, 7.653, 7.655	7.636	7.653	1	{"spatial_cluster_ari":0.991649,"spatial_cluster_nmi":0.987238}	0.3.0	2026-05-20 19:40:11	2026-05-20 20:36:37	flat
