patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
cellchat	CellChat 2.2.0.9001	ood_large	1	Windows	heart_adult_30k	baseline	ok	6	711.306, 624.985, 732.328, 649.362, 655.154, 750.728	687.311	683.23	4754.7, 4744.3, 4757.2, 4742.0, 4753.8, 4742.0	4749.003	4749.043						0.3.0	2026-05-27 12:08:21	2026-06-04 13:12:19	scale
cellchat	CellChat 2.2.0.9001	ood_large	1	Windows	heart_adult_30k	patched	ok	4	32.359, 31.827, 33.674, 30.628	32.122	32.093	3959.9, 3960.1, 3633.9, 3974.0	3881.984	3960.023	21.240, 21.595, 20.411, 22.441	21.422	21.418	1	{"jaccard_significant":1,"max_abs_diff_prob":0,"pearson_prob":1,"pearson_pval":1}	0.3.0	2026-05-27 12:08:21	2026-06-08 10:42:24	scale
cellchat	CellChat 2.2.0.9001	ood_xlarge	1	Windows	heart_adult_80k	baseline	ok	3	1347.555, 1005.119, 1482.136	1278.27	1347.555	11580.4, 11599.8, 11558.6	11579.604	11580.414						0.3.0	2026-05-27 18:08:50	2026-06-04 04:37:15	scale
cellchat	CellChat 2.2.0.9001	ood_xlarge	1	Windows	heart_adult_80k	patched	ok	3	101.196, 96.827, 95.574	97.866	96.827	9742.6, 9741.3, 9756.3	9746.737	9742.574	12.632, 13.202, 13.375	13.069	13.202	1	{"jaccard_significant":1,"max_abs_diff_prob":0,"pearson_prob":1,"pearson_pval":1}	0.3.0	2026-05-27 18:08:50	2026-06-08 10:44:25	scale
cellchat	CellChat 2.2.0.9001	small	1	Windows	ifnb_2k	baseline	ok	5	97.589, 125.224, 96.332, 103.053, 115.319	107.503	103.053	1016.4, 1014.7, 1009.2, 1016.7, 1023.6	1016.109	1016.387						0.3.0	2026-05-27 00:22:19	2026-06-01 14:13:40	scale
cellchat	CellChat 2.2.0.9001	small	1	Windows	ifnb_2k	patched	ok	5	0.566, 0.761, 0.533, 0.537, 0.517	0.583	0.537	850.8, 849.6, 856.0, 847.5, 851.7	851.116	850.816	189.943, 141.178, 201.607, 200.095, 208.028	188.17	200.095	1	{"jaccard_significant":1,"max_abs_diff_prob":0,"pearson_prob":1,"pearson_pval":1}	0.3.0	2026-05-27 00:22:19	2026-06-01 14:13:40	scale
cellchat	CellChat 2.2.0.9001	medium	1	Windows	pbmc68k_2k	baseline	ok	2	283.882, 236.759	260.32	260.32	1183.9, 1181.6	1182.744	1182.744						0.3.0	2026-05-27 03:51:15	2026-06-03 19:40:07	scale
cellchat	CellChat 2.2.0.9001	medium	1	Windows	pbmc68k_2k	patched	ok	3	1.352, 1.178, 1.050	1.193	1.178	896.5, 889.5, 902.9	896.283	896.461	192.568, 221.002, 247.821	220.463	221.002	1	{"jaccard_significant":1,"max_abs_diff_prob":0,"pearson_prob":1,"pearson_pval":1}	0.3.0	2026-05-27 03:51:15	2026-06-08 10:41:17	scale
cellchat	CellChat 2.2.0.9001	large	1	Windows	tms_ss2_3k	baseline	ok	5	795.464, 576.240, 659.362, 699.537, 586.724	663.465	659.362	1707.3, 1707.5, 1703.2, 1705.1, 1710.5	1706.721	1707.328						0.3.0	2026-05-27 06:29:05	2026-06-04 12:24:21	scale
cellchat	CellChat 2.2.0.9001	large	1	Windows	tms_ss2_3k	patched	ok	4	7.011, 5.671, 6.102, 5.156	5.985	5.887	1504.9, 1502.2, 1504.7, 1442.7	1488.635	1503.457	94.639, 116.985, 108.722, 128.675	112.255	112.853	1	{"jaccard_significant":1,"max_abs_diff_prob":0,"pearson_prob":1,"pearson_pval":1}	0.3.0	2026-05-27 06:29:05	2026-06-08 10:41:36	scale
cellchat	CellChat 2.2.0.9001	ood_large	4	Windows	heart_adult_30k	baseline	ok	2	658.629, 691.545	675.087	675.087	4755.1, 4742.8	4748.902	4748.902						0.3.0	2026-05-24 15:59:31	2026-05-24 15:59:31	scale
cellchat	CellChat 2.2.0.9001	ood_large	4	Windows	heart_adult_30k	patched	ok	3	9.419, 9.560, 9.144	9.374	9.419	3952.9, 3953.1, 3973.0	3959.677	3953.133	71.671, 70.616, 73.828	72.038	71.671	1	{"jaccard_significant":1,"max_abs_diff_prob":0,"pearson_prob":1,"pearson_pval":1}	0.3.0	2026-05-24 15:59:31	2026-06-08 10:45:26	scale
cellchat	CellChat 2.2.0.9001	ood_xlarge	4	Windows	heart_adult_80k	baseline	ok	4	1107.174, 1370.474, 1333.904, 1274.532	1271.521	1304.218	11595.8, 11596.3, 11467.0, 11565.2	11556.073	11580.5						0.3.0	2026-05-24 15:59:31	2026-06-04 17:43:17	scale
cellchat	CellChat 2.2.0.9001	ood_xlarge	4	Windows	heart_adult_80k	patched	ok	3	28.293, 36.797, 27.299	30.796	28.293	9737.2, 9737.6, 9755.8	9743.522	9737.574	44.942, 34.555, 46.578	42.025	44.942	1	{"jaccard_significant":1,"max_abs_diff_prob":0,"pearson_prob":1,"pearson_pval":1}	0.3.0	2026-05-24 15:59:31	2026-06-08 10:46:19	scale
cellchat	CellChat 2.2.0.9001	small	4	Windows	ifnb_2k	baseline	ok	3	95.650, 93.802, 99.877	96.443	95.65	1022.0, 1009.7, 1009.3	1013.656	1009.727						0.3.0	2026-05-23 01:38:50	2026-06-03 19:34:23	scale
cellchat	CellChat 2.2.0.9001	small	4	Windows	ifnb_2k	patched	ok	3	0.136, 0.117, 0.203	0.152	0.136	813.2, 781.6, 850.5	815.072	813.16	711.169, 821.225, 476.029	669.474	711.169	1	{"jaccard_significant":1,"max_abs_diff_prob":0,"pearson_prob":1,"pearson_pval":1}	0.3.0	2026-05-23 01:38:50	2026-06-03 19:35:08	scale
cellchat	CellChat 2.2.0.9001	medium	4	Windows	pbmc68k_2k	baseline	ok	2	202.694, 202.221	202.457	202.457	1182.6, 1183.9	1183.234	1183.234						0.3.0	2026-05-23 03:07:59	2026-05-23 03:07:59	scale
cellchat	CellChat 2.2.0.9001	medium	4	Windows	pbmc68k_2k	patched	ok	3	0.413, 0.417, 0.411	0.414	0.413	885.6, 892.0, 901.4	893.007	892.023	490.084, 486.070, 492.014	489.389	490.084	1	{"jaccard_significant":1,"max_abs_diff_prob":0,"pearson_prob":1,"pearson_pval":1}	0.3.0	2026-05-23 03:07:59	2026-06-08 10:44:43	scale
cellchat	CellChat 2.2.0.9001	large	4	Windows	tms_ss2_3k	baseline	ok	2	584.076, 588.189	586.133	586.133	1703.3, 1697.8	1700.521	1700.521						0.3.0	2026-05-23 19:31:06	2026-05-23 19:31:06	scale
