patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
clusterprofiler	clusterProfiler 4.16.0	ood_large	1	Windows	gastrulation_pijuansala	baseline	ok	2	565.291, 578.527	571.909	571.909	3633.6, 3633.9	3633.773	3633.773						0.3.0	2026-05-19 17:35:06	2026-05-19 17:35:06	scale
clusterprofiler	clusterProfiler 4.16.0	ood_large	1	Windows	gastrulation_pijuansala	patched	ok	3	21.767, 22.458, 21.465	21.897	21.767	3479.4, 3729.9, 3479.3	3562.871	3479.438	26.274, 25.466, 26.644	26.128	26.274	1	{"max_abs_logp_diff_shared":0,"pearson_logp_shared":1,"term_jaccard":1}	0.3.0	2026-05-19 17:35:06	2026-06-08 21:05:46	scale
clusterprofiler	clusterProfiler 4.16.0	large	1	Windows	heart_adult	baseline	ok	2	432.419, 433.194	432.807	432.807	2869.5, 2869.4	2869.453	2869.453						0.3.0	2026-05-19 16:59:19	2026-05-19 16:59:19	scale
clusterprofiler	clusterProfiler 4.16.0	large	1	Windows	heart_adult	patched	ok	3	18.145, 19.369, 18.285	18.6	18.285	2618.3, 3200.7, 2618.7	2812.577	2618.68	23.853, 22.345, 23.670	23.289	23.67	1	{"max_abs_logp_diff_shared":0,"pearson_logp_shared":1,"term_jaccard":1}	0.3.0	2026-05-19 16:59:19	2026-06-08 21:05:11	scale
clusterprofiler	clusterProfiler 4.16.0	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	2	323.125, 323.708	323.416	323.416	2869.4, 2869.2	2869.305	2869.305						0.3.0	2026-05-19 16:32:11	2026-05-19 16:32:11	scale
clusterprofiler	clusterProfiler 4.16.0	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	18.171, 19.176, 18.019	18.455	18.171	2619.1, 3200.9, 2618.7	2812.935	2619.137	17.799, 16.866, 17.949	17.538	17.799	1	{"max_abs_logp_diff_shared":0,"pearson_logp_shared":1,"term_jaccard":1}	0.3.0	2026-05-19 16:32:11	2026-06-08 21:04:38	scale
clusterprofiler	clusterProfiler 4.16.0	small	1	Windows	pbmc68k	baseline	ok	8	225.556, 264.213, 259.297, 222.830, 267.358, 375.758, 275.145, 304.224	274.298	265.786	2869.5, 3205.6, 3196.1, 2869.6, 3195.8, 3106.3, 3195.5, 2.1	2705.05	3150.906						0.3.0	2026-05-19 16:12:11	2026-06-04 07:09:31	scale
clusterprofiler	clusterProfiler 4.16.0	small	1	Windows	pbmc68k	patched	ok	10	17.622, 21.650, 19.682, 17.582, 97.329, 21.585, 36.369, 48.086, 22.740, 19.310	32.195	21.618	2619.0, 3191.3, 3200.4, 2619.5, 584.3, 3191.0, 3076.0, 78.3, 2.1, 3198.7	2176.066	2847.744	15.566, 12.669, 13.936, 15.601, 2.818, 12.708, 7.542, 5.704, 12.063, 14.205	11.281	12.688	1	{"max_abs_logp_diff_shared":0,"pearson_logp_shared":1,"term_jaccard":1}	0.3.0	2026-05-19 16:12:11	2026-06-08 21:04:05	scale
clusterprofiler	clusterProfiler 4.16.0	ood_xlarge	1	Windows	tms_ss2	baseline	ok	5	2064.455, 2019.343, 1984.021, 1706.003, 1951.537	1945.072	1984.021	3578.4, 3850.0, 3647.0, 3732.1, 3459.6	3653.4	3646.953						0.3.0	2026-05-27 19:02:56	2026-06-04 09:40:14	scale
clusterprofiler	clusterProfiler 4.16.0	ood_xlarge	1	Windows	tms_ss2	patched	ok	6	24.704, 34.395, 67.546, 24.533, 29.522, 26.457	34.526	27.99	3729.7, 3539.6, 3711.3, 3731.2, 78.0, 2.1	2465.308	3625.436	78.737, 56.552, 28.796, 79.284, 65.886, 73.517	63.795	69.701	1	{"max_abs_logp_diff_shared":0,"pearson_logp_shared":1,"term_jaccard":1}	0.3.0	2026-05-27 19:02:56	2026-06-08 21:06:23	scale
