patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
decontx	celda 1.24.0	large	1	Windows	ext_hgmm_chemistry_20k_3p_HT	baseline	ok	3	340.212, 297.046, 363.909	333.723	340.212	6310.7, 6311.9, 5455.3	6025.975	6310.734						0.3.0	2026-05-27 07:04:35	2026-06-04 15:13:25	scale
decontx	celda 1.24.0	large	1	Windows	ext_hgmm_chemistry_20k_3p_HT	patched	ok	4	254.798, 223.878, 206.449, 217.607	225.683	220.742	8052.5, 6691.8, 8054.0, 8052.9	7712.781	8052.689	1.310, 1.491, 1.616, 1.534	1.488	1.512	1	{"ari_z":1,"max_abs_diff_contamination":5.7e-05,"pearson_colsums":1,"pearson_contamination":1}	0.3.0	2026-05-27 07:04:35	2026-06-08 19:59:18	scale
decontx	celda 1.24.0	medium	1	Windows	ext_pfc_snrna_herring_RL2103_ga22	baseline	ok	2	90.465, 86.581	88.523	88.523	2962.9, 2962.7	2962.777	2962.777						0.3.0	2026-05-27 01:25:56	2026-05-27 01:25:56	scale
decontx	celda 1.24.0	medium	1	Windows	ext_pfc_snrna_herring_RL2103_ga22	patched	ok	3	76.475, 73.005, 68.971	72.817	73.005	3180.6, 3180.8, 3179.7	3180.368	3180.559	1.158, 1.213, 1.283	1.218	1.213	1	{"ari_z":1,"max_abs_diff_contamination":0.000944,"pearson_colsums":1,"pearson_contamination":1}	0.3.0	2026-05-27 01:25:56	2026-06-08 19:55:22	scale
decontx	celda 1.24.0	small	1	Windows	ext_scmixology_sc_10x_3cl	baseline	ok	3	17.669, 19.257, 16.820	17.915	17.669	1370.5, 1443.6, 1442.8	1418.984	1442.816						0.3.0	2026-05-27 03:32:50	2026-05-27 03:45:22	scale
decontx	celda 1.24.0	small	1	Windows	ext_scmixology_sc_10x_3cl	patched	ok	4	15.332, 16.333, 15.713, 12.574	14.988	15.522	1462.1, 1460.8, 1461.8, 1563.4	1487.021	1461.969	1.169, 1.097, 1.140, 1.425	1.208	1.154	1	{"ari_z":1,"max_abs_diff_contamination":4.3e-05,"pearson_colsums":1,"pearson_contamination":1}	0.3.0	2026-05-27 03:32:50	2026-06-08 19:53:55	scale
decontx	celda 1.24.0	ood_large	1	Windows	ifnb	baseline	ok	3	52.394, 46.692, 46.377	48.488	46.692	2281.4, 2281.9, 2281.5	2281.62	2281.488						0.3.0	2026-05-27 12:36:28	2026-06-03 22:46:11	scale
decontx	celda 1.24.0	ood_large	1	Windows	ifnb	patched	ok	4	46.448, 43.882, 43.751, 42.403	44.121	43.816	2465.5, 2465.7, 2466.4, 2465.0	2465.646	2465.578	1.044, 1.105, 1.108, 1.143	1.1	1.107	1	{"ari_z":1,"max_abs_diff_contamination":0.000578,"pearson_colsums":1,"pearson_contamination":1}	0.3.0	2026-05-27 12:36:28	2026-06-08 20:00:18	scale
decontx	celda 1.24.0	ood_xlarge	1	Windows	pbmc68k	baseline	ok	2	356.485, 328.495	342.49	342.49	7100.4, 7050.2	7075.328	7075.328						0.3.0	2026-05-27 19:53:12	2026-06-02 18:11:09	scale
decontx	celda 1.24.0	ood_xlarge	1	Windows	pbmc68k	patched	ok	3	326.173, 307.782, 280.571	304.842	307.782	7249.5, 7250.8, 7250.1	7250.109	7250.094	1.050, 1.113, 1.221	1.128	1.113	1	{"ari_z":1,"max_abs_diff_contamination":0.000929,"pearson_colsums":1,"pearson_contamination":1}	0.3.0	2026-05-27 19:53:12	2026-06-08 20:05:16	scale
