patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
fgsea	fgsea 1.34.2	large	1	Windows	heart_adult_33cl_HGR	baseline	ok	2	259.963, 260.052	260.008	260.008	558.1, 556.0	557.027	557.027						0.3.0	2026-05-19 21:13:59	2026-05-19 21:13:59	flat
fgsea	fgsea 1.34.2	large	1	Windows	heart_adult_33cl_HGR	patched	ok	3	196.424, 196.451, 198.577	197.151	196.451	545.9, 533.2, 531.7	536.918	533.203	1.325, 1.324, 1.310	1.32	1.324	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-05-19 21:13:59	2026-06-08 19:37:16	scale
fgsea	fgsea 1.34.2	medium	1	Windows	pbmc200k_glaucoma_24cl_HGR	baseline	ok	2	127.858, 128.173	128.015	128.015	543.8, 543.7	543.793	543.793						0.3.0	2026-05-19 20:52:44	2026-05-19 20:52:44	flat
fgsea	fgsea 1.34.2	medium	1	Windows	pbmc200k_glaucoma_24cl_HGR	patched	ok	3	94.740, 95.451, 96.187	95.459	95.451	490.4, 495.3, 487.5	491.036	490.363	1.354, 1.344, 1.333	1.344	1.344	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-05-19 20:52:44	2026-06-08 19:33:45	scale
fgsea	fgsea 1.34.2	small	1	Windows	pbmc68k_16cl_HGR	baseline	ok	2	52.107, 52.194	52.15	52.15	519.9, 518.0	518.99	518.99						0.3.0	2026-05-19 20:42:32	2026-05-19 20:42:32	flat
fgsea	fgsea 1.34.2	small	1	Windows	pbmc68k_16cl_HGR	patched	ok	3	36.993, 37.202, 37.679	37.291	37.202	453.6, 483.8, 465.3	467.573	465.348	1.413, 1.405, 1.387	1.402	1.405	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":0.997768}	0.3.0	2026-05-19 20:42:32	2026-06-08 19:31:57	scale
fgsea	fgsea 1.34.2	ood_large	1	Windows	splitseq_mouse_28cl_MGR	baseline	ok	2	59.938, 60.093	60.016	60.016	492.2, 496.0	494.127	494.127						0.3.0	2026-05-19 21:28:52	2026-05-19 21:28:52	flat
fgsea	fgsea 1.34.2	ood_large	1	Windows	splitseq_mouse_28cl_MGR	patched	ok	3	43.412, 44.020, 43.777	43.736	43.777	466.4, 471.6, 470.8	469.6	470.797	1.382, 1.363, 1.371	1.372	1.371	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-05-19 21:28:52	2026-06-08 19:38:09	scale
fgsea	fgsea 1.34.2	ood_xlarge	1	Windows	tms_ss2_mouse_42cl_MGR_ext	baseline	ok	2	343.719, 343.439	343.579	343.579	566.7, 566.5	566.617	566.617						0.3.0	2026-05-19 21:52:23	2026-05-19 21:52:23	flat
fgsea	fgsea 1.34.2	ood_xlarge	1	Windows	tms_ss2_mouse_42cl_MGR_ext	patched	ok	3	264.234, 263.053, 264.123	263.803	264.123	546.2, 513.1, 525.7	528.345	525.746	1.301, 1.306, 1.301	1.303	1.301	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":0.999998,"nes_pearson":1,"sig_jaccard":0.99997}	0.3.0	2026-05-19 21:52:23	2026-06-08 19:42:46	scale
fgsea	fgsea 1.34.2	large	4	Windows	heart_adult_33cl_HGR	baseline	ok	2	260.277, 259.813	260.045	260.045	581.1, 561.1	571.125	571.125						0.3.0	2026-05-19 21:25:11	2026-05-19 21:25:11	flat
fgsea	fgsea 1.34.2	large	4	Windows	heart_adult_33cl_HGR	patched	ok	3	65.566, 66.411, 66.605	66.194	66.411	594.7, 589.8, 594.4	592.97	594.434	3.968, 3.917, 3.906	3.93	3.917	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-05-19 21:25:11	2026-06-08 19:45:22	scale
fgsea	fgsea 1.34.2	medium	4	Windows	pbmc200k_glaucoma_24cl_HGR	baseline	ok	2	127.777, 128.324	128.051	128.051	521.7, 541.0	531.365	531.365						0.3.0	2026-05-19 20:58:26	2026-05-19 20:58:26	flat
fgsea	fgsea 1.34.2	medium	4	Windows	pbmc200k_glaucoma_24cl_HGR	patched	ok	3	34.522, 34.859, 35.251	34.877	34.859	546.3, 537.0, 544.2	542.509	544.234	3.715, 3.679, 3.638	3.677	3.679	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-05-19 20:58:26	2026-06-08 19:44:05	scale
fgsea	fgsea 1.34.2	small	4	Windows	pbmc68k_16cl_HGR	baseline	ok	2	52.067, 52.360	52.213	52.213	519.9, 501.7	510.793	510.793						0.3.0	2026-05-19 20:45:02	2026-05-19 20:45:02	flat
fgsea	fgsea 1.34.2	small	4	Windows	pbmc68k_16cl_HGR	patched	ok	3	16.214, 16.280, 16.433	16.309	16.28	506.1, 525.3, 510.8	514.077	510.797	3.224, 3.211, 3.181	3.205	3.211	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":0.997768}	0.3.0	2026-05-19 20:45:02	2026-06-08 19:43:17	scale
fgsea	fgsea 1.34.2	ood_large	4	Windows	splitseq_mouse_28cl_MGR	baseline	ok	2	59.797, 59.726	59.761	59.761	503.4, 494.9	499.154	499.154						0.3.0	2026-05-19 21:31:47	2026-05-19 21:31:47	flat
fgsea	fgsea 1.34.2	ood_large	4	Windows	splitseq_mouse_28cl_MGR	patched	ok	3	20.372, 20.581, 20.712	20.555	20.581	503.9, 520.0, 528.1	517.332	520.012	2.946, 2.916, 2.898	2.92	2.916	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-05-19 21:31:47	2026-06-08 19:45:54	scale
fgsea	fgsea 1.34.2	ood_xlarge	4	Windows	tms_ss2_mouse_42cl_MGR_ext	baseline	ok	2	343.552, 343.631	343.591	343.591	564.6, 584.8	574.691	574.691						0.3.0	2026-05-19 22:07:02	2026-05-19 22:07:02	flat
fgsea	fgsea 1.34.2	ood_xlarge	4	Windows	tms_ss2_mouse_42cl_MGR_ext	patched	ok	3	86.163, 86.735, 87.248	86.715	86.735	598.4, 573.4, 576.7	582.811	576.668	3.989, 3.962, 3.939	3.963	3.962	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":0.999998,"nes_pearson":1,"sig_jaccard":0.99997}	0.3.0	2026-05-19 22:07:02	2026-06-08 19:47:34	scale
fgsea	fgsea 1.34.2	large	8	Windows	heart_adult_33cl_HGR	baseline	ok	2	319.783, 261.143	290.463	290.463	552.6, 561.1	556.875	556.875						0.3.0	2026-05-27 07:20:52	2026-06-08 08:57:09	flat
fgsea	fgsea 1.34.2	large	8	Windows	heart_adult_33cl_HGR	patched	ok	3	45.408, 45.121, 45.604	45.377	45.408	644.0, 648.7, 645.2	645.987	645.227	5.730, 5.766, 5.705	5.733	5.73	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-06-08 08:41:49	2026-06-08 19:49:36	scale
fgsea	fgsea 1.34.2	medium	8	Windows	pbmc200k_glaucoma_24cl_HGR	baseline	ok	2	156.115, 152.283	154.199	154.199	542.2, 553.2	547.73	547.73						0.3.0	2026-05-27 03:54:33	2026-05-27 04:09:40	flat
fgsea	fgsea 1.34.2	medium	8	Windows	pbmc200k_glaucoma_24cl_HGR	patched	ok	3	34.275, 25.230, 25.395	28.3	25.395	601.8, 586.7, 631.8	606.749	601.797	3.742, 5.083, 5.050	4.625	5.05	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-05-27 03:54:33	2026-06-08 19:48:38	scale
fgsea	fgsea 1.34.2	small	8	Windows	pbmc68k_16cl_HGR	baseline	ok	2	61.209, 67.527	64.368	64.368	507.6, 487.9	497.744	497.744						0.3.0	2026-05-27 01:34:39	2026-06-01 15:03:16	flat
fgsea	fgsea 1.34.2	small	8	Windows	pbmc68k_16cl_HGR	patched	ok	3	14.957, 12.936, 12.941	13.611	12.941	566.3, 567.8, 551.3	561.803	566.309	3.495, 4.041, 4.040	3.859	4.04	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":0.997768}	0.3.0	2026-05-27 01:34:39	2026-06-08 19:48:01	scale
fgsea	fgsea 1.34.2	ood_large	8	Windows	splitseq_mouse_28cl_MGR	baseline	ok	2	77.099, 60.512	68.805	68.805	517.6, 502.6	510.078	510.078						0.3.0	2026-05-27 12:40:52	2026-06-08 08:59:13	flat
fgsea	fgsea 1.34.2	ood_large	8	Windows	splitseq_mouse_28cl_MGR	patched	ok	3	16.951, 17.077, 17.291	17.107	17.077	567.4, 563.0, 574.6	568.335	567.438	3.540, 3.514, 3.471	3.509	3.514	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-06-08 08:50:11	2026-06-08 19:50:04	scale
fgsea	fgsea 1.34.2	ood_xlarge	8	Windows	tms_ss2_mouse_42cl_MGR_ext	baseline	ok	2	435.088, 348.776	391.932	391.932	582.7, 575.5	579.098	579.098						0.3.0	2026-05-27 20:13:57	2026-06-08 09:05:35	flat
fgsea	fgsea 1.34.2	ood_xlarge	8	Windows	tms_ss2_mouse_42cl_MGR_ext	patched	ok	3	58.123, 57.711, 58.256	58.03	58.123	645.9, 644.2, 659.2	649.79	645.891	5.913, 5.955, 5.899	5.922	5.913	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":0.999998,"nes_pearson":1,"sig_jaccard":0.99997}	0.3.0	2026-06-08 08:51:17	2026-06-08 19:51:16	scale
fgsea	fgsea 1.34.2	large	1	macOS	heart_adult_33cl_HGR	baseline	ok	2	318.596, 319.376	318.986	318.986	991.0, 1044.4	1017.711	1017.711						0.3.0	2026-06-04 03:03:35	2026-06-04 03:03:35	scale
fgsea	fgsea 1.34.2	large	1	macOS	heart_adult_33cl_HGR	patched	ok	2	261.743, 262.008	261.876	261.876	972.2, 1022.9	997.555	997.555	1.219, 1.217	1.218	1.218	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-06-04 03:03:35	2026-06-04 03:03:35	scale
fgsea	fgsea 1.34.2	medium	1	macOS	pbmc200k_glaucoma_24cl_HGR	baseline	ok	2	151.795, 152.453	152.124	152.124	996.6, 1051.5	1024.047	1024.047						0.3.0	2026-06-07 04:35:15	2026-06-07 04:39:56	scale
fgsea	fgsea 1.34.2	medium	1	macOS	pbmc200k_glaucoma_24cl_HGR	patched	ok	2	123.477, 122.992	123.234	123.234	1038.2, 1054.3	1046.266	1046.266	1.232, 1.237	1.234	1.234	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-06-07 04:37:22	2026-06-07 04:42:02	scale
fgsea	fgsea 1.34.2	small	1	macOS	pbmc68k_16cl_HGR	baseline	ok	2	60.423, 60.441	60.432	60.432	834.9, 802.3	818.609	818.609						0.3.0	2026-06-07 03:05:59	2026-06-07 03:07:52	scale
fgsea	fgsea 1.34.2	small	1	macOS	pbmc68k_16cl_HGR	patched	ok	2	47.972, 48.166	48.069	48.069	763.8, 751.6	757.688	757.688	1.260, 1.255	1.257	1.257	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":0.997768}	0.3.0	2026-06-07 03:06:49	2026-06-07 03:08:42	scale
fgsea	fgsea 1.34.2	ood_large	1	macOS	splitseq_mouse_28cl_MGR	baseline	ok	2	128.193, 128.418	128.305	128.305	609.3, 604.5	606.914	606.914						0.3.0	2026-06-07 04:26:55	2026-06-07 04:30:53	scale
fgsea	fgsea 1.34.2	ood_large	1	macOS	splitseq_mouse_28cl_MGR	patched	ok	2	103.723, 103.781	103.752	103.752	578.6, 582.4	580.492	580.492	1.237, 1.236	1.237	1.237	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-06-07 04:28:42	2026-06-07 04:32:40	scale
fgsea	fgsea 1.34.2	ood_xlarge	1	macOS	tms_ss2_mouse_42cl_MGR_ext	baseline	ok	2	423.099, 425.842	424.471	424.471	660.5, 661.6	661.031	661.031						0.3.0	2026-06-03 07:50:34	2026-06-03 07:50:34	scale
fgsea	fgsea 1.34.2	ood_xlarge	1	macOS	tms_ss2_mouse_42cl_MGR_ext	patched	ok	2	350.137, 349.663	349.9	349.9	634.3, 667.5	650.906	650.906	1.212, 1.214	1.213	1.213	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":0.999811}	0.3.0	2026-06-03 07:50:34	2026-06-03 07:50:34	scale
fgsea	fgsea 1.34.2	large	4	macOS	heart_adult_33cl_HGR	baseline	ok	2	84.825, 84.677	84.751	84.751	543.2, 556.1	549.664	549.664						0.3.0	2026-06-03 23:26:04	2026-06-03 23:26:04	scale
fgsea	fgsea 1.34.2	large	4	macOS	heart_adult_33cl_HGR	patched	ok	2	26.038, 26.136	26.087	26.087	547.6, 551.4	549.516	549.516	3.255, 3.243	3.249	3.249	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-06-03 23:26:04	2026-06-03 23:26:04	scale
fgsea	fgsea 1.34.2	medium	4	macOS	pbmc200k_glaucoma_24cl_HGR	baseline	ok	2	43.716, 43.797	43.756	43.756	539.3, 543.0	541.125	541.125						0.3.0	2026-06-03 23:22:06	2026-06-03 23:22:06	scale
fgsea	fgsea 1.34.2	medium	4	macOS	pbmc200k_glaucoma_24cl_HGR	patched	ok	2	14.045, 14.113	14.079	14.079	523.2, 534.2	528.688	528.688	3.115, 3.100	3.108	3.108	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-06-03 23:22:06	2026-06-03 23:22:06	scale
fgsea	fgsea 1.34.2	small	4	macOS	pbmc68k_16cl_HGR	baseline	ok	2	17.058, 17.257	17.157	17.157	519.2, 462.0	490.633	490.633						0.3.0	2026-06-03 23:15:38	2026-06-03 23:15:38	scale
fgsea	fgsea 1.34.2	small	4	macOS	pbmc68k_16cl_HGR	patched	ok	2	6.624, 6.800	6.712	6.712	470.5, 442.5	456.469	456.469	2.590, 2.523	2.557	2.557	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":0.997768}	0.3.0	2026-06-03 23:15:38	2026-06-03 23:15:38	scale
fgsea	fgsea 1.34.2	ood_large	4	macOS	splitseq_mouse_28cl_MGR	baseline	ok	2	36.479, 36.336	36.408	36.408	431.7, 417.9	424.797	424.797						0.3.0	2026-06-03 23:17:28	2026-06-03 23:17:28	scale
fgsea	fgsea 1.34.2	ood_large	4	macOS	splitseq_mouse_28cl_MGR	patched	ok	2	12.827, 12.912	12.869	12.869	386.6, 399.3	392.961	392.961	2.838, 2.820	2.829	2.829	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":1}	0.3.0	2026-06-03 23:17:28	2026-06-03 23:17:28	scale
fgsea	fgsea 1.34.2	ood_xlarge	4	macOS	tms_ss2_mouse_42cl_MGR_ext	baseline	ok	2	117.448, 116.856	117.152	117.152	432.2, 430.8	431.484	431.484						0.3.0	2026-06-03 23:31:27	2026-06-03 23:31:27	scale
fgsea	fgsea 1.34.2	ood_xlarge	4	macOS	tms_ss2_mouse_42cl_MGR_ext	patched	ok	2	37.078, 36.908	36.993	36.993	438.3, 425.6	431.945	431.945	3.160, 3.174	3.167	3.167	1	{"coverage":1,"es_max_abs_diff":0,"es_pearson":1,"neglog_pval_spearman":1,"nes_pearson":1,"sig_jaccard":0.999811}	0.3.0	2026-06-03 23:31:27	2026-06-03 23:31:27	scale
fgsea	fgsea 1.34.2	large	8	macOS	heart_adult_33cl_HGR	baseline	ok	2	45.494, 46.470	45.982	45.982	524.3, 545.0	534.648	534.648						0.3.0	2026-06-07 02:50:04	2026-06-07 02:51:24	scale
