patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
infercnv	infercnv 1.24.0	ood_xlarge	1	Windows	brca_wu	baseline	ok	3	5011.510, 4276.443, 5464.046	4917.333	5011.51	26808.6, 29080.6, 27727.2	27872.145	27727.227						0.3.0	2026-05-29 02:12:27	2026-06-04 21:36:12	flat
infercnv	infercnv 1.24.0	ood_xlarge	1	Windows	brca_wu	patched	ok	3	122.731, 98.342, 99.154	106.743	99.154	7677.0, 7678.1, 7677.6	7677.598	7677.645	40.833, 50.960, 50.543	47.445	50.543	1	{"gene_coverage":1,"hmm_amp_del_concord":1,"hmm_cell_coverage":1,"hmm_state_agreement":1,"max_abs_diff":0,"pearson_expr":1,"per_cell_mean_pearson":1,"rmse":0}	0.3.0	2026-05-29 02:12:27	2026-06-04 21:38:43	flat
infercnv	infercnv 1.24.0	large	1	Windows	gbm_neftel_large	baseline	ok	2	550.124, 549.401	549.762	549.762	3734.9, 3659.9	3697.391	3697.391						0.3.0	2026-05-28 10:29:28	2026-06-02 06:49:08	flat
infercnv	infercnv 1.24.0	large	1	Windows	gbm_neftel_large	patched	ok	3	10.082, 9.664, 8.922	9.556	9.664	3140.0, 3140.2, 3141.6	3140.6	3140.176	54.527, 56.890, 61.617	57.678	56.89	1	{"gene_coverage":1,"hmm_amp_del_concord":1,"hmm_cell_coverage":1,"hmm_state_agreement":1,"max_abs_diff":0,"pearson_expr":1,"per_cell_mean_pearson":1,"rmse":0}	0.3.0	2026-05-28 10:29:28	2026-06-08 03:38:27	flat
infercnv	infercnv 1.24.0	ood_large	1	Windows	hnscc_puram	baseline	ok	4	2919.051, 2185.723, 2279.467, 2290.862	2418.776	2285.164	5135.9, 4806.8, 3579.3, 3667.4	4297.337	4237.098						0.3.0	2026-05-28 15:00:00	2026-06-04 11:47:14	flat
infercnv	infercnv 1.24.0	ood_large	1	Windows	hnscc_puram	patched	ok	3	55.353, 41.507, 41.086	45.982	41.507	2879.1, 2881.6, 2879.1	2879.947	2879.148	41.283, 55.056, 55.619	50.653	55.056	1	{"gene_coverage":1,"hmm_amp_del_concord":1,"hmm_cell_coverage":1,"hmm_state_agreement":1,"max_abs_diff":0,"pearson_expr":1,"per_cell_mean_pearson":1,"rmse":0}	0.3.0	2026-05-28 15:00:00	2026-06-04 11:51:46	flat
infercnv	infercnv 1.24.0	medium	1	Windows	melanoma_tirosh	baseline	ok	2	632.371, 820.525	726.448	726.448	3084.9, 2793.5	2939.18	2939.18						0.3.0	2026-05-28 08:00:16	2026-06-03 20:46:13	flat
infercnv	infercnv 1.24.0	medium	1	Windows	melanoma_tirosh	patched	ok	3	14.454, 14.441, 12.987	13.961	14.441	2433.9, 2434.4, 2651.8	2506.715	2434.363	50.258, 50.306, 55.938	52.167	50.306	1	{"gene_coverage":1,"hmm_amp_del_concord":1,"hmm_cell_coverage":1,"hmm_state_agreement":1,"max_abs_diff":0,"pearson_expr":1,"per_cell_mean_pearson":1,"rmse":0}	0.3.0	2026-05-28 08:00:16	2026-06-08 03:39:29	flat
infercnv	infercnv 1.24.0	small	1	Windows	melanoma_tirosh_tiny	baseline	ok	3	184.874, 187.019, 225.146	199.013	187.019	1883.6, 1901.1, 1767.2	1850.635	1883.57						0.3.0	2026-05-28 06:25:44	2026-06-07 01:06:26	flat
infercnv	infercnv 1.24.0	small	1	Windows	melanoma_tirosh_tiny	patched	ok	3	5.744, 5.822, 5.469	5.678	5.744	1217.7, 1218.2, 1264.3	1233.443	1218.25	32.559, 32.125, 34.194	32.959	32.559	1	{"gene_coverage":1,"hmm_amp_del_concord":1,"hmm_cell_coverage":1,"hmm_state_agreement":1,"max_abs_diff":0,"pearson_expr":1,"per_cell_mean_pearson":1,"rmse":0}	0.3.0	2026-05-28 06:25:44	2026-06-08 03:40:17	flat
infercnv	infercnv 1.24.0	ood_xlarge	1	macOS	brca_wu	baseline	ok	2	1882.204, 1876.028	1879.116	1879.116	19939.8, 19758.5	19849.164	19849.164						0.3.0	2026-05-28 10:43:28	2026-05-28 10:43:28	flat
infercnv	infercnv 1.24.0	ood_xlarge	1	macOS	brca_wu	patched	ok	2	77.440, 75.715	76.578	76.578	7810.9, 7846.1	7828.516	7828.516	24.265, 24.818	24.542	24.542	1	{"gene_coverage":1,"hmm_amp_del_concord":1,"hmm_cell_coverage":1,"hmm_state_agreement":1,"max_abs_diff":0,"pearson_expr":1,"per_cell_mean_pearson":1,"rmse":0}	0.3.0	2026-05-28 10:43:28	2026-05-28 10:43:28	flat
infercnv	infercnv 1.24.0	large	1	macOS	gbm_neftel_large	baseline	ok	2	405.733, 403.205	404.469	404.469	7629.2, 7768.6	7698.914	7698.914						0.3.0	2026-05-28 10:43:28	2026-05-28 10:43:28	flat
infercnv	infercnv 1.24.0	large	1	macOS	gbm_neftel_large	patched	ok	2	5.243, 5.321	5.282	5.282	5993.8, 6100.8	6047.305	6047.305	77.143, 76.010	76.577	76.577	1	{"gene_coverage":1,"hmm_amp_del_concord":1,"hmm_cell_coverage":1,"hmm_state_agreement":1,"max_abs_diff":0,"pearson_expr":1,"per_cell_mean_pearson":1,"rmse":0}	0.3.0	2026-05-28 10:43:28	2026-05-28 10:43:28	flat
infercnv	infercnv 1.24.0	ood_large	1	macOS	hnscc_puram	baseline	ok	2	712.248, 708.080	710.164	710.164	8859.6, 8499.9	8679.766	8679.766						0.3.0	2026-05-28 10:43:28	2026-05-28 10:43:28	flat
infercnv	infercnv 1.24.0	ood_large	1	macOS	hnscc_puram	patched	ok	2	28.821, 28.165	28.493	28.493	4885.3, 4766.8	4826.055	4826.055	24.640, 25.215	24.928	24.928	1	{"gene_coverage":1,"hmm_amp_del_concord":1,"hmm_cell_coverage":1,"hmm_state_agreement":1,"max_abs_diff":0,"pearson_expr":1,"per_cell_mean_pearson":1,"rmse":0}	0.3.0	2026-05-28 10:43:28	2026-05-28 10:43:28	flat
infercnv	infercnv 1.24.0	medium	1	macOS	melanoma_tirosh	baseline	ok	2	268.113, 262.392	265.252	265.252	6069.5, 5724.1	5896.805	5896.805						0.3.0	2026-05-28 10:43:28	2026-05-28 10:43:28	flat
infercnv	infercnv 1.24.0	medium	1	macOS	melanoma_tirosh	patched	ok	2	8.524, 8.415	8.47	8.47	4058.8, 4264.3	4161.562	4161.562	31.118, 31.520	31.319	31.319	1	{"gene_coverage":1,"hmm_amp_del_concord":1,"hmm_cell_coverage":1,"hmm_state_agreement":1,"max_abs_diff":0,"pearson_expr":1,"per_cell_mean_pearson":1,"rmse":0}	0.3.0	2026-05-28 10:43:28	2026-05-28 10:43:28	flat
