patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
maftools	maftools 2.24.0	large	1	Windows	laml_large	baseline	ok	5	999.019, 823.815, 741.122, 757.118, 747.988	813.812	757.118	5198.6, 5092.8, 5092.4, 5092.8, 5091.9	5113.68	5092.754						0.3.0	2026-05-27 07:41:01	2026-06-04 12:23:53	scale
maftools	maftools 2.24.0	large	1	Windows	laml_large	patched	ok	3	46.133, 35.972, 41.943	41.349	41.943	4099.1, 4100.8, 4099.2	4099.706	4099.199	17.641, 22.623, 19.403	19.889	19.403	1	{"data_match":1,"gene_summary_match":1,"silent_match":1,"top_summary_match":1,"vc_summary_match":1,"vps_max_rel_diff":0,"vt_summary_match":1}	0.3.0	2026-05-27 07:41:01	2026-06-08 19:15:36	scale
maftools	maftools 2.24.0	medium	1	Windows	laml_medium	baseline	ok	2	429.911, 321.905	375.908	375.908	2498.6, 2486.2	2492.383	2492.383						0.3.0	2026-05-27 04:18:41	2026-06-03 20:00:47	scale
maftools	maftools 2.24.0	medium	1	Windows	laml_medium	patched	ok	3	29.483, 24.615, 20.802	24.967	24.615	2299.8, 2294.1, 2311.2	2301.708	2299.812	12.750, 15.271, 18.071	15.364	15.271	1	{"data_match":1,"gene_summary_match":1,"silent_match":1,"top_summary_match":1,"vc_summary_match":1,"vps_max_rel_diff":0,"vt_summary_match":1}	0.3.0	2026-05-27 04:18:41	2026-06-08 03:42:13	scale
maftools	maftools 2.24.0	ood_large	1	Windows	laml_ood_large	baseline	ok	6	621.826, 614.464, 646.103, 702.229, 678.369, 689.743	658.789	662.236	5848.2, 5841.0, 5881.8, 5881.5, 5882.0, 5881.9	5869.41	5881.688						0.3.0	2026-05-27 12:53:56	2026-06-04 13:10:18	scale
maftools	maftools 2.24.0	ood_large	1	Windows	laml_ood_large	patched	ok	3	33.734, 37.448, 28.046	33.076	33.734	3888.5, 3909.7, 3910.3	3902.841	3909.711	19.529, 17.592, 23.489	20.204	19.529	1	{"data_match":1,"gene_summary_match":1,"silent_match":1,"top_summary_match":1,"vc_summary_match":1,"vps_max_rel_diff":0,"vt_summary_match":1}	0.3.0	2026-05-27 12:53:56	2026-06-08 03:43:32	scale
maftools	maftools 2.24.0	ood_xlarge	1	Windows	laml_ood_xlarge	baseline	ok	3	1714.565, 1446.144, 1624.601	1595.103	1624.601	13732.5, 13732.3, 13732.4	13732.409	13732.422						0.3.0	2026-05-27 20:47:46	2026-06-04 09:19:33	scale
maftools	maftools 2.24.0	ood_xlarge	1	Windows	laml_ood_xlarge	patched	ok	3	61.757, 59.125, 58.591	59.824	59.125	9612.4, 9612.6, 9612.8	9612.629	9612.641	25.829, 26.979, 27.224	26.677	26.979	1	{"data_match":1,"gene_summary_match":1,"silent_match":1,"top_summary_match":1,"vc_summary_match":1,"vps_max_rel_diff":0,"vt_summary_match":1}	0.3.0	2026-05-27 20:47:46	2026-06-08 19:17:30	scale
maftools	maftools 2.24.0	small	1	Windows	laml_tiny	baseline	ok	3	125.883, 144.335, 135.579	135.266	135.579	1267.1, 1224.4, 1265.2	1252.206	1265.152						0.3.0	2026-05-27 01:57:29	2026-06-04 02:58:27	scale
maftools	maftools 2.24.0	small	1	Windows	laml_tiny	patched	ok	3	13.533, 13.790, 14.536	13.953	13.79	822.7, 822.7, 819.6	821.656	822.684	9.995, 9.809, 9.305	9.703	9.809	1	{"data_match":1,"gene_summary_match":1,"silent_match":1,"top_summary_match":1,"vc_summary_match":1,"vps_max_rel_diff":0,"vt_summary_match":1}	0.3.0	2026-05-27 01:57:29	2026-06-08 19:11:34	scale
