patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
mast	MAST 1.35.2	ood_xlarge	1	Windows	pbmc200k_glaucoma	baseline	ok	2	2398.457, 2353.517	2375.987	2375.987	18687.0, 18676.4	18681.684	18681.684						0.3.0	2026-05-27 22:27:01	2026-05-27 23:25:24	flat
mast	MAST 1.35.2	ood_xlarge	1	Windows	pbmc200k_glaucoma	patched	ok	2	1140.932, 1054.542	1097.737	1097.737	18647.9, 18651.7	18649.822	18649.822	2.082, 2.253	2.168	2.168	1	{"max_abs_diff_coef":0.000104,"pearson_coef":1,"pearson_neglog10_p":1,"top100_jaccard":1}	0.3.0	2026-05-27 22:27:01	2026-05-27 23:25:24	flat
mast	MAST 1.35.2	medium	1	Windows	pbmc68k_18k	baseline	ok	5	196.845, 197.375, 196.985, 197.367, 189.374	195.589	196.985	2497.2, 2509.2, 2497.0, 2509.0, 2498.7	2502.238	2498.703						0.3.0	2026-05-20 00:40:48	2026-06-08 09:53:25	flat
mast	MAST 1.35.2	medium	1	Windows	pbmc68k_18k	patched	ok	5	57.040, 56.431, 58.447, 58.621, 94.734	65.055	58.447	2466.1, 2483.1, 2463.2, 2466.3, 2488.2	2473.39	2466.348	3.453, 3.491, 3.370, 3.360, 2.079	3.151	3.37	1	{"max_abs_diff_coef":3.8e-05,"pearson_coef":1,"pearson_neglog10_p":0.997472,"top100_jaccard":1}	0.3.0	2026-05-20 00:40:48	2026-06-08 09:55:14	flat
mast	MAST 1.35.2	large	1	Windows	pbmc68k_50k	baseline	ok	5	492.156, 490.034, 493.342, 491.972, 483.546	490.21	491.972	5773.8, 5774.0, 5774.0, 5772.8, 5773.2	5773.547	5773.793						0.3.0	2026-05-20 01:12:10	2026-06-08 10:03:33	flat
mast	MAST 1.35.2	large	1	Windows	pbmc68k_50k	patched	ok	5	148.047, 148.002, 150.257, 149.456, 225.274	164.207	149.456	5749.7, 5749.9, 5747.6, 5749.1, 5767.3	5752.724	5749.699	3.323, 3.324, 3.274, 3.292, 2.184	3.079	3.292	1	{"max_abs_diff_coef":4.8e-05,"pearson_coef":1,"pearson_neglog10_p":0.996589,"top100_jaccard":1}	0.3.0	2026-05-20 01:12:10	2026-06-08 10:07:34	flat
mast	MAST 1.35.2	small	1	Windows	pbmc68k_8k	baseline	ok	3	84.359, 83.514, 84.507	84.127	84.359	1965.8, 1964.0, 1967.7	1965.831	1965.777						0.3.0	2026-05-20 00:31:37	2026-06-08 09:49:04	flat
mast	MAST 1.35.2	small	1	Windows	pbmc68k_8k	patched	ok	3	26.325, 26.046, 44.131	32.167	26.325	1964.8, 1964.8, 1966.2	1965.27	1964.793	3.204, 3.239, 1.912	2.785	3.204	1	{"max_abs_diff_coef":3e-05,"pearson_coef":1,"pearson_neglog10_p":0.996007,"top100_jaccard":1}	0.3.0	2026-05-20 00:31:37	2026-06-08 09:50:02	flat
mast	MAST 1.35.2	ood_large	1	Windows	tms_ss2_50k	baseline	ok	5	585.054, 592.401, 609.774, 611.815, 503.580	580.525	592.401	18185.7, 18187.2, 18185.9, 18187.9, 18187.0	18186.752	18187.039						0.3.0	2026-05-26 15:23:10	2026-06-08 10:16:35	flat
mast	MAST 1.35.2	ood_large	1	Windows	tms_ss2_50k	patched	ok	2	273.477, 247.882	260.68	260.68	18188.0, 18187.7	18187.848	18187.848	2.166, 2.390	2.278	2.278	1	{"max_abs_diff_coef":6.1e-05,"pearson_coef":1,"pearson_neglog10_p":1,"top100_jaccard":1}	0.3.0	2026-05-27 13:25:29	2026-06-08 10:21:20	flat
mast	MAST 1.35.2	ood_xlarge	1	macOS	pbmc200k_glaucoma	baseline	ok	5	933.347, 1027.078, 960.596, 890.021, 888.678	939.944	933.347	19427.9, 19199.0	19313.469	19313.469						0.3.0	2026-06-02 06:00:01	2026-06-03 09:47:06	scale
mast	MAST 1.35.2	ood_xlarge	1	macOS	pbmc200k_glaucoma	patched	ok	5	240.186, 237.684, 239.351, 407.666, 408.946	306.766	240.186	19556.0, 19392.3	19474.172	19474.172	3.913, 3.955, 3.927, 2.306, 2.298	3.28	3.913	1	{"max_abs_diff_coef":0.000104,"pearson_coef":1,"pearson_neglog10_p":1,"top100_jaccard":1}	0.3.0	2026-06-02 06:00:01	2026-06-03 09:47:06	scale
mast	MAST 1.35.2	medium	1	macOS	pbmc68k_18k	baseline	ok	4	100.480, 97.322, 90.240, 89.619	94.415	93.781	6445.6, 6034.1	6239.875	6239.875						0.3.0	2026-06-02 06:00:01	2026-06-03 07:24:30	scale
mast	MAST 1.35.2	medium	1	macOS	pbmc68k_18k	patched	ok	5	21.435, 20.900, 20.747, 41.829, 41.693	29.321	21.435	5999.5, 6053.1	6026.289	6026.289	4.405, 4.517, 4.551, 2.257, 2.265	3.599	4.405	1	{"max_abs_diff_coef":3.8e-05,"pearson_coef":1,"pearson_neglog10_p":0.99994,"top100_jaccard":1}	0.3.0	2026-06-02 06:00:01	2026-06-03 07:24:30	scale
mast	MAST 1.35.2	large	1	macOS	pbmc68k_50k	baseline	ok	4	254.820, 245.098, 230.637, 230.139	240.173	237.868	10591.4, 10182.1	10386.766	10386.766						0.3.0	2026-06-02 06:00:01	2026-06-03 08:08:29	scale
mast	MAST 1.35.2	large	1	macOS	pbmc68k_50k	patched	ok	2	106.541, 107.536	107.039	107.039	9994.5, 10058.1	10026.297	10026.297	2.254, 2.233	2.244	2.244	1	{"max_abs_diff_coef":4.8e-05,"pearson_coef":1,"pearson_neglog10_p":0.999993,"top100_jaccard":1}	0.3.0	2026-06-03 08:08:29	2026-06-03 08:08:29	scale
mast	MAST 1.35.2	small	1	macOS	pbmc68k_8k	baseline	ok	2	39.851, 40.216	40.034	40.034	4854.5, 4834.4	4844.477	4844.477						0.3.0	2026-05-18 06:16:56	2026-05-18 06:16:56	scale
mast	MAST 1.35.2	small	1	macOS	pbmc68k_8k	patched	ok	2	18.589, 18.593	18.591	18.591	4320.5, 4348.6	4334.531	4334.531	2.154, 2.153	2.153	2.153	1	{"max_abs_diff_coef":3e-05,"pearson_coef":1,"pearson_neglog10_p":0.999787,"top100_jaccard":1}	0.3.0	2026-05-18 06:16:56	2026-05-18 06:16:56	scale
mast	MAST 1.35.2	ood_large	1	macOS	tms_ss2_50k	baseline	ok	4	247.709, 262.704, 254.180, 249.270	253.466	251.725	14720.4, 13116.5, 14034.9, 14571.5	14110.842	14303.2						0.3.0	2026-06-02 18:47:14	2026-06-08 04:00:00	scale
mast	MAST 1.35.2	ood_large	1	macOS	tms_ss2_50k	patched	ok	4	119.063, 122.709, 116.650, 117.830	119.063	118.447	14625.4, 13931.1, 13721.1, 14653.8	14232.842	14278.234	2.129, 2.066, 2.173, 2.151	2.13	2.14	1	{"max_abs_diff_coef":6.1e-05,"pearson_coef":1,"pearson_neglog10_p":1,"top100_jaccard":1}	0.3.0	2026-06-02 18:47:14	2026-06-08 04:00:00	scale
mast	MAST 1.35.2	medium	4	macOS	pbmc68k_18k	baseline	ok	3	29.959, 29.851, 30.330	30.047	29.959	6239.9, 6239.9, 6239.9	6239.875	6239.875						0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	medium	4	macOS	pbmc68k_18k	patched	ok	3	8.026, 7.904, 8.205	8.045	8.026	6026.3, 6026.3, 6026.3	6026.289	6026.289	3.744, 3.801, 3.662	3.736	3.744	1	{"max_abs_diff_coef":3.8e-05,"pearson_coef":1,"pearson_neglog10_p":0.99994,"top100_jaccard":1}	0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	large	4	macOS	pbmc68k_50k	baseline	ok	3	80.877, 85.106, 80.988	82.324	80.988	10386.8, 10386.8, 10386.8	10386.766	10386.766						0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	large	4	macOS	pbmc68k_50k	patched	ok	3	19.075, 17.710, 19.612	18.799	19.075	10026.3, 10026.3, 10026.3	10026.297	10026.297	4.316, 4.648, 4.198	4.387	4.316	1	{"max_abs_diff_coef":4.8e-05,"pearson_coef":1,"pearson_neglog10_p":0.999993,"top100_jaccard":1}	0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	small	4	macOS	pbmc68k_8k	baseline	ok	3	12.147, 13.485, 11.513	12.381	12.147	4844.5, 4844.5, 4844.5	4844.477	4844.477						0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	small	4	macOS	pbmc68k_8k	patched	ok	3	3.987, 4.012, 3.958	3.986	3.987	4334.5, 4334.5, 4334.5	4334.531	4334.531	3.105, 3.086, 3.128	3.106	3.105	1	{"max_abs_diff_coef":3e-05,"pearson_coef":1,"pearson_neglog10_p":0.999787,"top100_jaccard":1}	0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	ood_large	4	macOS	tms_ss2_50k	baseline	ok	3	125.197, 120.335, 115.063	120.198	120.335	14303.2, 14303.2, 14303.2	14303.2	14303.2						0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	ood_large	4	macOS	tms_ss2_50k	patched	ok	3	28.354, 28.508, 28.781	28.547	28.508	14278.2, 14278.2, 14278.2	14278.234	14278.234	4.239, 4.216, 4.176	4.211	4.216	1	{"max_abs_diff_coef":6.1e-05,"pearson_coef":1,"pearson_neglog10_p":1,"top100_jaccard":1}	0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	medium	8	macOS	pbmc68k_18k	baseline	ok	3	28.391, 23.057, 20.511	23.986	23.057	6239.9, 6239.9, 6239.9	6239.875	6239.875						0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	medium	8	macOS	pbmc68k_18k	patched	ok	3	5.272, 4.897, 5.263	5.144	5.263	6026.3, 6026.3, 6026.3	6026.289	6026.289	4.550, 4.898, 4.558	4.669	4.558	1	{"max_abs_diff_coef":3.8e-05,"pearson_coef":1,"pearson_neglog10_p":0.99994,"top100_jaccard":1}	0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
mast	MAST 1.35.2	large	8	macOS	pbmc68k_50k	baseline	ok	3	99.049, 93.306, 83.256	91.87	93.306	10386.8, 10386.8, 10386.8	10386.766	10386.766						0.3.0	2026-06-02 06:00:01	2026-06-02 06:00:03	scale
