patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
nichenetr	nichenetr 2.2.1.1	ood_xlarge	1	Windows	gbm_malig_vs_macro_x10	baseline	ok	5	1598.368, 1663.442, 1706.039, 1791.500, 1634.194	1678.709	1663.442	5196.6, 5201.9, 5197.3, 5199.0, 5197.2	5198.381	5197.258						0.3.0	2026-05-28 00:03:52	2026-06-08 02:01:25	scale
nichenetr	nichenetr 2.2.1.1	ood_xlarge	1	Windows	gbm_malig_vs_macro_x10	patched	ok	4	15.370, 15.323, 1.390, 15.489	11.893	15.346	3698.4, 3698.1, 3700.6, 3698.2	3698.847	3698.34	109.219, 109.557, 1207.576, 108.377	383.682	109.388	1	{"max_abs_diff_aupr_corrected":0,"pearson_aupr_corrected":1,"pearson_auroc":1,"spearman_aupr_corrected":1,"top30_jaccard":1}	0.3.0	2026-06-02 22:04:02	2026-06-08 02:01:58	scale
nichenetr	nichenetr 2.2.1.1	medium	1	Windows	ifnb_human_x2	baseline	ok	6	301.288, 381.854, 468.107, 521.213, 347.361, 324.558	390.73	364.607	1759.3, 1753.6, 1752.5, 1754.8, 1752.7, 1754.6	1754.568	1754.102						0.3.0	2026-05-27 04:40:06	2026-06-08 21:46:51	scale
nichenetr	nichenetr 2.2.1.1	medium	1	Windows	ifnb_human_x2	patched	ok	6	3.016, 0.217, 2.570, 2.135, 1.994, 1.942	1.979	2.065	1200.5, 1199.7, 1200.4, 1199.7, 1200.4, 1200.6	1200.212	1200.398	129.557, 1797.767, 152.046, 183.029, 195.926, 201.233	443.26	189.478	1	{"max_abs_diff_aupr_corrected":0,"pearson_aupr_corrected":1,"pearson_auroc":1,"spearman_aupr_corrected":1,"top30_jaccard":1}	0.3.0	2026-06-02 05:24:09	2026-06-09 11:12:50	scale
nichenetr	nichenetr 2.2.1.1	large	1	Windows	ifnb_human_x4	baseline	ok	5	633.010, 652.751, 690.222, 698.812, 654.491	665.857	654.491	2831.5, 2831.7, 2831.6, 2831.7, 2832.4	2831.76	2831.672						0.3.0	2026-05-27 09:03:25	2026-06-08 00:12:50	scale
nichenetr	nichenetr 2.2.1.1	large	1	Windows	ifnb_human_x4	patched	ok	5	4.056, 3.871, 0.398, 4.082, 4.074	3.296	4.056	1824.6, 1825.0, 1828.4, 1825.0, 1824.9	1825.584	1824.957	164.182, 172.020, 1672.689, 163.111, 163.460	467.093	164.182	1	{"max_abs_diff_aupr_corrected":0,"pearson_aupr_corrected":1,"pearson_auroc":1,"spearman_aupr_corrected":1,"top30_jaccard":1}	0.3.0	2026-06-02 07:19:17	2026-06-09 11:13:13	scale
nichenetr	nichenetr 2.2.1.1	small	1	Windows	lcmv_mouse_full	baseline	ok	9	124.224, 111.448, 141.339, 124.103, 192.089, 121.103, 169.325, 171.960, 117.669	141.473	124.224	1050.0, 1051.7, 1050.7, 1049.9, 1048.3, 1052.6, 76.8, 1048.3, 1050.2	942.051	1050.043						0.3.0	2026-05-27 03:40:10	2026-06-08 21:40:52	scale
nichenetr	nichenetr 2.2.1.1	small	1	Windows	lcmv_mouse_full	patched	ok	6	0.628, 0.624, 0.070, 0.863, 0.653, 0.631	0.578	0.63	797.6, 795.4, 797.8, 795.5, 794.8, 798.6	796.624	796.568	225.121, 226.684, 2035.500, 163.862, 216.487, 224.188	515.307	224.654	1	{"max_abs_diff_aupr_corrected":0,"pearson_aupr_corrected":1,"pearson_auroc":1,"spearman_aupr_corrected":1,"top30_jaccard":1}	0.3.0	2026-06-02 05:55:36	2026-06-09 11:12:26	scale
nichenetr	nichenetr 2.2.1.1	ood_large	1	Windows	tms_spleen_BvsT_x6	baseline	ok	5	713.544, 684.402, 754.702, 807.146, 693.201	730.599	713.544	3013.8, 2586.2, 2580.2, 3013.8, 3013.4	2841.473	3013.402						0.3.0	2026-05-27 13:58:35	2026-06-08 00:36:51	scale
nichenetr	nichenetr 2.2.1.1	ood_large	1	Windows	tms_spleen_BvsT_x6	patched	ok	4	5.992, 6.126, 0.604, 6.083	4.701	6.037	1901.9, 1901.3, 1905.0, 1902.0	1902.553	1901.953	121.927, 119.261, 1208.636, 120.109	392.483	121.018	1	{"max_abs_diff_aupr_corrected":0,"pearson_aupr_corrected":1,"pearson_auroc":1,"spearman_aupr_corrected":1,"top30_jaccard":1}	0.3.0	2026-06-02 21:33:02	2026-06-08 00:37:09	scale
