patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
rctd	spacexr 2.2.1	ood_xlarge	1	Windows	lymph_node_rctd_10000_boot	baseline	ok	2	2663.450, 2010.535	2336.992	2336.992	2140.0, 2146.1	2143.031	2143.031						0.3.0	2026-05-28 01:23:30	2026-06-10 21:01:36	scale
rctd	spacexr 2.2.1	ood_xlarge	1	Windows	lymph_node_rctd_10000_boot	patched	ok	2	124.806, 81.260	103.033	103.033	1791.3, 1940.4	1865.848	1865.848	18.725, 28.760	23.742	23.742	1	{"doublet_pair_agreement":0.9959,"max_abs_weight_diff":0,"pearson_doublet_weights":0.999177,"pearson_weights":1,"spot_class_agreement":0.9907,"top_type_agreement":1}	0.3.0	2026-05-28 01:23:30	2026-06-08 09:12:07	scale
rctd	spacexr 2.2.1	medium	1	Windows	lymph_node_rctd_1498	baseline	ok	2	305.297, 308.716	307.007	307.007	1252.7, 1278.8	1265.785	1265.785						0.3.0	2026-05-20 03:02:25	2026-05-20 03:02:25	scale
rctd	spacexr 2.2.1	medium	1	Windows	lymph_node_rctd_1498	patched	ok	3	16.322, 16.335, 17.069	16.575	16.335	1033.9, 1034.2, 1021.5	1029.879	1033.906	18.809, 18.794, 17.986	18.53	18.794	1	{"doublet_pair_agreement":0.999332,"max_abs_weight_diff":0,"pearson_doublet_weights":0.999801,"pearson_weights":1,"spot_class_agreement":0.991989,"top_type_agreement":1}	0.3.0	2026-05-20 03:02:25	2026-06-08 09:09:22	scale
rctd	spacexr 2.2.1	ood_large	1	Windows	lymph_node_rctd_3000_seed42	baseline	ok	2	644.496, 712.651	678.574	678.574	1408.5, 1381.3	1394.896	1394.896						0.3.0	2026-05-27 14:23:08	2026-05-30 11:53:08	scale
rctd	spacexr 2.2.1	ood_large	1	Windows	lymph_node_rctd_3000_seed42	patched	ok	3	38.269, 36.800, 27.916	34.328	36.8	1217.8, 1214.4, 1234.6	1222.255	1217.809	17.732, 18.439, 24.308	20.16	18.439	0	{"doublet_pair_agreement":0.996333,"max_abs_weight_diff":0,"pearson_doublet_weights":0.998459,"pearson_weights":1,"spot_class_agreement":0.992,"top_type_agreement":1}	0.3.0	2026-05-27 14:23:08	2026-06-08 09:10:39	scale
rctd	spacexr 2.2.1	large	1	Windows	lymph_node_rctd_4033	baseline	ok	2	809.049, 812.161	810.605	810.605	1612.1, 1611.7	1611.91	1611.91						0.3.0	2026-05-20 03:41:42	2026-05-20 03:41:42	scale
rctd	spacexr 2.2.1	large	1	Windows	lymph_node_rctd_4033	patched	ok	3	34.196, 34.206, 36.310	34.904	34.206	1289.1, 1282.3, 1261.6	1277.694	1282.312	23.704, 23.698, 22.325	23.242	23.698	1	{"doublet_pair_agreement":0.996033,"max_abs_weight_diff":0,"pearson_doublet_weights":0.999585,"pearson_weights":1,"spot_class_agreement":0.991322,"top_type_agreement":1}	0.3.0	2026-05-20 03:41:42	2026-06-08 09:10:05	scale
rctd	spacexr 2.2.1	small	1	Windows	lymph_node_rctd_500	baseline	ok	2	109.875, 110.022	109.948	109.948	1121.6, 1124.4	1123.031	1123.031						0.3.0	2026-05-20 02:47:22	2026-05-20 02:47:22	scale
rctd	spacexr 2.2.1	small	1	Windows	lymph_node_rctd_500	patched	ok	3	9.501, 9.440, 9.993	9.645	9.501	973.2, 972.9, 966.0	970.681	972.867	11.572, 11.647, 11.003	11.407	11.572	1	{"doublet_pair_agreement":0.996,"max_abs_weight_diff":0,"pearson_doublet_weights":0.999412,"pearson_weights":1,"spot_class_agreement":0.984,"top_type_agreement":1}	0.3.0	2026-05-20 02:47:22	2026-06-08 09:08:58	scale
