patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
scriabin	scriabin 0.0.0.9000	small	1	Windows	heart_adult_ccim_1k	baseline	ok	4	75.861, 87.145, 76.962, 99.741	84.927	82.054	20644.6, 20645.8, 20645.3, 20642.7	20644.596	20644.971						0.3.0	2026-05-28 06:28:38	2026-06-02 06:06:48	flat
scriabin	scriabin 0.0.0.9000	small	1	Windows	heart_adult_ccim_1k	patched	ok	4	27.713, 27.918, 28.332, 26.861	27.706	27.815	2351.5, 2031.5, 2320.6, 2320.1	2255.911	2320.355	2.961, 2.939, 2.896, 3.055	2.963	2.95	1	{"ccim_max_abs_diff":0,"ccim_nnz_jaccard":1,"ccim_pearson":1}	0.3.0	2026-05-28 06:28:38	2026-06-02 06:07:39	flat
scriabin	scriabin 0.0.0.9000	medium	1	Windows	heart_adult_ccim_1k4	baseline	ok	4	151.271, 173.059, 178.878, 145.134	162.086	162.165	39079.8, 39079.9, 39080.5, 39080.2	39080.089	39080.039						0.3.0	2026-05-28 08:05:07	2026-06-02 05:42:41	flat
scriabin	scriabin 0.0.0.9000	medium	1	Windows	heart_adult_ccim_1k4	patched	ok	4	53.177, 65.257, 54.453, 53.466	56.588	53.959	3329.1, 3328.0, 3328.8, 3329.1	3328.751	3328.932	3.050, 2.485, 2.978, 3.033	2.886	3.006	1	{"ccim_max_abs_diff":0,"ccim_nnz_jaccard":1,"ccim_pearson":1}	0.3.0	2026-05-28 08:05:07	2026-06-02 05:44:08	flat
scriabin	scriabin 0.0.0.9000	large	1	Windows	heart_adult_ccim_1k6	baseline	ok	3	191.803, 198.156, 210.326	200.095	198.156	50636.1, 50636.8, 50627.2	50633.357	50636.09						0.3.0	2026-05-28 10:36:12	2026-06-07 21:47:13	flat
scriabin	scriabin 0.0.0.9000	large	1	Windows	heart_adult_ccim_1k6	patched	ok	3	71.170, 74.070, 81.457	75.566	74.07	4221.2, 4221.1, 4236.1	4226.132	4221.227	2.784, 2.675, 2.433	2.631	2.675	1	{"ccim_max_abs_diff":0,"ccim_nnz_jaccard":1,"ccim_pearson":1}	0.3.0	2026-05-28 10:36:12	2026-06-07 21:49:05	flat
scriabin	scriabin 0.0.0.9000	ood_xlarge	1	Windows	ifnb_pbmc_ccim_2k4	baseline	ok	4	340.399, 395.269, 315.330, 308.246	339.811	327.865	40463.5, 40465.5, 40484.4, 40483.7	40474.287	40474.611						0.3.0	2026-05-30 00:12:03	2026-06-04 12:23:45	flat
scriabin	scriabin 0.0.0.9000	ood_xlarge	1	Windows	ifnb_pbmc_ccim_2k4	patched	ok	3	153.957, 181.501, 160.496	165.318	160.496	3945.3, 3936.0, 4247.9	4043.066	3945.309	2.130, 1.806, 2.043	1.993	2.043	1	{"ccim_max_abs_diff":0,"ccim_nnz_jaccard":1,"ccim_pearson":1}	0.3.0	2026-05-30 00:12:03	2026-06-04 19:30:11	flat
scriabin	scriabin 0.0.0.9000	ood_large	1	Windows	pbmc68k_ccim_1k3	baseline	ok	2	123.979, 108.776	116.377	116.377	32947.6, 32949.9	32948.729	32948.729						0.3.0	2026-05-30 00:02:38	2026-06-02 13:05:44	flat
scriabin	scriabin 0.0.0.9000	ood_large	1	Windows	pbmc68k_ccim_1k3	patched	ok	3	51.212, 42.635, 33.589	42.479	42.635	2133.8, 2134.5, 1953.1	2073.805	2133.773	2.272, 2.730, 3.465	2.822	2.73	1	{"ccim_max_abs_diff":0,"ccim_nnz_jaccard":1,"ccim_pearson":1}	0.3.0	2026-05-30 00:02:38	2026-06-08 10:40:29	flat
scriabin	scriabin 0.0.0.9000	small	1	macOS	heart_adult_ccim_1k	baseline	ok	2	45.186, 43.496	44.341	44.341	18770.9, 19205.7	18988.281	18988.281						0.3.0	2026-05-28 03:49:58	2026-05-28 03:49:58	flat
scriabin	scriabin 0.0.0.9000	small	1	macOS	heart_adult_ccim_1k	patched	ok	3	17.836, 18.123, 18.060	18.006	18.06	3315.2, 3024.9, 3123.7	3154.604	3123.688	2.486, 2.447, 2.455	2.463	2.455	1	{"ccim_max_abs_diff":0,"ccim_nnz_jaccard":1,"ccim_pearson":1}	0.3.0	2026-05-28 03:49:58	2026-06-02 06:01:30	flat
scriabin	scriabin 0.0.0.9000	medium	1	macOS	heart_adult_ccim_1k4	baseline	ok	2	88.696, 96.464	92.58	92.58	19959.9, 19849.4	19904.609	19904.609						0.3.0	2026-05-28 03:49:58	2026-05-28 03:49:58	flat
scriabin	scriabin 0.0.0.9000	medium	1	macOS	heart_adult_ccim_1k4	patched	ok	3	39.012, 37.121, 36.048	37.394	37.121	4224.5, 4091.7, 4039.1	4118.458	4091.734	2.373, 2.494, 2.568	2.478	2.494	1	{"ccim_max_abs_diff":0,"ccim_nnz_jaccard":1,"ccim_pearson":1}	0.3.0	2026-05-28 03:49:58	2026-06-02 06:01:30	flat
scriabin	scriabin 0.0.0.9000	ood_xlarge	1	macOS	ifnb_pbmc_ccim_2k4	baseline	ok	2	197.688, 199.063	198.376	198.376	20166.4, 19825.6	19995.992	19995.992						0.3.0	2026-05-28 03:49:58	2026-05-28 03:49:58	flat
scriabin	scriabin 0.0.0.9000	ood_xlarge	1	macOS	ifnb_pbmc_ccim_2k4	patched	ok	3	102.082, 102.951, 103.094	102.709	102.951	4757.3, 4782.8, 4750.2	4763.432	4757.281	1.943, 1.927, 1.924	1.931	1.927	1	{"ccim_max_abs_diff":0,"ccim_nnz_jaccard":1,"ccim_pearson":1}	0.3.0	2026-05-28 03:49:58	2026-06-02 06:01:30	flat
scriabin	scriabin 0.0.0.9000	ood_large	1	macOS	pbmc68k_ccim_1k3	baseline	ok	2	64.651, 63.419	64.035	64.035	19647.7, 20041.3	19844.516	19844.516						0.3.0	2026-05-28 03:49:58	2026-05-28 03:49:58	flat
scriabin	scriabin 0.0.0.9000	ood_large	1	macOS	pbmc68k_ccim_1k3	patched	ok	3	23.150, 24.017, 24.138	23.768	24.017	2445.2, 2385.5, 2290.2	2373.661	2385.531	2.766, 2.666, 2.653	2.695	2.666	1	{"ccim_max_abs_diff":0,"ccim_nnz_jaccard":1,"ccim_pearson":1}	0.3.0	2026-05-28 03:49:58	2026-06-02 06:01:30	flat
scriabin	scriabin 0.0.0.9000	large	1	macOS	—	baseline	OOM	0												0.3.0	2026-05-25 14:43:31	2026-05-25 14:43:31	flat
