patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	20.440, 22.890, 18.870	20.733	20.44	34223.0, 34223.0, 34223.0	34223	34223						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	1.410, 1.420, 1.470	1.433	1.42	34174.0, 34174.0, 34174.0	34174	34174	14.170, 14.070, 13.592	13.944	14.07	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	baseline	ok	3	24.740, 29.690, 24.060	26.163	24.74	50769.0, 50769.0, 50769.0	50769	50769						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	patched	ok	3	2.280, 2.660, 2.230	2.39	2.28	48409.0, 48409.0, 48409.0	48409	48409	12.169, 10.430, 12.442	11.68	12.169	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	9.370, 9.030, 10.170	9.523	9.37	20455.0, 20455.0, 26812.2	22574.057	20455						0.3.0	2026-04-15	2026-05-27 01:39:25	flat
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	1.042, 1.203, 1.170	1.139	1.17	19087.4, 19087.4, 19087.4	19087.431	19087.438	8.990, 7.786, 8.009	8.262	8.009	1	{"hvg_jaccard":1}	0.3.0	2026-05-27 02:01:47	2026-05-27 02:01:47	scale
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	baseline	ok	3	2.310, 2.490, 2.025	2.275	2.31	4572.0, 4572.0, 5345.8	4829.949	4572						0.3.0	2026-04-15	2026-05-27 01:39:25	flat
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	patched	ok	3	0.768, 0.696, 0.661	0.708	0.696	4104.8, 4105.1, 4105.4	4105.086	4105.09	3.006, 3.321, 3.494	3.274	3.321	1	{"hvg_jaccard":1}	0.3.0	2026-05-27 02:01:47	2026-05-27 02:01:47	scale
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	5.420, 5.300, 5.370	5.363	5.37	11948.0, 11948.0, 11948.0	11948	11948						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	0.580, 0.570, 0.490	0.547	0.57	11977.0, 11977.0, 12340.5	12098.18	11977	9.259, 9.421, 10.968	9.882	9.421	1	{"concordance":1}	0.3.0	2026-04-15	2026-06-08 10:38:29	scale
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	baseline	ok	3	11.360, 13.780, 10.670	11.937	11.36	21454.0, 21454.0, 21454.0	21454	21454						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	patched	ok	3	0.780, 1.530, 0.960	1.09	0.96	20389.0, 20389.0, 20389.0	20389	20389	14.615, 7.451, 11.875	11.314	11.875	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large3	32	Windows	gastrulation_pijuansala	baseline	ok	3	17.970, 25.400, 17.850	20.407	17.97	34223.0, 34223.0, 34223.0	34223	34223						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large3	32	Windows	gastrulation_pijuansala	patched	ok	3	1.380, 1.970, 1.460	1.603	1.46	34174.0, 34174.0, 34174.0	34174	34174	14.478, 10.142, 13.685	12.768	13.685	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	large	32	Windows	heart_adult	baseline	ok	2	29.800, 23.820	26.81	26.81	50769.0, 50769.0	50769	50769						0.3.0	2026-04-15	2026-04-15	flat
