patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
seurat	Seurat 5.4.0	large	1	Windows	gastrulation_pijuansala_cca_139k	baseline	ok	2	8877.477, 7300.000	8088.738	8088.738	50655.6, 52388.6	51522.072	51522.072						0.3.0	2026-05-25 18:20:48	2026-06-11 00:53:32	flat
seurat	Seurat 5.4.0	large	1	Windows	gastrulation_pijuansala_cca_139k	patched	ok	3	777.473, 761.133, 584.147	707.584	761.133	53573.6, 58071.4, 67934.7	59859.892	58071.414	10.404, 10.627, 13.847	11.626	10.627	1	{"cc_dim_cor_mean":0.999988,"min_cc_cor":0.999972}	0.3.0	2026-05-25 19:23:46	2026-06-08 14:25:21	flat
seurat	Seurat 5.4.0	ood_large1	1	Windows	heart_adult_cca_42k	baseline	ok	3	1747.791, 1498.480, 1493.500	1579.924	1498.48	4870.0, 5028.1, 4919.0	4939.046	4918.965						0.3.0	2026-05-28 03:37:23	2026-06-06 09:39:06	flat
seurat	Seurat 5.4.0	ood_large1	1	Windows	heart_adult_cca_42k	patched	ok	4	415.548, 476.228, 450.769, 450.346	448.223	450.558	5284.8, 5242.9, 5151.0, 5355.5	5258.547	5263.865	3.606, 3.147, 3.324, 3.327	3.351	3.326	1	{"cc_dim_cor_mean":0.999635,"min_cc_cor":0.999316}	0.3.0	2026-05-26 01:44:09	2026-06-06 09:47:46	flat
seurat	Seurat 5.4.0	small	1	Windows	ifnb_cca_14k	baseline	ok	3	92.889, 88.634, 93.822	91.782	92.889	2495.8, 2545.7, 2622.9	2554.822	2545.738						0.3.0	2026-05-24 17:01:54	2026-05-28 01:46:35	flat
seurat	Seurat 5.4.0	small	1	Windows	ifnb_cca_14k	patched	ok	5	49.413, 47.233, 35.308, 37.941, 41.769	42.333	41.769	2784.4, 2783.6, 2758.8, 2758.0, 2467.3	2710.407	2758.75	1.880, 1.967, 2.631, 2.448, 2.224	2.23	2.224	1	{"cc_dim_cor_mean":0.999929,"min_cc_cor":0.999839}	0.3.0	2026-05-24 17:01:54	2026-05-28 01:46:35	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	pbmc160k_cite_cca_48k	baseline	ok	3	1734.105, 1625.941, 1616.465	1658.837	1625.941	7278.7, 7287.7, 7288.0	7284.81	7287.691						0.3.0	2026-05-26 01:00:44	2026-06-06 12:00:40	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	pbmc160k_cite_cca_48k	patched	ok	4	324.291, 319.619, 355.938, 361.694	340.386	340.115	7625.8, 7625.5, 7663.3, 7709.5	7656.015	7644.535	5.014, 5.087, 4.568, 4.495	4.791	4.791	1	{"cc_dim_cor_mean":0.99978,"min_cc_cor":0.999531}	0.3.0	2026-05-26 01:44:09	2026-06-06 12:07:54	flat
seurat	Seurat 5.4.0	ood_large2	1	Windows	pbmc200k_glaucoma_cca_47k	baseline	ok	3	1643.516, 1554.335, 1557.258	1585.036	1557.258	5342.8, 5342.6, 5340.1	5341.839	5342.605						0.3.0	2026-05-26 01:00:44	2026-06-06 10:49:44	flat
seurat	Seurat 5.4.0	ood_large2	1	Windows	pbmc200k_glaucoma_cca_47k	patched	ok	4	295.244, 318.897, 335.035, 340.999	322.544	326.966	5908.5, 5909.5, 5921.3, 5921.4	5915.187	5915.416	5.274, 4.883, 4.648, 4.567	4.843	4.766	1	{"cc_dim_cor_mean":0.999734,"min_cc_cor":0.99957}	0.3.0	2026-05-26 01:44:09	2026-06-06 10:56:36	flat
