patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	1	1909.230	1909.23	1909.23	66358.3	66358.273	66358.273						0.3.0	2026-05-31 01:36:54	2026-05-31 01:36:54	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	4	49.718, 45.271, 45.013, 45.354	46.339	45.312	19418.7, 19454.3, 19454.6, 19454.7	19445.586	19454.432	38.401, 42.173, 42.415, 42.096	41.271	42.135	1	{"avg_log2fc_q99_abs_diff":0,"neglog10_p_spearman":1,"top50_marker_jaccard":1}	0.3.0	2026-05-31 01:36:54	2026-06-10 21:18:42	scale
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	baseline	ok	3	3112.491, 2748.669, 3376.767	3079.309	3112.491	67044.0, 75328.6, 66200.9	69524.505	67044.027						0.3.0	2026-05-31 01:36:54	2026-06-07 00:17:16	flat
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	patched	ok	9	66.274, 63.074, 60.124, 58.550, 65.310, 78.731, 59.651, 59.771, 54.890	62.93	60.124	29655.9, 29647.7, 29647.6, 29645.0, 29645.9, 29655.9, 29677.9, 29677.1, 29677.2	29658.911	29655.895	46.964, 49.347, 51.768, 53.160, 47.657, 39.533, 52.179, 52.074, 56.704	49.932	51.768	1	{"avg_log2fc_q99_abs_diff":0,"neglog10_p_spearman":1,"top50_marker_jaccard":1}	0.3.0	2026-05-31 01:36:54	2026-06-10 21:11:00	scale
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	5	744.842, 704.132, 740.689, 814.343, 664.967	733.795	740.689	29605.2, 29605.7, 29605.5, 29604.6, 29605.1	29605.25	29605.23						0.3.0	2026-05-28 20:06:22	2026-06-07 00:35:47	flat
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	patched	ok	9	24.435, 23.303, 24.787, 25.787, 20.692, 21.112, 21.404, 21.460, 21.420	22.711	21.46	11808.0, 11807.8, 11807.8, 11798.2, 11798.8, 11798.8, 11828.2, 11828.4, 11828.3	11811.575	11807.789	29.243, 30.663, 28.828, 27.709, 34.532, 33.846, 33.384, 33.297, 33.358	31.651	33.297	1	{"avg_log2fc_q99_abs_diff":0,"neglog10_p_spearman":1,"top50_marker_jaccard":1}	0.3.0	2026-05-28 20:06:22	2026-06-10 21:05:56	scale
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	baseline	ok	2	91.022, 87.072	89.047	89.047	6769.1, 6769.4	6769.295	6769.295						0.3.0	2026-05-27 00:38:32	2026-05-31 01:36:54	flat
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	patched	ok	15	3.606, 4.146, 3.697, 3.715, 3.644, 3.719, 3.770, 3.730, 3.727, 4.273, 3.974, 3.582, 3.725, 3.687, 3.638	3.776	3.719	2861.8, 2860.0, 2858.3, 2862.0, 2861.3, 2861.6, 2861.0, 2861.6, 2861.1, 2858.1, 2858.9, 2856.9, 2890.4, 2890.8, 2891.1	2866.321	2861.289	26.300, 22.875, 25.659, 25.532, 26.026, 25.505, 25.158, 25.429, 25.447, 22.196, 23.865, 26.479, 25.463, 25.727, 26.074	25.182	25.505	1	{"avg_log2fc_q99_abs_diff":0,"neglog10_p_spearman":1,"top50_marker_jaccard":1}	0.3.0	2026-05-27 00:38:32	2026-06-10 21:03:47	scale
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	1	527.631	527.631	527.631	18474.3	18474.324	18474.324						0.3.0	2026-05-31 01:36:54	2026-05-31 01:36:54	flat
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	4	13.038, 12.483, 12.274, 12.447	12.56	12.465	7287.7, 7318.2, 7317.8, 7317.7	7310.321	7317.715	40.893, 42.712, 43.437, 42.834	42.469	42.773	1	{"avg_log2fc_q99_abs_diff":0,"neglog10_p_spearman":1,"top50_marker_jaccard":1}	0.3.0	2026-05-31 01:36:54	2026-06-10 21:12:24	scale
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	baseline	ok	1	1431.059	1431.059	1431.059	38928.9	38928.926	38928.926						0.3.0	2026-05-31 01:36:54	2026-05-31 01:36:54	flat
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	patched	ok	4	24.305, 23.649, 23.557, 23.547	23.765	23.603	11887.4, 11931.7, 11931.5, 11931.7	11920.569	11931.582	61.471, 63.177, 63.423, 63.451	62.881	63.3	1	{"avg_log2fc_q99_abs_diff":0,"neglog10_p_spearman":1,"top50_marker_jaccard":1}	0.3.0	2026-05-31 01:36:54	2026-06-10 21:14:52	scale
seurat	Seurat 5.4.0	ood_large3	32	Windows	gastrulation_pijuansala	baseline	ok	4	2062.528, 1901.513, 1765.979, 3762.068	2373.022	1982.021	63718.9, 66358.3, 66354.8, 46012.3	60611.067	65036.832						0.3.0	2026-05-31 03:57:14	2026-06-07 01:30:29	flat
seurat	Seurat 5.4.0	ood_large3	32	Windows	gastrulation_pijuansala	patched	ok	7	12.000, 9.209, 9.554, 9.142, 9.047, 9.982, 9.881	9.831	9.554	19527.9, 19487.3, 19531.8, 19510.1, 19510.3, 19558.4, 19552.9	19525.527	19527.949	159.105, 207.316, 199.833, 208.844, 211.036, 191.264, 193.218	195.802	199.833	1	{"avg_log2fc_q99_abs_diff":0,"neglog10_p_spearman":1,"top50_marker_jaccard":1}	0.3.0	2026-05-31 03:57:14	2026-06-09 15:53:31	scale
seurat	Seurat 5.4.0	large	32	Windows	heart_adult	baseline	ok	1	3001.638	3001.638	3001.638	76223.9	76223.922	76223.922						0.3.0	2026-05-31 03:57:14	2026-05-31 03:57:14	flat
seurat	Seurat 5.4.0	large	32	Windows	heart_adult	patched	ok	6	12.307, 11.390, 12.632, 12.260, 18.155, 17.660	14.067	12.469	29791.1, 29776.4, 29798.6, 29801.3, 29844.5, 29837.6	29808.257	29799.924	252.910, 273.274, 246.393, 253.870, 171.442, 176.248	229.023	249.651	1	{"avg_log2fc_q99_abs_diff":0,"neglog10_p_spearman":1,"top50_marker_jaccard":1}	0.3.0	2026-05-31 03:57:14	2026-06-09 15:47:09	scale
