patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	23.170, 26.480, 25.780	25.143	25.78	41560.0, 41560.0, 41560.0	41560	41560						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	21.510, 22.360, 23.580	22.483	22.36	37986.0, 37986.0, 37986.0	37986	37986	1.149, 1.106, 1.048	1.101	1.106	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	baseline	ok	3	101.820, 121.600, 110.780	111.4	110.78	75246.0, 75246.0, 75246.0	75246	75246						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	patched	ok	3	91.380, 110.400, 95.720	99.167	95.72	53397.0, 53397.0, 53397.0	53397	53397	1.201, 0.994, 1.147	1.114	1.147	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	43.960, 45.140, 44.650	44.583	44.65	29355.0, 29355.0, 29355.0	29355	29355						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	36.920, 59.710, 38.250	44.96	38.25	20651.0, 20651.0, 20651.0	20651	20651	1.209, 0.748, 1.167	1.041	1.167	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	baseline	ok	3	14.300, 17.560, 13.780	15.213	14.3	7443.0, 7443.0, 7443.0	7443	7443						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	patched	ok	3	12.260, 14.390, 13.770	13.473	13.77	5465.0, 5465.0, 5465.0	5465	5465	1.278, 1.089, 1.138	1.168	1.138	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	33.270, 32.010, 33.450	32.91	33.27	21031.0, 21031.0, 21031.0	21031	21031						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	28.040, 28.170, 29.510	28.573	28.17	14523.0, 14523.0, 14523.0	14523	14523	1.187, 1.181, 1.127	1.165	1.181	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
