patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	29.250, 30.060, 31.480	30.263	30.06	34223.0, 34223.0, 34223.0	34223	34223						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	3.700, 3.810, 3.750	3.753	3.75	34174.0, 34174.0, 34174.0	34174	34174	8.219, 7.982, 8.109	8.103	8.109	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	baseline	ok	3	37.390, 40.420, 36.250	38.02	37.39	50720.0, 50720.0, 50720.0	50720	50720						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	patched	ok	3	3.720, 4.610, 4.110	4.147	4.11	48409.0, 48409.0, 48409.0	48409	48409	10.409, 8.399, 9.421	9.41	9.421	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	14.610, 14.840, 14.860	14.77	14.84	19629.0, 19629.0, 19629.0	19629	19629						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	1.380, 1.630, 1.420	1.477	1.42	18771.0, 18771.0, 18771.0	18771	18771	10.768, 9.117, 10.465	10.116	10.465	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	baseline	ok	3	3.033, 2.877, 3.088	2.999	3.033	4710.9, 4710.5, 4710.6	4710.645	4710.57						0.3.0	2026-05-24 23:36:35	2026-05-24 23:36:35	flat
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	patched	ok	3	0.241, 0.306, 0.315	0.287	0.306	4105.8, 4104.5, 4104.6	4104.949	4104.57	12.343, 9.709, 9.451	10.501	9.709	1	{"data_cor":1,"max_rel_err":0}	0.3.0	2026-05-24 23:36:35	2026-05-24 23:36:35	scale
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	8.110, 8.030, 8.250	8.13	8.11	11521.0, 11521.0, 11521.0	11521	11521						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	0.750, 0.690, 0.710	0.717	0.71	11038.0, 11038.0, 11038.0	11038	11038	10.947, 11.899, 11.563	11.47	11.563	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
