patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	44.280, 50.830, 48.230	47.78	48.23	41560.0, 41560.0, 41560.0	41560	41560						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	8.670, 8.500, 8.860	8.677	8.67	37986.0, 37986.0, 37986.0	37986	37986	5.446, 5.555, 5.330	5.444	5.446	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	baseline	ok	3	205.670, 211.380, 229.950	215.667	211.38	75246.0, 75246.0, 75246.0	75246	75246						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	patched	ok	3	28.370, 31.860, 29.200	29.81	29.2	53397.0, 53397.0, 53397.0	53397	53397	7.520, 6.696, 7.306	7.174	7.306	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	156.470, 160.020, 158.780	158.423	158.78	29355.0, 29355.0, 29355.0	29355	29355						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	12.060, 14.700, 12.330	13.03	12.33	20651.0, 20651.0, 20651.0	20651	20651	13.266, 10.884, 12.976	12.375	12.976	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	baseline	ok	3	117.590, 123.040, 128.920	123.183	123.04	7443.0, 7443.0, 7443.0	7443	7443						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	patched	ok	3	4.460, 4.830, 4.440	4.577	4.46	5465.0, 5465.0, 5465.0	5465	5465	27.226, 25.141, 27.349	26.572	27.226	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	71.580, 68.890, 71.640	70.703	71.58	21031.0, 21031.0, 21031.0	21031	21031						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	9.750, 9.390, 9.620	9.587	9.62	14523.0, 14523.0, 14523.0	14523	14523	7.319, 7.600, 7.418	7.445	7.418	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	baseline	ok	3	37.360, 61.040, 41.820	46.74	41.82	24642.0, 24642.0, 24642.0	24642	24642						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	patched	ok	3	7.080, 7.160, 8.080	7.44	7.16	24333.0, 24333.0, 24333.0	24333	24333	5.730, 5.666, 5.021	5.472	5.666	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large3	32	Windows	gastrulation_pijuansala	baseline	ok	3	44.350, 55.030, 45.290	48.223	45.29	41560.0, 41560.0, 41560.0	41560	41560						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large3	32	Windows	gastrulation_pijuansala	patched	ok	3	1.770, 2.220, 2.050	2.013	2.05	37986.0, 37986.0, 37986.0	37986	37986	26.678, 21.270, 23.034	23.661	23.034	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	large	32	Windows	heart_adult	baseline	ok	3	258.720, 213.330, 211.890	227.98	213.33	75246.0, 75246.0, 75246.0	75246	75246						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	large	32	Windows	heart_adult	patched	ok	3	6.140, 5.960, 6.020	6.04	6.02	53397.0, 53397.0, 53397.0	53397	53397	34.744, 35.794, 35.437	35.325	35.437	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	medium	32	Windows	pbmc200k_glaucoma	baseline	ok	3	175.980, 181.580, 159.990	172.517	175.98	29355.0, 29355.0, 29355.0	29355	29355						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	medium	32	Windows	pbmc200k_glaucoma	patched	ok	4	2.920, 2.780, 4.225, 3.742	3.417	3.331	20651.0, 20651.0, 20766.8, 20765.9	20708.691	20708.461	54.791, 57.550, 37.870, 42.754	48.241	48.772	1	{"concordance":1}	0.3.0	2026-04-15	2026-06-08 15:51:18	scale
seurat	Seurat 5.4.0	small	32	Windows	pbmc68k	baseline	ok	3	119.600, 139.200, 120.550	126.45	120.55	7443.0, 7443.0, 7443.0	7443	7443						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	small	32	Windows	pbmc68k	patched	ok	3	1.330, 1.460, 1.420	1.403	1.42	5465.0, 5465.0, 5465.0	5465	5465	91.301, 83.171, 85.514	86.662	85.514	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large1	32	Windows	splitseq_rosenberg	baseline	ok	3	67.900, 71.230, 72.200	70.443	71.23	21031.0, 21031.0, 21031.0	21031	21031						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large1	32	Windows	splitseq_rosenberg	patched	ok	3	2.160, 2.030, 2.240	2.143	2.16	14523.0, 14523.0, 14523.0	14523	14523	33.037, 35.153, 31.857	33.349	33.037	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large2	32	Windows	tms_ss2	baseline	ok	3	35.350, 36.950, 46.850	39.717	36.95	24642.0, 24642.0, 24642.0	24642	24642						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large2	32	Windows	tms_ss2	patched	ok	3	1.500, 1.650, 1.760	1.637	1.65	24333.0, 24333.0, 24333.0	24333	24333	27.047, 24.588, 23.051	24.895	24.588	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large3	4	Windows	gastrulation_pijuansala	baseline	ok	3	46.110, 55.830, 47.220	49.72	47.22	41560.0, 41560.0, 41560.0	41560	41560						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large3	4	Windows	gastrulation_pijuansala	patched	ok	3	2.850, 3.320, 2.910	3.027	2.91	37986.0, 37986.0, 37986.0	37986	37986	16.568, 14.223, 16.227	15.673	16.227	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	large	4	Windows	heart_adult	baseline	ok	3	213.250, 242.350, 222.940	226.18	222.94	75246.0, 75246.0, 75246.0	75246	75246						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	large	4	Windows	heart_adult	patched	ok	3	15.690, 9.610, 9.800	11.7	9.8	53397.0, 53397.0, 53397.0	53397	53397	13.597, 22.199, 21.768	19.188	21.768	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	medium	4	Windows	pbmc200k_glaucoma	baseline	ok	3	154.880, 170.020, 159.390	161.43	159.39	29355.0, 29355.0, 29355.0	29355	29355						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	medium	4	Windows	pbmc200k_glaucoma	patched	ok	3	5.560, 7.730, 4.110	5.8	5.56	20651.0, 20651.0, 20651.0	20651	20651	28.775, 20.697, 38.927	29.466	28.775	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	small	4	Windows	pbmc68k	baseline	ok	3	123.890, 121.430, 118.720	121.347	121.43	7443.0, 7443.0, 7443.0	7443	7443						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	small	4	Windows	pbmc68k	patched	ok	3	1.500, 1.610, 1.620	1.577	1.61	5465.0, 5465.0, 5465.0	5465	5465	80.953, 75.422, 74.957	77.111	75.422	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large1	4	Windows	splitseq_rosenberg	baseline	ok	3	75.020, 69.250, 71.360	71.877	71.36	21031.0, 21031.0, 21031.0	21031	21031						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large1	4	Windows	splitseq_rosenberg	patched	ok	3	2.970, 2.940, 3.140	3.017	2.97	14523.0, 14523.0, 14523.0	14523	14523	24.027, 24.272, 22.726	23.675	24.027	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large2	4	Windows	tms_ss2	baseline	ok	3	40.570, 39.950, 42.270	40.93	40.57	24642.0, 24642.0, 24642.0	24642	24642						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large2	4	Windows	tms_ss2	patched	ok	3	3.860, 3.810, 2.530	3.4	3.81	24334.0, 24334.0, 24334.0	24334	24334	10.510, 10.648, 16.036	12.398	10.648	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large3	1	macOS	gastrulation_pijuansala	baseline	ok	3	17.711, 17.881, 18.522	18.038	17.881	20682.3, 22592.3, 22874.7	22049.749	22592.266						0.3.0	2026-05-30 17:13:26	2026-06-05 09:00:00	flat
seurat	Seurat 5.4.0	ood_large3	1	macOS	gastrulation_pijuansala	patched	ok	3	6.232, 5.379, 2.315	4.642	5.379	23016.4, 23587.5, 14056.4	20220.102	23016.438	2.869, 3.324, 7.724	4.639	3.324	1	{"min_pc_cor":1}	0.3.0	2026-05-30 17:13:26	2026-06-05 09:00:00	scale
seurat	Seurat 5.4.0	large	1	macOS	heart_adult	baseline	OOM	0												0.3.0	2026-05-30 15:00:00	2026-05-30 15:00:00	flat
seurat	Seurat 5.4.0	medium	1	macOS	pbmc200k_glaucoma	baseline	partial	2	42.539, 45.546	44.043	44.043	21990.4, 21990.4	21990.4	21990.4						0.3.0	2026-05-30 15:00:00	2026-06-05 07:00:00	flat
seurat	Seurat 5.4.0	medium	1	macOS	pbmc200k_glaucoma	patched	ok	3	3.236, 3.121, 3.118	3.158	3.121	9432.2, 9432.2, 9432.2	9432.2	9432.2	13.706, 14.211, 14.224	14.047	14.211	1		0.3.0	2026-06-05 07:00:00	2026-06-05 07:00:00	scale
seurat	Seurat 5.4.0	small	1	macOS	pbmc68k (inferred)	baseline	ok	3	40.694, 40.742, 41.163	40.866	40.742	11317.2, 11317.2, 11317.2	11317.2	11317.2						0.3.0	2026-04-01 04:04:13	2026-04-01 04:04:13	flat
seurat	Seurat 5.4.0	small	1	macOS	pbmc68k (inferred)	patched	ok	3	1.272, 1.274, 1.269	1.272	1.272	7793.6, 7793.6, 7793.6	7793.6	7793.6	32.055, 32.005, 32.131	32.064	32.055	1		0.3.0	2026-04-01 04:04:13	2026-04-01 04:04:13	scale
seurat	Seurat 5.4.0	ood_large1	1	macOS	splitseq_rosenberg	baseline	ok	3	22.036, 22.431, 22.984	22.484	22.431	21016.2, 21226.9, 13532.8	18591.97	21016.203						0.3.0	2026-05-30 16:48:20	2026-06-05 09:00:00	flat
seurat	Seurat 5.4.0	ood_large1	1	macOS	splitseq_rosenberg	patched	ok	3	5.797, 5.836, 2.489	4.708	5.797	16252.6, 16243.9, 6036.6	12844.388	16243.938	3.964, 3.938, 9.234	5.712	3.964	1	{"min_pc_cor":1}	0.3.0	2026-05-30 16:48:20	2026-06-05 09:00:00	scale
seurat	Seurat 5.4.0	ood_large2	1	macOS	tms_ss2	baseline	ok	3	13.564, 14.823, 13.564	13.984	13.564	18087.7, 18655.5, 14263.6	17002.273	18087.672						0.3.0	2026-05-30 16:51:25	2026-06-05 09:00:00	flat
seurat	Seurat 5.4.0	ood_large2	1	macOS	tms_ss2	patched	ok	3	4.824, 4.771, 1.900	3.832	4.771	19479.8, 18983.7, 8737.1	15733.528	18983.734	2.812, 2.843, 7.139	4.265	2.843	1	{"min_pc_cor":1}	0.3.0	2026-05-30 16:51:25	2026-06-05 09:00:00	scale
seurat	Seurat 5.4.0	ood_large3	14	macOS	gastrulation_pijuansala	baseline	ok	3	18.614, 17.104, 16.999	17.572	17.104	23297.8, 23297.8, 23297.8	23297.8	23297.8						0.3.0	2026-06-05 09:00:00	2026-06-05 09:00:00	flat
seurat	Seurat 5.4.0	ood_large3	14	macOS	gastrulation_pijuansala	patched	ok	3	1.472, 1.483, 1.429	1.461	1.472	14064.7, 14064.7, 14064.7	14064.7	14064.7	12.148, 12.057, 12.513	12.239	12.148	1		0.3.0	2026-06-05 09:00:00	2026-06-05 09:00:00	scale
seurat	Seurat 5.4.0	medium	14	macOS	pbmc200k_glaucoma	baseline	ok	3	46.409, 45.035, 44.119	45.188	45.035	21990.4, 21990.4, 19414.3	21131.7	21990.4						0.3.0	2026-06-05 07:00:00	2026-06-05 09:00:00	flat
seurat	Seurat 5.4.0	medium	14	macOS	pbmc200k_glaucoma	patched	ok	3	2.024, 1.951, 1.990	1.988	1.99	9432.2, 9432.2, 9432.2	9432.2	9432.2	21.913, 22.733, 22.287	22.311	22.287	1		0.3.0	2026-06-05 07:00:00	2026-06-05 07:00:00	scale
seurat	Seurat 5.4.0	small	14	macOS	pbmc68k (inferred)	baseline	ok	3	41.223, 41.132, 40.774	41.043	41.132	11317.2, 11317.2, 11317.2	11317.2	11317.2						0.3.0	2026-04-01 01:19:18	2026-04-01 01:19:18	flat
seurat	Seurat 5.4.0	small	14	macOS	pbmc68k (inferred)	patched	ok	3	1.280, 1.263, 1.262	1.268	1.263	7793.6, 7793.6, 7793.6	7793.6	7793.6	31.855, 32.283, 32.309	32.149	32.283	1		0.3.0	2026-04-01 01:19:18	2026-04-01 01:19:18	scale
seurat	Seurat 5.4.0	ood_large1	14	macOS	splitseq_rosenberg	baseline	ok	3	23.007, 23.309, 23.129	23.148	23.129	14995.4, 14995.4, 14995.4	14995.4	14995.4						0.3.0	2026-06-05 09:00:00	2026-06-05 09:00:00	flat
seurat	Seurat 5.4.0	ood_large1	14	macOS	splitseq_rosenberg	patched	ok	3	1.589, 1.555, 1.541	1.562	1.555	6044.9, 6044.9, 6044.9	6044.9	6044.9	14.464, 14.781, 14.915	14.72	14.781	1		0.3.0	2026-06-05 09:00:00	2026-06-05 09:00:00	scale
