patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	3	6.280, 7.250, 7.770	7.1	7.25	41560.0, 41560.0, 41560.0	41560	41560						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	1.520, 1.440, 1.560	1.507	1.52	34174.0, 34174.0, 34174.0	34174	34174	4.414, 4.660, 4.301	4.458	4.414	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	baseline	ok	3	15.780, 16.390, 16.500	16.223	16.39	60567.0, 60567.0, 60567.0	60567	60567						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	patched	ok	3	2.780, 3.360, 2.610	2.917	2.78	48409.0, 48409.0, 48409.0	48409	48409	5.935, 4.911, 6.322	5.723	5.935	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	7.220, 7.350, 7.621	7.397	7.35	24160.0, 24160.0, 26812.0	25044.007	24160						0.3.0	2026-04-15	2026-05-27 01:43:17	flat
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	1.250, 1.120, 1.282	1.217	1.25	18771.0, 18771.0, 19724.8	19088.919	18771	5.976, 6.670, 5.826	6.157	5.976	1	{"concordance":1,"gene_cor_min":1}	0.3.0	2026-04-15	2026-05-27 01:55:40	scale
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	baseline	ok	3	3.250, 3.010, 2.288	2.849	3.01	5537.0, 5537.0, 5689.1	5587.711	5537						0.3.0	2026-04-15	2026-05-27 01:43:17	flat
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	patched	ok	3	0.290, 0.240, 0.289	0.273	0.289	4411.0, 4411.0, 4299.7	4373.9	4411	9.379, 11.333, 9.425	10.046	9.425	1	{"concordance":1,"gene_cor_min":1}	0.3.0	2026-04-15	2026-05-27 01:55:40	scale
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	3	5.230, 5.170, 5.410	5.27	5.23	14340.0, 14340.0, 14340.0	14340	14340						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	0.730, 0.700, 0.717	0.716	0.717	12133.0, 12133.0, 12341.4	12202.451	12133	7.274, 7.586, 7.402	7.421	7.402	1	{"concordance":1}	0.3.0	2026-04-15	2026-06-08 03:13:20	scale
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	baseline	ok	3	4.550, 11.070, 5.080	6.9	5.08	24642.0, 24642.0, 24642.0	24642	24642						0.3.0	2026-04-15	2026-04-15	flat
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	patched	ok	3	1.170, 1.040, 1.310	1.173	1.17	20389.0, 20389.0, 20389.0	20389	20389	4.197, 4.721, 3.748	4.222	4.197	1	{"concordance":1}	0.3.0	2026-04-15	2026-04-15	scale
seurat	Seurat 5.4.0	ood_large3	32	Windows	gastrulation_pijuansala	baseline	ok	3	6.400, 9.180, 6.230	7.27	6.4	41560.0, 41560.0, 41560.0	41560	41560						0.3.0	2026-04-15	2026-04-15	flat
