patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	baseline	ok	2	889.018, 806.870	847.944	847.944	82663.0, 88425.9	85544.488	85544.488						0.3.0	2026-06-08 22:47:53	2026-06-08 23:15:19	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala	patched	ok	3	123.458, 122.649, 122.389	122.832	122.649	38986.9, 38986.7, 38987.8	38987.152	38986.934	6.868, 6.914, 6.928	6.903	6.914	1	{"gene_cor_min":1,"hvg_jaccard":1,"row_mean_max_abs_diff":0}	0.3.0	2026-06-08 22:52:57	2026-06-08 23:25:39	scale
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala_60k	baseline	ok	2	277.483, 396.290	336.887	336.887	51514.3, 43342.2	47428.283	47428.283						0.3.0	2026-06-05 07:35:09	2026-06-08 11:41:25	flat
seurat	Seurat 5.4.0	ood_large3	1	Windows	gastrulation_pijuansala_60k	patched	ok	4	61.877, 61.295, 61.512, 94.084	69.692	61.695	14196.1, 14180.9, 14180.9, 14018.8	14144.177	14180.904	4.427, 4.469, 4.453, 2.912	4.065	4.44	1	{"gene_cor_min":1,"hvg_jaccard":1,"row_mean_max_abs_diff":0}	0.3.0	2026-06-05 07:39:49	2026-06-08 13:45:59	scale
seurat	Seurat 5.4.0	large	1	Windows	heart_adult	baseline	OOM	0												0.3.0	2026-05-28	2026-05-28	flat
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	3	3587.220, 1153.020, 1251.020	1997.087	1251.02	92843.7, 122225.7, 121567.3	112212.245	121567.281						0.3.0	2026-06-09 03:27:08	2026-06-10 16:38:16	flat
seurat	Seurat 5.4.0	medium	1	Windows	pbmc200k_glaucoma	patched	ok	3	108.768, 117.041, 115.382	113.73	115.382	19823.3, 19822.6, 19822.5	19822.828	19822.633	11.502, 10.689, 10.842	11.011	10.842			0.3.0	2026-06-09 01:56:40	2026-06-09 03:38:49	scale
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	baseline	ok	4	298.366, 285.755, 244.047, 254.246	270.603	270.001	38046.2, 41234.4, 42412.8, 42414.9	41027.079	41823.615						0.3.0	2026-05-24 16:43:35	2026-05-27 01:21:32	flat
seurat	Seurat 5.4.0	small	1	Windows	pbmc68k	patched	ok	4	47.216, 47.864, 45.273, 45.665	46.504	46.441	4467.4, 4495.9, 4465.0, 4456.7	4471.247	4466.201	5.385, 5.312, 5.616, 5.568	5.47	5.476	1	{"concordance":0.999334,"hvg_jaccard":0.999334,"row_mean_max_abs_diff":0}	0.3.0	2026-05-24 16:43:35	2026-05-27 01:21:32	scale
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	baseline	ok	2	838.119, 861.059	849.589	849.589	91970.7, 85885.3	88928.006	88928.006						0.3.0	2026-06-08 14:45:49	2026-06-09 00:08:09	flat
seurat	Seurat 5.4.0	ood_large1	1	Windows	splitseq_rosenberg	patched	ok	3	79.434, 77.890, 80.450	79.258	79.434	11268.4, 17698.0, 17698.0	15554.786	17698	10.696, 10.908, 10.560	10.721	10.696	1	{"gene_cor_min":1,"hvg_jaccard":0.999334,"row_mean_max_abs_diff":0}	0.3.0	2026-04-15	2026-06-08 14:49:35	scale
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	baseline	ok	2	644.082, 765.910	704.996	704.996	84893.8, 114179.0	99536.393	99536.393						0.3.0	2026-04-15	2026-06-05 02:16:55	flat
seurat	Seurat 5.4.0	ood_large2	1	Windows	tms_ss2	patched	ok	3	120.889, 105.876, 104.260	110.342	105.876	25466.8, 22169.4, 25486.5	24374.211	25466.801	5.832, 6.659, 6.762	6.417	6.659	1	{"gene_cor_min":1,"hvg_jaccard":1,"row_mean_max_abs_diff":0}	0.3.0	2026-06-05 02:21:59	2026-06-09 02:11:13	scale
