patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
slingshot	slingshot 2.16.0	ood_large	1	Linux	gastrulation_ood_large	patched	ok	2	425.174, 482.466	453.82	453.82				3.711, 3.413	3.562	3.562	1	{"mst_jaccard":1,"n_lineages_match":1,"pseudotime_spearman":0.99978,"weight_pearson":0.999777}	0.3.0	2026-06-13 22:39:18	2026-06-13 23:16:37	scale
slingshot	slingshot 2.16.0	ood_xlarge	1	Linux	gastrulation_ood_xlarge	patched	ok	3	1462.198, 2015.400, 1298.195	1591.931	1462.198				6.261, 4.549, 7.074	5.961	6.261	1	{"mst_jaccard":1,"n_lineages_match":1,"pseudotime_spearman":0.999905,"weight_pearson":0.999891}	0.3.0	2026-06-13 23:26:13	2026-06-14 05:40:00	scale
slingshot	slingshot 2.16.0	large	1	Linux	pbmc200k_glaucoma_large	patched	ok	2	222.907, 216.749	219.828	219.828				5.427, 5.550	5.489	5.489	1	{"mst_jaccard":1,"n_lineages_match":1,"pseudotime_spearman":0.999965,"weight_pearson":0.999855}	0.3.0	2026-06-13 22:12:08	2026-06-13 22:35:59	scale
slingshot	slingshot 2.16.0	medium	1	Linux	pbmc68k_medium	patched	ok	2	166.637, 168.520	167.579	167.579				3.846, 3.756	3.801	3.801	1	{"mst_jaccard":1,"n_lineages_match":1,"pseudotime_spearman":0.98204,"weight_pearson":0.988632}	0.3.0	2026-06-13 21:30:00	2026-06-13 21:43:32	scale
slingshot	slingshot 2.16.0	small	1	Linux	pbmc68k_tiny	patched	ok	3	38.631, 48.157, 47.928	44.905	47.928				9.006, 7.010, 6.932	7.649	7.01	1	{"mst_jaccard":1,"n_lineages_match":1,"pseudotime_spearman":0.999356,"weight_pearson":0.986796}	0.3.0	2026-06-13 21:22:47	2026-06-13 21:36:39	scale
slingshot	slingshot 2.16.0	ood_large	1	Windows	gastrulation_ood_large	baseline	ok	4	396.492, 365.879, 287.523, 362.223	353.029	364.051	756.9, 1022.1, 1022.9, 1027.2	957.287	1022.492						0.3.0	2026-05-26 16:45:18	2026-06-04 05:45:47	flat
slingshot	slingshot 2.16.0	ood_large	1	Windows	gastrulation_ood_large	patched	ok	2	147.472, 150.811	149.142	149.142	1117.5, 1125.2	1121.346	1121.346	2.469, 2.414	2.441	2.441	1	{"mst_jaccard":1,"n_lineages_match":1,"pseudotime_spearman":0.999725,"weight_pearson":0.999685}	0.3.0	2026-06-03 04:08:14	2026-06-08 03:55:53	flat
slingshot	slingshot 2.16.0	ood_xlarge	1	Windows	gastrulation_ood_xlarge	baseline	ok	4	1309.485, 1251.163, 1126.976, 1281.244	1242.217	1266.204	1399.1, 1373.1, 1352.0, 1413.1	1384.319	1386.123						0.3.0	2026-05-26 16:45:18	2026-06-04 03:30:34	flat
slingshot	slingshot 2.16.0	ood_xlarge	1	Windows	gastrulation_ood_xlarge	patched	ok	1	709.049	709.049	709.049	1342.2	1342.234	1342.234	1.786	1.786	1.786	1	{"mst_jaccard":1,"n_lineages_match":1,"pseudotime_spearman":0.999913,"weight_pearson":0.999883}	0.3.0	2026-06-04 03:55:27	2026-06-04 03:55:27	flat
slingshot	slingshot 2.16.0	large	1	Windows	pbmc200k_glaucoma_large	baseline	ok	4	416.956, 500.817, 416.290, 427.403	440.367	422.179	1149.1, 1112.5, 1150.0, 1148.9	1140.132	1149.006						0.3.0	2026-05-20 08:14:42	2026-06-07 21:51:49	flat
