patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
tradeseq	tradeSeq 1.22.0	ood_large	1	Windows	fitgam_ood_2lin_3000g_3500c	baseline	ok	1	298.884	298.884	298.884	3579.8	3579.789	3579.789						0.3.0	2026-05-22 01:24:25	2026-05-22 01:24:25	flat
tradeseq	tradeSeq 1.22.0	ood_large	1	Windows	fitgam_ood_2lin_3000g_3500c	patched	ok	3	265.780, 259.704, 257.390	260.958	259.704	3441.2, 2091.4, 2108.0	2546.878	2108.035	1.198, 1.226, 1.237	1.22	1.226	0	{"beta_max_abs_diff":0.46635,"beta_pearson":0.999459,"converged_match":1,"knot_max_abs_diff":0,"sigma_max_abs_diff":0.029549,"sigma_pearson":0.897344,"x_max_abs_diff":0}	0.3.0	2026-05-22 01:24:25	2026-06-10 21:39:20	scale
tradeseq	tradeSeq 1.22.0	ood_xlarge	1	Windows	fitgam_ood_2lin_6000g_5000c	baseline	ok	1	986.218	986.218	986.218	8381.7	8381.73	8381.73						0.3.0	2026-06-04 13:47:13	2026-06-04 13:47:13	flat
tradeseq	tradeSeq 1.22.0	ood_xlarge	1	Windows	fitgam_ood_2lin_6000g_5000c	patched	ok	3	729.017, 726.189, 727.347	727.518	727.347	4340.0, 4090.8, 4109.4	4180.079	4109.406	1.352, 1.357, 1.355	1.355	1.355			0.3.0	2026-06-08 04:17:42	2026-06-10 22:03:50	scale
tradeseq	tradeSeq 1.22.0	medium	1	Windows	fitgam_synth_2000g_3000c	baseline	ok	2	143.992, 144.842	144.417	144.417	2023.0, 2027.0	2024.992	2024.992						0.3.0	2026-05-27 05:31:47	2026-05-27 05:31:47	flat
tradeseq	tradeSeq 1.22.0	medium	1	Windows	fitgam_synth_2000g_3000c	patched	ok	2	126.410, 126.375	126.393	126.393	1524.8, 1502.6	1513.701	1513.701	1.142, 1.143	1.143	1.143	1	{"beta_max_abs_diff":0,"beta_pearson":1,"converged_match":1,"knot_max_abs_diff":0,"sigma_max_abs_diff":0,"sigma_pearson":1,"x_max_abs_diff":0}	0.3.0	2026-05-27 05:31:47	2026-05-27 05:31:47	scale
tradeseq	tradeSeq 1.22.0	large	1	Windows	fitgam_synth_4000g_3000c	baseline	ok	1	290.456	290.456	290.456	3266.5	3266.496	3266.496						0.3.0	2026-06-04 07:57:14	2026-06-04 07:57:14	flat
tradeseq	tradeSeq 1.22.0	large	1	Windows	fitgam_synth_4000g_3000c	patched	ok	3	240.327, 211.117, 209.987	220.477	211.117	1120.4, 2318.8, 2187.8	1875.681	2187.82	1.169, 1.331, 1.338	1.279	1.331	1	{"beta_max_abs_diff":0,"beta_pearson":1,"converged_match":1,"knot_max_abs_diff":0,"sigma_max_abs_diff":0,"sigma_pearson":1,"x_max_abs_diff":0}	0.3.0	2026-06-04 08:07:44	2026-06-10 21:30:29	scale
tradeseq	tradeSeq 1.22.0	small	1	Windows	fitgam_synth_750g_3000c	baseline	ok	2	59.991, 59.381	59.686	59.686	1235.8, 1217.7	1226.746	1226.746						0.3.0	2026-05-27 05:13:31	2026-05-27 05:13:31	flat
tradeseq	tradeSeq 1.22.0	small	1	Windows	fitgam_synth_750g_3000c	patched	ok	2	52.694, 54.514	53.604	53.604	1155.4, 1147.6	1151.52	1151.52	1.127, 1.089	1.108	1.108	1	{"beta_max_abs_diff":0,"beta_pearson":1,"converged_match":1,"knot_max_abs_diff":0,"sigma_max_abs_diff":0,"sigma_pearson":1,"x_max_abs_diff":0}	0.3.0	2026-05-27 05:13:31	2026-05-27 05:13:31	scale
tradeseq	tradeSeq 1.22.0	ood_large	4	Windows	fitgam_ood_2lin_3000g_3500c	baseline	ok	2	318.912, 318.047	318.479	318.479	3400.2, 3396.7	3398.465	3398.465						0.3.0	2026-05-26 19:18:12	2026-05-26 19:18:12	flat
tradeseq	tradeSeq 1.22.0	ood_large	4	Windows	fitgam_ood_2lin_3000g_3500c	patched	ok	4	114.815, 102.311, 100.435, 100.270	104.458	101.373	893.7, 893.8, 1588.0, 1587.8	1240.847	1240.83	2.772, 3.111, 3.169, 3.174	3.057	3.14	1	{"beta_max_abs_diff":0,"beta_pearson":1,"converged_match":1,"knot_max_abs_diff":0,"sigma_max_abs_diff":0,"sigma_pearson":1,"x_max_abs_diff":0}	0.3.0	2026-05-26 19:18:12	2026-06-10 22:10:50	scale
tradeseq	tradeSeq 1.22.0	ood_xlarge	4	Windows	fitgam_ood_2lin_6000g_5000c	baseline	ok	2	857.289, 984.746	921.017	921.017	8683.7, 3271.5	5977.592	5977.592						0.3.0	2026-05-26 19:18:12	2026-06-04 16:12:41	flat
tradeseq	tradeSeq 1.22.0	ood_xlarge	4	Windows	fitgam_ood_2lin_6000g_5000c	patched	ok	4	246.146, 247.858, 246.607, 245.665	246.569	246.376	1165.0, 2884.6, 2882.6, 2883.3	2453.872	2882.953	4.004, 3.976, 3.996, 4.011	3.997	4	1	{"beta_max_abs_diff":0,"beta_pearson":1,"converged_match":1,"knot_max_abs_diff":0,"sigma_max_abs_diff":0,"sigma_pearson":1,"x_max_abs_diff":0}	0.3.0	2026-05-26 19:18:12	2026-06-10 22:19:19	scale
tradeseq	tradeSeq 1.22.0	medium	4	Windows	fitgam_synth_2000g_3000c	baseline	ok	2	137.943, 140.049	138.996	138.996	2051.9	2051.863	2051.863						0.3.0	2026-05-16 15:04:30	2026-06-03 20:24:03	flat
tradeseq	tradeSeq 1.22.0	medium	4	Windows	fitgam_synth_2000g_3000c	patched	ok	4	64.416, 63.862, 63.643, 64.582	64.126	64.139	1259.5, 1261.1, 1259.9, 1260.1	1260.14	1260.016	2.242, 2.261, 2.269, 2.236	2.252	2.252	1	{"beta_max_abs_diff":0,"beta_pearson":1,"converged_match":1,"knot_max_abs_diff":0,"sigma_max_abs_diff":0,"sigma_pearson":1,"x_max_abs_diff":0}	0.3.0	2026-06-03 20:25:39	2026-06-09 17:22:09	scale
tradeseq	tradeSeq 1.22.0	large	4	Windows	fitgam_synth_4000g_3000c	baseline	ok	1	277.672	277.672	277.672	2800.5	2800.477	2800.477						0.3.0	2026-06-04 07:48:24	2026-06-04 07:48:24	flat
tradeseq	tradeSeq 1.22.0	large	4	Windows	fitgam_synth_4000g_3000c	patched	ok	3	114.490, 91.804, 93.589	99.961	93.589	891.9, 1616.4, 1641.6	1383.307	1616.441	2.454, 3.060, 3.002	2.839	3.002	1	{"beta_max_abs_diff":0,"beta_pearson":1,"converged_match":1,"knot_max_abs_diff":0,"sigma_max_abs_diff":0,"sigma_pearson":1,"x_max_abs_diff":0}	0.3.0	2026-06-04 08:03:50	2026-06-10 22:07:15	scale
