patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	large	1	Windows	heart_adult_150k	baseline	ok	1	626.007	626.007	626.007	8623.1	8623.113	8623.113						0.3.1	2026-06-29 22:51:32	2026-06-29 22:51:32	scale
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	large	1	Windows	heart_adult_150k	patched	ok	2	1.334, 1.393	1.364	1.364	2826.6, 2827.1	2826.832	2826.832	469.103, 449.541	459.322	459.322	1	{"max_abs_diff_scores":0,"min_per_signature_spearman_scores":1,"nan_rate_scores":0,"q99_abs_diff_scores":0,"spearman_scores":1}	0.3.1	2026-07-22 17:13:26	2026-07-22 17:14:24	scale
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	ood_xlarge	1	Windows	luca_lung_480k	baseline	ok	2	3206.915, 2633.329	2920.122	2920.122	23700.0, 23697.9	23698.938	23698.938						0.3.1	2026-07-22 19:54:14	2026-07-22 20:41:15	scale
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	ood_xlarge	1	Windows	luca_lung_480k	patched	ok	2	11.047, 8.015	9.531	9.531	8298.5, 8298.8	8298.682	8298.682	264.326, 364.349	314.337	314.337	1	{"max_abs_diff_scores":0,"min_per_signature_spearman_scores":1,"nan_rate_scores":0,"q99_abs_diff_scores":0,"spearman_scores":1}	0.3.1	2026-07-22 19:56:13	2026-07-22 20:42:21	scale
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	medium	1	Windows	pbmc200k_glaucoma	baseline	ok	2	841.993, 848.483	845.238	845.238	10006.7, 9480.7	9743.676	9743.676						0.3.1	2026-06-29 22:25:37	2026-06-29 22:40:28	scale
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	medium	1	Windows	pbmc200k_glaucoma	patched	ok	2	1.761, 1.663	1.712	1.712	3308.4, 3308.0	3308.168	3308.168	480.008, 508.125	494.067	494.067	1	{"max_abs_diff_scores":0,"min_per_signature_spearman_scores":1,"nan_rate_scores":0,"q99_abs_diff_scores":0,"spearman_scores":1}	0.3.1	2026-07-22 17:11:53	2026-07-22 17:12:36	scale
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	small	1	Windows	pbmc68k	baseline	ok	2	223.283, 223.799	223.541	223.541	2791.3, 2769.4	2780.354	2780.354						0.3.1	2026-06-29 22:07:04	2026-06-29 22:11:08	scale
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	small	1	Windows	pbmc68k	patched	ok	3	0.211, 0.172, 0.178	0.187	0.178	1068.1, 1067.9, 1067.5	1067.839	1067.941	1061.061, 1299.976, 1256.570	1205.869	1256.57	1	{"max_abs_diff_scores":0,"min_per_signature_spearman_scores":1,"nan_rate_scores":0,"q99_abs_diff_scores":0,"spearman_scores":1}	0.3.1	2026-07-22 17:09:10	2026-07-22 17:10:54	scale
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	ood_large	1	Windows	pelka_crc_150k	baseline	ok	2	918.637, 902.173	910.405	910.405	11858.6, 11845.9	11852.277	11852.277						0.3.1	2026-07-22 17:32:45	2026-07-22 17:49:45	scale
ucell	UCell 2.17.0 (GitHub carmonalab/UCell@15b029a)	ood_large	1	Windows	pelka_crc_150k	patched	ok	2	0.958, 1.023	0.99	0.99	4233.8, 4233.3	4233.559	4233.559	949.927, 890.345	920.136	920.136	1	{"max_abs_diff_scores":0,"min_per_signature_spearman_scores":1,"nan_rate_scores":0,"q99_abs_diff_scores":0,"spearman_scores":1}	0.3.1	2026-07-22 17:33:48	2026-07-22 17:50:41	scale
