patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
vegan	vegan 2.8.0	ood_xlarge	1	Linux	pbmc200k_glaucoma_celltype_n5500_p800	patched	ok	2	14.436, 14.392	14.414	14.414				66.734, 66.265	66.499	66.499	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-14 02:42:16	2026-06-14 02:59:28	scale
vegan	vegan 2.8.0	small	1	Linux	sim_n2000_p300	patched	ok	2	2.836, 2.966	2.901	2.901				41.763, 41.488	41.626	41.626	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-13 21:26:54	2026-06-13 21:29:11	scale
vegan	vegan 2.8.0	medium	1	Linux	sim_n3500_p400	patched	ok	2	3.555, 3.721	3.638	3.638				70.676, 67.308	68.992	68.992	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-13 21:47:01	2026-06-13 21:51:26	scale
vegan	vegan 2.8.0	large	1	Linux	sim_n5000_p500	patched	ok	2	6.531, 6.235	6.383	6.383				78.558, 82.718	80.638	80.638	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-13 23:10:48	2026-06-13 23:19:56	scale
vegan	vegan 2.8.0	ood_large	1	Linux	tms_ss2_tissue_n3500_p800	patched	ok	2	6.207, 6.065	6.136	6.136				58.449, 60.550	59.499	59.499	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-13 22:43:21	2026-06-13 22:50:11	scale
vegan	vegan 2.8.0	ood_xlarge	4	Linux	pbmc200k_glaucoma_celltype_n5500_p800	patched	ok	2	8.842, 8.932	8.887	8.887				107.476, 106.773	107.124	107.124	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-14 03:17:03	2026-06-14 03:34:25	scale
vegan	vegan 2.8.0	small	4	Linux	sim_n2000_p300	patched	ok	2	1.735, 1.684	1.709	1.709				39.727, 41.297	40.512	40.512	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-13 21:26:42	2026-06-13 21:27:59	scale
vegan	vegan 2.8.0	medium	4	Linux	sim_n3500_p400	patched	ok	2	4.434, 4.167	4.3	4.3				66.167, 70.107	68.137	68.137	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-13 21:49:59	2026-06-13 21:55:07	scale
vegan	vegan 2.8.0	large	4	Linux	sim_n5000_p500	patched	ok	2	7.947, 7.818	7.882	7.882				87.878, 89.943	88.91	88.91	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-14 00:07:19	2026-06-14 00:19:47	scale
vegan	vegan 2.8.0	ood_large	4	Linux	tms_ss2_tissue_n3500_p800	patched	ok	2	9.910, 9.155	9.533	9.533				106.891, 115.958	111.424	111.424	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-13 23:01:36	2026-06-13 23:21:34	scale
vegan	vegan 2.8.0	ood_xlarge	8	Linux	pbmc200k_glaucoma_celltype_n5500_p800	patched	ok	2	19.093, 15.512	17.302	17.302				133.648, 157.088	145.368	145.368	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-14 03:56:10	2026-06-14 04:38:48	scale
vegan	vegan 2.8.0	small	8	Linux	sim_n2000_p300	patched	ok	2	1.908, 2.001	1.954	1.954				42.913, 40.759	41.836	41.836	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-13 21:27:28	2026-06-13 21:28:56	scale
vegan	vegan 2.8.0	medium	8	Linux	sim_n3500_p400	patched	ok	2	5.168, 5.365	5.266	5.266				60.523, 59.647	60.085	60.085	1	{"max_abs_diff_F_perm":0,"max_abs_diff_F0":0,"max_abs_diff_pval":0,"max_abs_diff_R2":0,"pearson_F_perm":1}	0.3.0	2026-06-13 21:50:20	2026-06-13 21:56:06	scale
