patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
wgcna	WGCNA 1.74	ood_large	1	Windows	gastrulation_mouse_20kx4k	baseline	ok	2	410.277, 468.818	439.547	439.547	6460.7, 6460.6	6460.65	6460.65						0.3.0	2026-05-27 00:40:50	2026-06-03 19:39:00	scale
wgcna	WGCNA 1.74	ood_large	1	Windows	gastrulation_mouse_20kx4k	patched	ok	3	21.163, 22.105, 22.483	21.917	22.105	3983.8, 3984.5, 3984.9	3984.421	3984.547	20.770, 19.884, 19.550	20.068	19.884	1	{"ari_colors":1,"me_match_corr":1,"n_modules_diff":0}	0.3.0	2026-05-27 00:40:50	2026-06-03 19:40:00	scale
wgcna	WGCNA 1.74	ood_xlarge	1	Windows	heart_adult_25kx5p5k	baseline	ok	2	1723.026, 1639.538	1681.282	1681.282	10419.0, 10422.2	10420.596	10420.596						0.3.0	2026-05-27 01:18:56	2026-06-03 01:51:10	scale
wgcna	WGCNA 1.74	ood_xlarge	1	Windows	heart_adult_25kx5p5k	patched	ok	3	45.912, 40.622, 42.979	43.171	42.979	7144.1, 6344.0, 7143.6	6877.252	7143.617	36.620, 41.389, 39.119	39.042	39.119	1	{"ari_colors":1,"me_match_corr":1,"n_modules_diff":0}	0.3.0	2026-05-27 01:18:56	2026-06-03 01:52:20	scale
wgcna	WGCNA 1.74	large	1	Windows	pbmc200k_glaucoma_20kx4k	baseline	ok	2	579.741, 590.983	585.362	585.362	6642.9, 6642.3	6642.621	6642.621						0.3.0	2026-05-20 09:25:08	2026-05-20 09:25:08	scale
wgcna	WGCNA 1.74	large	1	Windows	pbmc200k_glaucoma_20kx4k	patched	ok	4	18.896, 19.431, 19.902, 19.334	19.391	19.383	4468.0, 4467.2, 4467.6, 4467.4	4467.562	4467.51	30.979, 30.125, 29.413, 30.276	30.198	30.201			0.3.0	2026-06-08 10:37:14	2026-06-09 21:55:55	scale
wgcna	WGCNA 1.74	medium	1	Windows	pbmc68k_15kx3k	baseline	ok	2	230.149, 227.792	228.97	228.97	3643.0, 3714.0	3678.518	3678.518						0.3.0	2026-05-20 08:49:18	2026-05-20 08:49:18	scale
wgcna	WGCNA 1.74	medium	1	Windows	pbmc68k_15kx3k	patched	ok	4	9.480, 10.210, 10.249, 10.216	10.039	10.213	2562.0, 2560.8, 2561.0, 2560.8	2561.149	2560.887	24.154, 22.426, 22.340, 22.414	22.833	22.42			0.3.0	2026-06-08 10:37:31	2026-06-09 21:53:48	scale
wgcna	WGCNA 1.74	small	1	Windows	pbmc68k_5kx2k	baseline	ok	3	36.169, 35.783, 53.853	41.935	36.169	1308.6, 1345.5, 1345.9	1333.307	1345.484						0.3.0	2026-05-20 08:37:23	2026-05-27 00:49:50	scale
wgcna	WGCNA 1.74	small	1	Windows	pbmc68k_5kx2k	patched	ok	5	3.279, 3.821, 3.909, 3.305, 3.299	3.523	3.305	861.6, 888.3, 775.6, 861.5, 861.6	849.709	861.59	12.790, 10.975, 10.728, 12.687, 12.710	11.978	12.687	1	{"ari_colors":1,"me_match_corr":1,"n_modules_diff":0}	0.3.0	2026-05-26 22:51:53	2026-06-09 21:52:08	scale
wgcna	WGCNA 1.74	ood_large	4	Windows	gastrulation_mouse_20kx4k	baseline	ok	2	374.514, 372.075	373.295	373.295	6245.3, 6245.2	6245.248	6245.248						0.3.0	2026-05-26 20:25:47	2026-05-26 20:25:47	scale
